 	le	sel	que	j'	ai	mis	dans	la	nourriture	a	suffi	</S>
o	0.872464	0.110735	0.009506	0.000621931	0.000595144	0.000444967	0.000708585	0.00106502	0.00331596	0.000366023	8.49191e-05	9.26881e-05
k	0.0178318	0.978138	0.000935742	0.000388996	0.000240443	0.000294816	0.000131915	0.000145068	9.1484e-05	0.000169957	0.00141738	0.000214648
w	0.00551629	0.981148	0.00195947	2.01319e-05	0.000248193	0.00118201	0.00122895	0.00112636	7.19532e-05	0.000116279	0.00650321	0.000878832
á	0.0159259	0.666749	0.173243	0.00808864	0.0333077	0.0420828	0.0213299	0.0111392	0.00868813	0.00316155	0.00566618	0.0106183
m	0.0279947	0.0276641	0.760172	0.0425755	0.0207187	0.010062	0.00871405	0.00630701	0.00808038	0.00847374	0.00581648	0.0734214
ó	0.233155	0.117723	0.437122	0.0548565	0.0781593	0.0140458	0.0186529	0.0172499	0.0156706	0.00463356	0.000113521	0.00861905
ó	0.206047	0.0064718	0.542655	0.10208	0.073785	0.0345992	0.00961309	0.00724263	0.00121602	0.00177501	0.00111466	0.0134015
k	0.0100717	0.0294991	0.0715708	0.107244	0.157865	0.495926	0.0544431	0.0162097	0.00593275	0.0174307	0.0154315	0.0183765
a	0.00351556	0.0169237	0.0460456	0.00235423	0.0467066	0.607639	0.0988855	0.0436524	0.0194856	0.00691594	0.0216098	0.0862663
n	0.00627825	0.0257707	0.0430407	0.00370713	0.0507514	0.595365	0.104184	0.030596	0.0141398	0.00575519	0.0765197	0.0438924
í	0.0366665	0.00428805	0.110531	0.0380247	0.181455	0.377363	0.0983563	0.0491143	0.030526	0.0120599	0.00668039	0.0549342
n	0.0116538	0.000127442	0.095065	0.591172	0.151012	0.0330597	0.0592377	0.0187993	0.023869	0.00739893	0.00204383	0.00656127
g	0.00375261	0.000343038	0.0150806	0.592481	0.20957	0.0418546	0.0806673	0.0302347	0.0106126	0.00337089	0.000367475	0.0116654
á	0.00681618	0.00037398	0.0113328	0.701368	0.152672	0.0423912	0.0457278	0.0218805	0.00738028	0.00227853	0.000621593	0.00715713
s	0.00224776	0.000382276	0.0167652	0.0137042	0.109983	0.0613783	0.359892	0.276216	0.0871354	0.0398027	0.0219009	0.0105918
á	0.0104763	0.000208944	0.00395907	0.0297374	0.106666	0.0993401	0.372693	0.280022	0.0238156	0.0138004	0.00575418	0.0535272
b	0.022091	0.00153215	0.0119608	0.014816	0.0491271	0.0144916	0.163894	0.506042	0.133009	0.0283999	0.0424189	0.012217
e	0.00846431	0.00184677	0.00244973	0.00421016	0.0519271	0.0590845	0.121607	0.193384	0.488518	0.0285963	0.0284661	0.0114454
a	0.00123534	0.000219377	0.00100366	0.000781192	0.00624501	0.020221	0.0758371	0.224585	0.484618	0.0400767	0.121173	0.0240047
ó	0.00125962	1.47919e-05	0.00389663	0.00135742	0.0211089	0.0221615	0.0939239	0.189157	0.117123	0.344368	0.056693	0.148936
b	0.00532232	0.000188936	0.00481439	0.00126513	0.0163254	0.0462022	0.0809609	0.051798	0.00761367	0.310255	0.426851	0.0484022
h	0.00288639	0.000921786	0.00281562	0.000128189	0.0103122	0.0618982	0.0968859	0.0734483	0.0175315	0.053556	0.636685	0.0429314
ó	0.000567276	0.000373958	0.0003211	1.72576e-05	0.00195124	0.0210071	0.0393513	0.0354116	0.0081814	0.0168776	0.831988	0.0439516
l	0.000721591	4.42392e-05	0.000504366	0.000164731	0.00199682	0.00848768	0.0385547	0.0470955	0.0253238	0.024866	0.705133	0.147108
i	0.00104214	0.000222656	0.00163789	0.000694189	0.0116979	0.0484956	0.0557651	0.0840035	0.0208617	0.10602	0.42288	0.24668
</S>	0.00352429	1.28361e-05	0.00527665	0.00303443	0.0059319	0.00756367	0.0290955	0.0373302	0.00761478	0.0985885	0.109402	0.692626
