 	la	nourriture	que	tu	as	laissée	au	feu	s'	est	entièrement	calcinée	</S>
b	0.28112	0.568154	0.129963	0.0131734	0.00226961	0.000985002	0.00332209	0.000342731	0.000411508	0.000124837	6.7225e-05	4.95448e-05	1.84482e-05
e	0.0737921	0.842381	0.0370689	0.0257388	0.00653626	0.000619035	0.0019321	0.00515393	0.00355992	0.00279992	3.63132e-05	0.000186524	0.000194857
a	0.0122621	0.826389	0.13175	0.023157	0.00180397	7.75616e-05	0.000476019	0.00235603	0.00120453	0.000320129	2.06262e-05	6.16153e-06	0.000177771
b	0.135199	0.474579	0.298193	0.043422	0.0108162	0.00112784	0.0046127	0.0010125	0.00481895	0.00291426	0.00158805	0.000113228	0.0216031
í	0.0432725	0.361405	0.296785	0.168681	0.0658951	0.00371436	0.0103579	0.00369538	0.0197227	0.01383	0.00135612	0.000335978	0.0109492
í	0.0371555	0.195909	0.279085	0.166116	0.0466517	0.0294673	0.00961783	0.0163678	0.0235552	0.0192518	0.00489856	0.00344365	0.16848
y	0.00171931	0.00232057	0.0115305	0.0262243	0.0337104	0.877838	0.0145343	0.00326274	0.0100239	0.0097681	0.00224058	0.000651937	0.00617529
í	0.000936249	0.000431939	0.00620012	0.0151308	0.0280533	0.938045	0.00549691	0.00111157	0.000934855	0.000670045	0.000148888	0.000659779	0.0021802
í	0.0204814	0.00358017	0.0177925	0.00861619	0.013928	0.8392	0.045746	0.00839127	0.0101488	0.00456062	0.000424569	0.0031592	0.0239707
n	0.00924595	0.00290244	0.0917368	0.177176	0.25765	0.175987	0.177677	0.0607097	0.0174637	0.0062821	0.00191256	0.000987265	0.0202692
ω	0.0378734	0.000856349	0.0345417	0.274168	0.19801	0.362592	0.0689203	0.0156864	0.00268711	0.000400442	1.37973e-05	0.0010595	0.00319119
ó	0.0140955	0.00376442	0.117125	0.0467335	0.0913028	0.0672758	0.542361	0.0297041	0.040315	0.011297	0.000555968	0.0075643	0.0279054
m	0.00731004	0.00274053	0.00155683	0.00158722	0.00671575	0.233965	0.620501	0.0790894	0.0261006	0.00986353	0.00557713	0.00313317	0.00185978
í	0.00193619	0.000429356	0.00123074	0.00126036	0.00336259	0.00166915	0.0714002	0.872518	0.0378041	0.00404373	3.51757e-05	0.000272497	0.00403814
á	0.00543635	0.0050655	0.0102992	0.00287575	0.0113597	0.029089	0.430026	0.32599	0.100245	0.0304643	0.00386482	0.00641713	0.0388666
í	0.00105273	0.00106091	0.00330532	0.00500809	0.0171595	0.26313	0.282559	0.120456	0.157718	0.075372	0.0396923	0.0167949	0.0166917
b	0.00285942	0.00208387	0.00140507	0.00130209	0.00446893	0.237042	0.210183	0.0661883	0.173036	0.143355	0.118968	0.029217	0.00989135
h	0.00232634	0.0092473	0.0011863	0.000421048	0.00102552	0.0465394	0.0663335	0.00924731	0.0948996	0.262942	0.425045	0.0430439	0.0377426
i	0.00243145	0.00276155	0.000580973	0.000136274	0.000251868	0.0915274	0.101274	0.0070746	0.0545053	0.155403	0.489995	0.0379907	0.0560678
ó	0.00101963	0.000282414	0.00101348	0.00134319	0.00260155	0.0237175	0.0387473	0.0231298	0.164324	0.174515	0.146974	0.0526373	0.369695
t	0.00142232	0.000880129	0.000841894	0.000808041	0.00183248	0.0360869	0.0465544	0.0509376	0.194926	0.317618	0.14117	0.179304	0.0276186
s	0.00153615	0.00323448	0.00100727	0.000318568	0.000841602	0.0163945	0.0283445	0.00273208	0.0441122	0.131993	0.197187	0.456902	0.115397
ω	0.000903654	0.00111821	0.000630783	0.000166262	0.000605644	0.0135041	0.0337573	0.00221753	0.0395488	0.112929	0.160465	0.581313	0.0528404
k	0.000220956	0.000118372	0.000311962	8.13744e-05	0.000148542	0.00149634	0.0246997	0.00182123	0.0922922	0.204092	0.167084	0.274932	0.232701
ó	0.00407728	0.00270239	0.00140057	0.000715983	0.000774387	0.00293168	0.00435347	0.000317274	0.0354569	0.13685	0.199854	0.402399	0.208167
l	0.00144732	0.000684745	0.00267454	0.000930594	0.00114172	0.00184132	0.0386572	0.00517832	0.0534067	0.048974	0.0660382	0.469681	0.309344
í	0.000800621	0.000521043	0.000384232	0.000155767	0.00035391	0.00286908	0.00452168	0.000161614	0.0110353	0.0438319	0.256092	0.597443	0.0818293
</S>	0.00376536	0.00109463	0.00530727	0.00359061	0.00569822	0.00361747	0.0217869	0.0272909	0.0751937	0.0608857	0.0776463	0.424143	0.28998
