 	je	joins	les	planches	pour	fabriquer	un	luth	</S>
n	0.933628	0.0281325	0.0304194	0.0027985	0.00414409	0.000594076	0.000256476	1.98885e-05	7.24035e-06
g	0.963646	0.0339065	0.00151355	0.000374772	0.000372481	0.000143185	2.74042e-05	1.41631e-05	2.45583e-06
á	0.968098	0.0293491	0.000904016	0.000217333	0.000432695	0.00087768	5.24998e-05	6.27414e-05	5.95869e-06
l	0.575742	0.116834	0.138773	0.0111842	0.0173624	0.0204351	0.0142736	0.0164356	0.08896
í	0.68723	0.0523468	0.0517336	0.0501444	0.0338657	0.0333899	0.0111099	0.00970076	0.0704787
i	0.142999	0.170727	0.284018	0.0570678	0.0679886	0.0312223	0.0190871	0.00884972	0.218039
y	0.00812355	0.762097	0.0687268	0.0520929	0.0374393	0.0140594	0.00330285	0.00065523	0.0535036
o	0.00212281	0.98187	0.00702497	0.00610932	0.00121814	0.000222957	4.13045e-05	2.02689e-05	0.00137063
n	0.0190702	0.938398	0.0206906	0.000832894	0.0044613	0.00471953	0.00193049	0.000592531	0.00930457
g	0.0349099	0.561633	0.350341	0.00905067	0.0282215	0.00721005	0.00354678	0.000242713	0.00484364
á	0.031682	0.496205	0.383756	0.00574065	0.0234348	0.0237933	0.0106537	0.00205539	0.02268
a	0.020411	0.0113806	0.632276	0.210659	0.0891625	0.00798585	0.0114411	0.0118996	0.00478442
b	0.00419648	0.0017616	0.167626	0.636363	0.176313	0.00866197	0.0015256	0.000574776	0.00297681
á	0.00159475	0.0005584	0.0922517	0.566421	0.260913	0.0698278	0.0052097	0.000453072	0.00277023
y	0.00426337	0.000249846	0.0530248	0.79284	0.108079	0.0136524	0.00313183	0.00162148	0.0231375
á	0.00230615	0.00354714	0.157138	0.617223	0.183671	0.0160436	0.00599657	0.00135674	0.012718
m	0.00617066	0.00151744	0.150799	0.378721	0.332333	0.0462153	0.0325846	0.00750456	0.0441553
í	0.000203007	0.00209178	0.024414	0.0300442	0.102062	0.0547358	0.197413	0.0520645	0.536971
b	0.000760941	0.000434273	0.0410789	0.094241	0.206151	0.51856	0.0551346	0.0194246	0.064215
ω	0.000267191	0.000483428	0.00809276	0.0479466	0.164813	0.740534	0.0281513	0.0011679	0.00854383
n	1.31168e-05	0.000332045	0.00549693	0.0120762	0.131497	0.802163	0.0344394	0.00134871	0.0126337
g	6.4045e-05	0.00110747	0.0127802	0.0487834	0.354586	0.395027	0.0732913	0.000982616	0.113378
ω	0.000368847	0.000428851	0.023471	0.00952459	0.157566	0.621449	0.107797	0.0108327	0.0685626
l	0.000134515	0.000166097	0.00806565	0.00257572	0.0725568	0.0430954	0.70254	0.00880621	0.162059
ó	0.00148322	0.00111374	0.0186554	0.0234003	0.183687	0.133167	0.27632	0.0576741	0.3045
b	0.00774995	0.00410792	0.0135111	0.0104967	0.043775	0.186311	0.21844	0.203244	0.312365
é	0.00407841	0.000265498	0.0313046	0.0362407	0.119021	0.512898	0.162247	0.0965464	0.037398
é	5.64519e-05	9.73812e-05	0.00261502	0.0138985	0.0576841	0.276295	0.204071	0.18911	0.256172
</S>	0.000283967	0.000234701	0.0121151	0.00600955	0.0361781	0.0138927	0.290822	0.186945	0.453519
