 	mon	frère	ainé	est	cachotier	il	se	marie	en	secret	sans	avertir	ses	parents	</S>
o	0.482908	0.130042	0.161772	0.141567	0.0245532	0.031216	0.0123783	0.00722485	0.00433682	0.000173291	0.00191814	0.000577421	0.000995072	0.000294057	4.36522e-05
n	0.121506	0.630746	0.143173	0.026672	0.0143927	0.00641215	0.00660382	0.0114871	0.00260462	0.00422611	0.0130044	0.00359536	0.00542889	0.00718069	0.00296681
y	0.0496669	0.122529	0.435275	0.0289401	0.0368325	0.0249301	0.0666679	0.122965	0.00618798	0.0481261	0.0145568	0.0172787	0.00437481	0.0169318	0.00473842
ε	0.109442	0.057904	0.746196	0.009753	0.00735318	0.0113562	0.0125658	0.0159135	0.00547803	0.00645776	0.00816051	0.00155519	0.00195391	0.00470202	0.00120904
b	0.0285599	0.0829895	0.820129	0.00918447	0.00785055	0.00372058	0.0050963	0.0128391	0.00295306	0.00247317	0.00454756	0.0018157	0.00117961	0.0113288	0.00533233
h	0.0307338	0.1677	0.320917	0.0230178	0.0116111	0.0422368	0.0293673	0.0268557	0.00919807	0.000976208	0.0545779	0.0376948	0.0191088	0.0428114	0.183194
í	0.0314857	0.110083	0.120207	0.0215132	0.00824003	0.0451765	0.0464607	0.0425855	0.0330188	0.0063817	0.0994256	0.0592998	0.0753724	0.0548756	0.245875
y	0.483326	0.225741	0.0600934	0.122324	0.0167357	0.0148267	0.0073132	0.00212542	0.0132702	0.00306165	0.0103592	0.00945758	0.0168011	0.0012311	0.0133339
a	0.727812	0.101007	0.0669127	0.0181327	0.00190271	0.00784555	0.0087137	0.00556603	0.013163	0.0181469	0.011773	0.00174825	0.0035918	0.00308476	0.0105999
n	0.860172	0.0259417	0.0232911	0.01808	0.00170599	0.00763912	0.00632712	0.00399936	0.00952078	0.00749791	0.0113921	0.00144644	0.00442819	0.00213898	0.0164194
g	0.969561	0.00368456	0.0134088	0.00211554	0.000335052	0.000879022	0.00182519	0.00111451	0.000734624	0.0015971	0.00141067	0.000532682	0.00102864	0.000533613	0.00123917
á	0.38732	0.0305394	0.431383	0.0163574	0.00372344	0.0059563	0.010998	0.014958	0.00429135	0.0680917	0.00805377	0.00243696	0.0015924	0.00752662	0.00677178
a	0.0393904	0.0605599	0.142811	0.542191	0.0250004	0.050201	0.018965	0.00788971	0.0249556	0.00673027	0.0217897	0.00970942	0.0278086	0.00588035	0.0161178
d	0.020193	0.0602135	0.0878553	0.464718	0.303039	0.0200968	0.00816906	0.0050041	0.00257142	0.00143051	0.00262323	0.0134229	0.00487078	0.00084555	0.0049467
í	0.0121643	0.0433023	0.072111	0.315397	0.346795	0.0291692	0.0467216	0.0139633	0.00571534	0.00588665	0.0111115	0.0242723	0.00998027	0.00258761	0.0608222
l	0.0159198	0.0141082	0.0225826	0.280753	0.474785	0.039799	0.0245135	0.0103497	0.011715	0.00328043	0.0125051	0.0341859	0.0203939	0.0044929	0.0306159
i	0.00548838	0.00896015	0.022388	0.366882	0.247614	0.0832035	0.0419743	0.018813	0.0145219	0.00759879	0.0208188	0.0203353	0.020869	0.00445197	0.116081
b	0.00364557	0.0070381	0.0771672	0.166333	0.408084	0.119914	0.0561222	0.0408897	0.0138872	0.0154347	0.00923639	0.0142486	0.0102928	0.0144896	0.0432165
h	0.00111804	0.00808404	0.157097	0.0684383	0.541119	0.0831589	0.0755651	0.0372273	0.00272351	0.00887739	0.00139891	0.00628175	0.00161144	0.00354983	0.00375008
í	3.16369e-05	0.00446879	0.206885	0.026886	0.675877	0.0306132	0.0222547	0.00834315	0.00153056	0.000857558	0.00082772	0.00610539	0.00235282	0.0025609	0.0104054
s	2.19537e-05	0.00354074	0.0915631	0.103711	0.448184	0.235459	0.0611432	0.0187419	0.00927639	0.002462	0.00284206	0.00775733	0.00397252	0.0021138	0.00921131
i	0.000215387	0.00208111	0.059938	0.0343376	0.603264	0.102908	0.0847923	0.0309812	0.00852573	0.00123793	0.00610439	0.00600288	0.00507809	0.00291581	0.0516176
l	0.000868085	0.00144296	0.00427126	0.124559	0.173957	0.432763	0.142592	0.0351622	0.0334171	0.0107814	0.00695179	0.00876341	0.00915816	0.00155996	0.0137524
á	0.00641391	0.00407647	0.00645403	0.0263375	0.0702769	0.184545	0.142427	0.0989737	0.0415928	0.00862887	0.0370321	0.0303076	0.0462298	0.0257838	0.27092
a	0.00470468	0.00251522	0.00447417	0.0151679	0.00991528	0.245603	0.287631	0.224777	0.0617893	0.0614779	0.0130165	0.011975	0.0149941	0.0255573	0.0164017
b	0.000518895	0.013519	0.00971283	0.0281824	0.17519	0.159998	0.219866	0.24482	0.0134432	0.0426301	0.00300618	0.0632823	0.0055003	0.00607096	0.0142599
a	1.38411e-05	0.0177406	0.0390501	0.0205818	0.170065	0.110173	0.258834	0.268319	0.0124406	0.0273013	0.0060007	0.0332805	0.00841422	0.0103249	0.0174615
n	9.56003e-06	0.00226495	0.00819946	0.00858335	0.302904	0.117231	0.221981	0.210197	0.00908727	0.0099951	0.00300352	0.0410503	0.00529788	0.0044947	0.0557004
d	0.000456917	0.00144693	0.00775708	0.0160393	0.0682006	0.119764	0.224581	0.273368	0.0359636	0.00317404	0.027384	0.0445267	0.0149245	0.00704901	0.155364
á	0.000360447	0.00287515	0.0191548	0.0156291	0.0706156	0.120324	0.197968	0.247528	0.0215442	0.00706868	0.0262938	0.0555952	0.0098561	0.00912057	0.196066
m	0.000439307	0.000486097	0.00139811	0.00940887	0.00374008	0.106243	0.161822	0.148956	0.411907	0.0570868	0.0444445	0.0264777	0.0136943	0.00244567	0.0114508
w	6.40047e-05	0.000524002	0.000525578	0.00373772	0.000911355	0.0145308	0.0557754	0.0338216	0.144003	0.631181	0.0466033	0.00828962	0.0136572	0.00819739	0.0381773
á	0.000590985	0.00217639	0.0120223	0.00437063	0.0023487	0.0363307	0.131682	0.227515	0.0177062	0.528021	0.00680391	0.00233375	0.00195195	0.00602506	0.0201217
s	0.0042138	0.00149446	0.00236161	0.00767617	0.00105198	0.0467743	0.167342	0.0587625	0.332005	0.246305	0.0681036	0.00669186	0.0258714	0.0109485	0.0203974
í	0.00849436	0.00722028	0.0222615	0.00713224	0.0127831	0.0822971	0.265182	0.216439	0.0350101	0.0465882	0.0454913	0.016216	0.020615	0.0311164	0.183153
o	0.00253939	0.000681268	0.000782283	0.00787601	0.00130039	0.0247636	0.057545	0.120514	0.391298	0.0530778	0.196576	0.0668927	0.044919	0.0100572	0.0211781
s	5.0284e-05	0.00529249	0.00153627	0.0105288	0.0143737	0.00728502	0.0140496	0.11253	0.108019	0.160106	0.0483499	0.447597	0.037296	0.0146471	0.0183374
ε	6.47822e-05	0.00567225	0.00522383	0.00374114	0.00932661	0.0085369	0.0353106	0.161022	0.134076	0.181596	0.0509419	0.321484	0.0286433	0.0116915	0.0426689
r	2.54128e-05	0.000272777	0.000533469	0.0020917	0.00185872	0.0124773	0.0517033	0.128558	0.102196	0.0635994	0.131553	0.242871	0.0374818	0.0148515	0.209927
έ	0.000388622	0.000171735	0.00130268	0.00367538	0.00275882	0.023533	0.0699528	0.36212	0.0747105	0.0126628	0.225303	0.0686581	0.0380074	0.0446572	0.0720973
i	0.00011705	6.93597e-05	0.000122861	0.0020401	0.00033321	0.010016	0.0284516	0.0536551	0.282158	0.0490161	0.311963	0.0827754	0.112121	0.0115251	0.0556356
b	0.00058752	0.000254009	0.000335072	0.00222928	0.0015283	0.00725398	0.0179354	0.0457269	0.0704098	0.0403571	0.158413	0.34808	0.119767	0.0554772	0.131645
ó	2.86858e-05	0.00147574	0.00434895	0.00117517	0.00289717	0.00581945	0.0580373	0.176104	0.0416227	0.108331	0.0420891	0.283989	0.0823362	0.111201	0.080544
r	7.57528e-06	0.000111288	0.000546612	0.000480139	0.0027384	0.00951284	0.0441308	0.140687	0.0621062	0.0982575	0.0431903	0.320431	0.0801809	0.0434574	0.154163
o	0.000100474	0.0005172	0.00486055	0.00193427	0.00264497	0.0113638	0.0348724	0.239222	0.0997852	0.0531513	0.141296	0.150811	0.0375394	0.0336615	0.18824
k	0.00104238	0.000196197	0.000467616	0.0024497	0.000320335	0.00692918	0.0139555	0.0559016	0.268203	0.0839601	0.234356	0.0989337	0.122763	0.0262887	0.0842328
a	0.0001722	0.000517297	0.00217203	0.000961819	0.00234683	0.00361799	0.0112971	0.0844156	0.0453791	0.00103292	0.105121	0.21918	0.238609	0.0831304	0.202047
á	0.000125998	0.000217044	0.000915926	0.000327226	0.00175675	0.00230225	0.0117961	0.0665209	0.0168345	0.00962168	0.0398739	0.172021	0.0690413	0.106855	0.50179
</S>	5.25058e-05	0.000130093	0.000112985	0.000848854	0.000375507	0.0020944	0.00372642	0.00540331	0.0474326	0.0144462	0.106412	0.103108	0.294687	0.0831756	0.337995
