 	il	est	assis	sur	la	chaise	</S>
w	0.898086	0.0899208	0.000576839	0.00187386	0.00923392	0.000236108	7.23759e-05
a	0.939762	0.0476305	0.000218798	0.00205474	0.0100434	0.00027216	1.88639e-05
a	0.160155	0.763107	0.0509555	0.0122775	0.00827863	0.000328336	0.00489804
d	0.0527461	0.496445	0.290605	0.0852706	0.026952	0.00779262	0.0401895
í	0.0733934	0.503595	0.287491	0.0697068	0.00762104	0.000273618	0.0579195
d	0.00854974	0.135072	0.479401	0.158431	0.0298471	0.00312839	0.185571
z	0.0232092	0.168869	0.52103	0.208714	0.0278647	0.00083503	0.0494781
a	0.0030401	0.020831	0.949781	0.0234346	0.00206179	8.55328e-05	0.000766299
a	0.00109845	0.0129132	0.868692	0.0952873	0.0101076	0.000729249	0.0111725
m	0.00127903	0.0295543	0.124833	0.571656	0.205193	0.0328407	0.034645
ó	0.00151127	0.0335158	0.105383	0.294556	0.135363	0.00488748	0.424783
k	0.00271192	0.0119349	0.0240823	0.0998085	0.121294	0.710245	0.0299235
í	2.44903e-05	3.55879e-05	0.00155836	0.00586626	0.00834741	0.976317	0.00785089
t	5.0619e-05	0.000175508	0.00868844	0.0102172	0.0133032	0.951565	0.0159996
i	0.000377496	0.000558025	0.00586366	0.010573	0.0428202	0.869857	0.0699511
</S>	0.00205869	0.00563417	0.0278944	0.0741715	0.12905	0.381404	0.379787
