 	les	marques	laissées	par	les	femmes	qui	se	sont	battues	dans	la	savane	m'	ont	stupéfait	</S>
i	0.479305	0.326649	0.0569026	0.0150552	0.0313214	0.00460477	0.0208191	0.0467362	0.00464758	0.000299341	0.00234299	0.00504168	0.00258008	0.00183039	0.00169779	5.49726e-05	0.000112786
b	0.190482	0.601357	0.0481641	0.0617638	0.0428802	0.00394982	0.00320172	0.0052974	0.00270674	0.0112018	0.0129435	0.00672226	0.00280171	0.00105665	0.000952801	0.00347454	0.00104348
í	0.1394	0.441627	0.0962757	0.133783	0.0865116	0.0296502	0.00851602	0.0144842	0.00205013	0.0105989	0.00339819	0.0095196	0.00650551	0.00649006	0.00431281	0.00437911	0.00249798
n	0.0893643	0.786686	0.0382712	0.0218797	0.00811607	0.00313916	0.00403176	0.00830536	0.00104994	0.00531719	0.00119212	0.00231895	0.00104019	0.00642335	0.00148473	0.00137427	0.0200061
d	0.323773	0.545005	0.0176749	0.0297902	0.0138653	0.000726024	0.00226555	0.00799544	0.00274355	0.0153154	0.0050805	0.00768883	0.00339748	0.0156631	0.00179152	0.000122695	0.00710128
í	0.179937	0.613755	0.0413842	0.0229394	0.00458356	0.00394927	0.00906991	0.00609323	0.00572388	0.00745634	0.00389429	0.00618456	0.002293	0.0173217	0.00108352	0.00069993	0.0736312
b	0.0647478	0.0822419	0.399846	0.0774739	0.0654324	0.00479833	0.0257919	0.050161	0.0748619	0.0242007	0.023298	0.0170548	0.0049318	0.0174013	0.0289458	0.00243537	0.0363772
é	0.181933	0.0891702	0.208296	0.120056	0.0928711	0.019342	0.0228942	0.0321076	0.0186333	0.00589684	0.00907275	0.0341028	0.00440993	0.0217326	0.0176709	0.00606529	0.115745
t	0.133848	0.112138	0.199032	0.06495	0.0794145	0.0251611	0.036017	0.109212	0.051744	0.00936792	0.013161	0.0269615	0.00650804	0.0444313	0.0346281	0.0145425	0.0388826
u	0.0517584	0.049976	0.0978388	0.187907	0.245876	0.047955	0.0684302	0.0957829	0.0184695	0.00471099	0.01277	0.0201183	0.0315534	0.0177633	0.0107265	0.0224183	0.0159461
m	0.0509075	0.0737859	0.0730942	0.179733	0.226159	0.0541536	0.0517157	0.0636592	0.0268916	0.0275222	0.017164	0.0116084	0.0123412	0.0121143	0.00612061	0.03491	0.0781197
b	0.022042	0.0166474	0.068978	0.121358	0.366345	0.0597894	0.129219	0.0577744	0.0504178	0.0120047	0.0197257	0.0207242	0.00337728	0.00859354	0.00311224	0.00306742	0.0368237
a	0.0523002	0.0296943	0.0738456	0.154803	0.24171	0.0265436	0.187681	0.122857	0.0264138	0.0132942	0.010281	0.0239253	0.00500369	0.0089455	0.00139758	0.00188516	0.0194199
y	0.00453017	0.00317531	0.0743925	0.045129	0.132986	0.0312366	0.139744	0.17651	0.287253	0.0183465	0.0356672	0.0177282	0.00450389	0.0104929	0.0104103	0.000727073	0.00716742
é	0.00721563	0.0138753	0.0897902	0.120792	0.136005	0.116049	0.191206	0.0669486	0.0915084	0.0300187	0.0642511	0.0198142	0.0258918	0.00677022	0.00384165	0.0099236	0.00609985
é	0.00538123	0.00771411	0.063057	0.0383155	0.0931023	0.099647	0.222826	0.156783	0.207202	0.0231992	0.0334609	0.0145777	0.0174734	0.00467308	0.00469785	0.00384523	0.0040439
b	0.00178362	0.00859251	0.0304321	0.135366	0.0617638	0.0306371	0.0118578	0.0308008	0.188832	0.302709	0.152206	0.0174324	0.0151879	0.00161527	0.00111159	0.00290908	0.00676265
v	0.00140971	0.00775293	0.020568	0.103164	0.0805916	0.00692559	0.0102606	0.0317847	0.0508701	0.586507	0.0401737	0.0317672	0.0134887	0.00262345	0.00201494	0.0023587	0.00773851
u	0.00155839	0.00916742	0.0316592	0.111577	0.0617391	0.00299859	0.0050753	0.021908	0.0283268	0.584705	0.0647053	0.0389738	0.0220624	0.00338457	0.00135322	0.000511115	0.0102941
n	0.00403427	0.00679575	0.0752655	0.0372154	0.14567	0.0261332	0.0646401	0.0799511	0.116053	0.260701	0.0854135	0.0492997	0.0191322	0.00553954	0.00177519	0.00133074	0.0210493
ú	0.00250969	0.00332536	0.03306	0.112657	0.144522	0.0205509	0.147182	0.111039	0.0707184	0.117841	0.0674545	0.107868	0.0182601	0.0119209	0.00656857	0.00149768	0.0230245
a	0.000902804	0.000673356	0.0110233	0.0230828	0.0859641	0.00538259	0.120487	0.171164	0.0987079	0.0342473	0.195087	0.164501	0.0462342	0.0251958	0.0141158	0.000639093	0.00259212
y	0.00197269	0.0106555	0.0159523	0.0421951	0.0237235	0.00525612	0.00678791	0.0109565	0.0494103	0.161989	0.399389	0.137522	0.0921474	0.0125096	0.0065	0.0112524	0.0117808
ú	0.000975546	0.00785911	0.0333995	0.0144556	0.00912107	0.0154709	0.0262043	0.00393776	0.0388743	0.110761	0.460792	0.111663	0.126923	0.00660028	0.00414294	0.00779456	0.0210256
r	0.000643174	0.00245893	0.0137511	0.016389	0.05229	0.00968025	0.0617346	0.0119494	0.03302	0.0910444	0.331694	0.199162	0.0462384	0.0157303	0.00498211	0.0114384	0.0977945
u	0.000561537	0.00126439	0.00506189	0.0212639	0.0268867	0.00805469	0.182778	0.0654783	0.0387239	0.0638878	0.200662	0.260575	0.0858632	0.0226159	0.00502888	0.00229724	0.00899748
s	0.000138069	0.000144048	0.00235618	0.00438531	0.00741746	0.00188384	0.0302881	0.0346407	0.077201	0.0338334	0.342903	0.253715	0.0618911	0.0804616	0.0517416	0.00284932	0.0141501
ó	0.00191452	0.00903179	0.031269	0.0233715	0.0264615	0.00400494	0.0453965	0.00749621	0.00760309	0.0391449	0.355856	0.20745	0.153873	0.0269455	0.0101753	0.00674513	0.0432612
l	0.000375191	0.000245969	0.00201128	0.00185823	0.00689305	0.000490439	0.0268994	0.0170417	0.00535257	0.00770168	0.125925	0.107898	0.373291	0.17313	0.11072	0.0343142	0.0058524
ω	0.000387758	0.00102616	0.00532793	0.00948442	0.00380402	0.00127243	0.00605112	0.0031034	0.00578203	0.0480279	0.318062	0.139918	0.156892	0.0971492	0.071557	0.0262286	0.105926
n	8.64811e-05	0.000162236	0.000697339	0.00172938	0.00118822	0.000400468	0.00186074	0.0016371	0.00130167	0.0416724	0.0556405	0.0252871	0.774236	0.0212384	0.0126662	0.0389586	0.0212372
g	0.000163125	0.000743693	0.000753499	0.00188473	0.000812169	0.000276594	0.00597397	0.00232956	0.00173771	0.0405939	0.140943	0.12978	0.45167	0.108086	0.0262257	0.00876762	0.0792583
ώ	9.55291e-05	0.000573901	0.00034744	0.000798711	0.000244538	0.000109338	0.0129857	0.00283516	0.000779774	0.00728439	0.0419001	0.0543904	0.661858	0.149084	0.0149581	0.00412733	0.0476276
í	0.000290223	0.000324907	0.00130347	0.000797546	0.00130859	0.000208715	0.00766221	0.00669904	0.00484834	0.00256414	0.0562205	0.104693	0.0944797	0.318869	0.295124	0.011852	0.0927538
p	0.00112674	0.00320279	0.0126463	0.0128812	0.00767067	0.00126093	0.00338661	0.00363398	0.00884215	0.0201529	0.0776159	0.0587889	0.021525	0.1024	0.334255	0.0639176	0.266693
έ	0.000119052	0.000974649	0.0060273	0.00330202	0.003703	9.42792e-05	0.0034128	0.0033605	0.00309268	0.0157392	0.0798086	0.101522	0.13436	0.0980649	0.108567	0.194548	0.243304
ε	0.000265539	0.00040431	0.00125064	0.00148656	0.00295706	0.00018566	0.00896016	0.00794031	0.00291728	0.0168184	0.0466049	0.0776341	0.116939	0.147077	0.0993628	0.0946587	0.374538
n	0.000841012	0.000478367	0.00345608	0.0010146	0.0019729	0.000351873	0.00402711	0.00235057	0.00432142	0.000634875	0.0230156	0.0719253	0.00377676	0.280562	0.315122	0.13798	0.14817
g	0.00269192	0.00272343	0.00436803	0.00375675	0.00119142	0.000954874	0.00470291	0.00105756	0.000816258	0.00101495	0.0334573	0.0845853	0.0312972	0.383378	0.117583	0.0904174	0.236004
á	0.000456368	0.000645153	0.000990908	0.0012251	0.000654792	0.00024105	0.00915572	0.00437666	0.00224479	0.0016536	0.0382718	0.0649111	0.0712104	0.457472	0.13999	0.0689217	0.137579
a	0.000209553	9.05601e-05	0.000818743	0.000907566	0.00144457	0.000143335	0.00345581	0.00172948	0.000513009	0.000537869	0.0121274	0.0543124	0.0104293	0.238715	0.279447	0.224052	0.171067
m	0.00147048	0.00525889	0.0207735	0.0265679	0.0174948	0.00150205	0.0028645	0.00215463	0.00558777	0.0204361	0.0739098	0.0415932	0.0126993	0.0667385	0.109839	0.285549	0.305561
w	0.000283707	0.00208229	0.00442347	0.00579295	0.00836189	0.00521372	0.00391933	0.00102578	0.0050264	0.000560275	0.00268322	0.0138559	0.000116005	0.00508798	0.0141257	0.834035	0.0934067
a	0.000963298	0.000311199	0.00144879	0.00258944	0.00493378	0.00176921	0.00208139	0.000991275	0.00036082	0.000316625	0.000854403	0.0145889	0.000523638	0.0323727	0.0431851	0.831067	0.0616423
</S>	5.14574e-05	0.000208276	0.00220308	0.000880912	0.00145638	0.000159453	0.00115997	0.000333463	0.000467907	0.0010527	0.00429899	0.01054	0.00172487	0.0212702	0.041343	0.321924	0.590926
