 	je	ne	suis	pas	resté	son	ami	fidèle	du	fait	qu'	il	est	fanfaron	</S>
n	0.69548	0.0499717	0.0425902	0.0651737	0.0153922	0.0468185	0.00760963	0.00762466	0.0408753	0.0122809	0.0100253	0.00275788	0.00201058	0.000342895	0.00104606
g	0.994689	0.00154264	0.000465589	0.00131519	0.000443864	0.000937677	1.62871e-05	6.70459e-05	0.000235212	7.45253e-05	0.000126904	5.87576e-05	1.69331e-05	6.62524e-06	4.27478e-06
á	0.981239	0.00660241	0.00269388	0.00198245	0.00108018	0.00131337	0.000651862	0.0014966	0.00135523	0.000679366	0.000283277	0.000215369	0.000252392	0.000139693	1.49806e-05
l	0.0280505	0.394845	0.130529	0.0708379	0.0211554	0.0163853	0.00303258	0.00487794	0.0196231	0.0337834	0.0654991	0.0626682	0.0692436	0.00871393	0.0707548
a	0.274278	0.150455	0.0511876	0.0225225	0.00913454	0.0211358	0.00176915	0.0106305	0.0228506	0.0293892	0.0532898	0.0835248	0.0901069	0.0114769	0.168249
k	0.022416	0.204575	0.247213	0.104992	0.0253894	0.0184718	0.00565248	0.0216619	0.0271468	0.0552185	0.0531616	0.0476364	0.0498866	0.0255427	0.0910373
ώ	0.000579817	0.153515	0.527294	0.123665	0.0606647	0.00882085	0.00677475	0.0191286	0.0187296	0.0361713	0.00491224	0.0109827	0.00373031	0.0157826	0.00924952
n	0.0024881	0.0240786	0.337648	0.275943	0.159555	0.0312307	0.0117811	0.0458471	0.0268685	0.0231152	0.00923458	0.00807923	0.0080022	0.00795443	0.0281746
d	0.00139097	0.0427306	0.261761	0.248844	0.0912035	0.0568896	0.0046381	0.0555319	0.0671811	0.0374144	0.0264242	0.0301176	0.0100756	0.00692423	0.0588725
ώ	0.00194653	0.0681588	0.199843	0.202264	0.0589338	0.0519822	0.0146457	0.112218	0.0606502	0.0358567	0.03853	0.0265274	0.00960825	0.0150513	0.103785
o	0.00149185	0.0346241	0.0679378	0.175683	0.0660802	0.245407	0.00130641	0.0316158	0.154499	0.0530352	0.10094	0.0442711	0.0113054	0.00136985	0.0104331
n	0.000250682	0.0136286	0.0342886	0.0842092	0.154054	0.0852293	0.229529	0.209656	0.0595079	0.0864712	0.0112383	0.0114177	0.0059115	0.00797633	0.00663159
d	0.00271669	0.00446833	0.0109244	0.0262145	0.0491653	0.0818812	0.0293788	0.708446	0.0444312	0.0159157	0.00375122	0.00384448	0.00201542	0.00129098	0.0155557
ú	9.42409e-05	0.00353946	0.0189118	0.0385489	0.0309561	0.0770034	0.0420851	0.584365	0.100434	0.0313126	0.00561899	0.00866059	0.00657466	0.0194161	0.0324793
ú	0.00069326	0.0070217	0.0159689	0.023631	0.00702385	0.053826	0.00841803	0.447453	0.26937	0.0963022	0.0177543	0.0161994	0.0136093	0.00612337	0.0166065
l	9.99664e-06	0.00206142	0.00693928	0.0117072	0.00221692	0.0593412	0.00904743	0.136528	0.193868	0.297065	0.131078	0.108759	0.0315891	0.00352937	0.00626045
a	0.000248465	0.00423471	0.0174319	0.0200254	0.0116107	0.0486536	0.00781485	0.198717	0.136991	0.190014	0.108344	0.0847303	0.0543276	0.0378141	0.0790424
w	0.000111938	0.00244395	0.00561774	0.0131602	0.00630725	0.0703237	0.00209729	0.0183373	0.0647345	0.224004	0.299887	0.162827	0.0984846	0.018286	0.0133773
a	0.00192673	0.0144906	0.0272086	0.049715	0.0926658	0.0547323	0.00222973	0.011636	0.0462034	0.266632	0.13034	0.194422	0.0395561	0.0278245	0.0404166
t	0.000165788	0.00228257	0.00634624	0.0115948	0.0134919	0.0285849	0.00112628	0.0090988	0.100512	0.205632	0.200338	0.19097	0.174568	0.0249078	0.0303807
s	0.00110971	0.00489007	0.0100189	0.0228475	0.00882086	0.0397679	0.000128239	0.0311601	0.177109	0.306778	0.132291	0.126351	0.0383682	0.0535218	0.0468371
í	2.5368e-05	0.000800168	0.0130419	0.0112698	0.0303576	0.00591686	0.00073091	0.00923506	0.0476358	0.221018	0.16392	0.209468	0.0411535	0.113775	0.131651
n	0.00182599	0.0019916	0.0198547	0.0246857	0.0606809	0.0138287	0.00167149	0.0110201	0.085819	0.177681	0.200774	0.161472	0.0442108	0.0968417	0.0976424
a	0.0033924	0.00268062	0.00674809	0.00865137	0.00728625	0.00501561	0.000578446	0.0164181	0.0392173	0.051452	0.190077	0.207294	0.0232843	0.141509	0.296395
w	0.000124461	0.00218044	0.004521	0.00472659	0.00329582	0.0117838	0.000128105	0.00581364	0.025059	0.0380228	0.114405	0.239282	0.381751	0.0966937	0.0722133
a	0.00209569	0.00656481	0.0191301	0.0163789	0.00890628	0.0204157	0.000178474	0.0107241	0.0760191	0.0801624	0.22363	0.203698	0.134565	0.0894568	0.108074
a	0.00127173	0.0017793	0.00271281	0.00343786	0.00170512	0.0143191	0.000106849	0.000736627	0.0110884	0.0169626	0.0962653	0.124236	0.314006	0.163548	0.247825
d	0.00035861	0.00667595	0.0271359	0.0135909	0.00837143	0.0148261	0.00201414	0.00609889	0.00387044	0.00674967	0.00811426	0.0418497	0.420305	0.265781	0.174259
í	2.31708e-05	0.00201221	0.00288656	0.00163461	0.00123249	0.0030693	0.000869136	0.00131107	0.000692073	0.0044889	0.00741253	0.0633177	0.326696	0.151191	0.433163
l	9.09953e-05	0.00209088	0.00821103	0.00823856	0.0025377	0.0441946	0.000488416	0.00297404	0.005645	0.00561357	0.0246527	0.0534543	0.25551	0.248896	0.337402
e	0.0017313	0.00862806	0.00581811	0.00581743	0.00468084	0.00541529	0.000273834	0.00139293	0.00249926	0.00568552	0.0162935	0.0324841	0.102469	0.383352	0.423459
w	1.23751e-05	0.000482335	0.00138274	0.00126546	0.000416671	0.00240149	0.000181396	0.000893933	0.00369104	0.00283266	0.00367679	0.00972762	0.055483	0.75241	0.165143
á	0.000247068	0.00684134	0.0110895	0.0121319	0.0145893	0.00460972	0.000474899	0.000720508	0.0036626	0.0099748	0.0107926	0.049146	0.0983197	0.676678	0.100722
l	9.66384e-06	0.000540434	0.00134731	0.00125225	0.000469297	0.00278891	7.00143e-05	0.000176366	0.0014045	0.00268729	0.00748738	0.0286747	0.0716272	0.368215	0.51325
á	3.92799e-05	0.000804561	0.001965	0.00216854	0.00350526	0.00166646	0.000393306	0.000779805	0.00150024	0.00371719	0.00590684	0.0184563	0.0353522	0.615538	0.308207
</S>	0.000105519	0.00183334	0.00694526	0.00733569	0.00205534	0.0308281	0.000527313	0.00304118	0.0117783	0.0137466	0.0383821	0.052634	0.162356	0.180552	0.487879
