 	l'	enfant	se	déshabille	</S>
m	0.898958	0.0954969	0.00456999	0.000685996	0.000289604
w	0.0146377	0.974148	0.00852876	0.000593394	0.00209245
á	0.00580117	0.993971	2.76424e-05	0.000175785	2.46758e-05
n	0.268675	0.722079	0.0026315	0.000530723	0.00608395
a	0.241593	0.55707	0.0230202	0.0604921	0.117825
b	0.52386	0.0410775	0.399921	0.0151096	0.0200314
o	0.149816	0.0222304	0.729553	0.00772893	0.0906718
l	0.0467333	0.0133518	0.842478	0.0726318	0.0248049
á	0.526013	0.0416987	0.243467	0.0792243	0.109597
a	0.508407	0.13562	0.28822	0.0505607	0.0171924
s	0.0118776	0.0161084	0.281586	0.658191	0.032238
o	0.00564557	0.00333268	0.0293311	0.943236	0.0184543
r	0.0394548	0.00784998	0.0803151	0.82483	0.0475501
á	0.0104625	0.00167336	0.202252	0.235326	0.550287
i	0.0227911	0.00297526	0.26372	0.386515	0.323999
k	0.0059448	0.00470116	0.0468994	0.67616	0.266295
á	0.0023523	0.000237568	0.0150214	0.900191	0.0821974
n	0.016243	0.00261813	0.127528	0.580562	0.273049
d	0.00275737	0.00010751	0.0364633	0.746248	0.214424
á	0.0104778	0.00233477	0.0549302	0.58532	0.346937
</S>	0.0303781	0.00122125	0.0986281	0.263171	0.606601
