 	le	testeur	de	cette	machine	est	un	homme	blanc	</S>
o	0.917124	0.0436846	0.00578504	0.00321975	0.0104911	0.00504843	0.00798199	0.00413178	0.00127095	0.00126284
m	0.0497607	0.842996	0.0418903	0.0160383	0.0174225	0.0150879	0.00726024	0.00171519	0.00514524	0.00268356
e	0.0297061	0.918514	0.0317793	0.00811748	0.007697	0.00173789	0.000990387	0.000963781	0.000284019	0.000210071
i	0.0634779	0.794681	0.0668139	0.0114674	0.00176099	0.00538699	0.00804656	0.0158336	0.00225794	0.0302737
a	0.0214159	0.288581	0.365708	0.137733	0.0109026	0.030637	0.0135586	0.0171448	0.00764001	0.10668
s	0.0137468	0.0424495	0.188951	0.219759	0.297042	0.0963072	0.044974	0.0235475	0.0119395	0.0612837
í	0.0020674	0.00990318	0.0664629	0.381763	0.432384	0.0859159	0.0130957	0.00144541	0.000852984	0.00610887
n	0.00310041	0.00477616	0.0228978	0.0540576	0.649783	0.0844976	0.0298002	0.00845443	0.00503774	0.137595
i	0.00783435	0.00492484	0.00592128	0.0392305	0.868562	0.0450587	0.0121749	0.000847683	0.000652782	0.0147931
m	0.0163616	0.0184661	0.117244	0.188709	0.0979287	0.406494	0.0976141	0.0236352	0.00574161	0.0278059
έ	0.0631973	0.00693106	0.0549729	0.154156	0.0255165	0.17111	0.319238	0.11447	0.0169756	0.0734331
ε	0.0103111	0.00575302	0.0341716	0.0520574	0.0877489	0.18179	0.307781	0.210059	0.0777037	0.0326243
a	0.00104958	0.00595912	0.0379814	0.0376695	0.0454719	0.157487	0.292109	0.249761	0.158913	0.0135967
d	0.00138376	0.0197745	0.0357118	0.0376573	0.0256333	0.224066	0.239207	0.294222	0.101341	0.0210028
í	0.000918147	0.0100732	0.022517	0.0657634	0.0294919	0.371007	0.18347	0.100374	0.0375025	0.178883
e	0.0026367	0.00112301	0.0144254	0.0485754	0.126247	0.176436	0.183297	0.133206	0.123515	0.190537
b	0.00165271	0.00211446	0.00636819	0.0135711	0.0248679	0.0337177	0.138922	0.222731	0.367098	0.188956
a	0.00122631	0.00112258	0.00518947	0.00737642	0.0567525	0.0106981	0.0547999	0.283317	0.504834	0.0746842
a	0.000363293	3.59252e-05	0.00182038	0.00307933	0.0573869	0.00641291	0.0265335	0.108591	0.520232	0.275546
m	0.00127275	0.0001662	0.00451491	0.00840483	0.00641642	0.0262451	0.172417	0.173554	0.26552	0.341488
i	0.0107322	0.00214069	0.0148245	0.0350841	0.0132934	0.0344749	0.285038	0.298243	0.194404	0.111766
</S>	0.0007485	0.000588806	0.00746899	0.01028	0.00165674	0.0280623	0.098809	0.157496	0.282067	0.412823
