 	ce	jeune	garçon	est	encore	incirconcis	</S>
m	0.443022	0.529416	0.0250004	0.00148138	0.000405899	0.000506641	0.000167198
w	0.0101901	0.478066	0.5035	0.0026709	0.00121199	0.000631304	0.00372896
á	0.02366	0.738974	0.232754	0.000707166	0.000211248	0.00339596	0.000296783
n	0.00685355	0.912385	0.0802957	7.18381e-05	1.31187e-05	4.01255e-05	0.000340474
a	0.0568324	0.61487	0.280743	0.0161693	0.0036586	0.00463047	0.0230958
i	0.655113	0.252289	0.0496796	0.0228439	0.0101988	0.00514408	0.00473121
b	0.0513711	0.101034	0.504189	0.283108	0.0432794	0.0101162	0.00690212
a	0.00871131	0.0139289	0.801702	0.124151	0.029597	0.00705701	0.0148526
a	0.0503515	0.0533839	0.493686	0.257872	0.0420676	0.0153278	0.0873116
w	0.0193508	0.0354734	0.180307	0.505213	0.176074	0.0035833	0.0799993
o	0.0541911	0.0400707	0.202831	0.490546	0.107203	0.0133822	0.0917752
a	0.0967761	0.0120088	0.110156	0.37577	0.237221	0.0225011	0.145567
d	0.00373118	0.000538791	0.0106164	0.351307	0.568196	0.0346352	0.0309753
í	0.0155364	0.00104949	0.00276346	0.167564	0.571668	0.0679157	0.173503
l	0.0125646	0.014816	0.0232736	0.121603	0.36836	0.157833	0.30155
o	0.00304276	0.000554933	0.0021936	0.1459	0.299408	0.180687	0.368214
s	0.00474304	0.0016975	0.00108153	0.0144273	0.0327567	0.831814	0.11348
u	0.00505968	4.93816e-05	1.75851e-05	0.00134872	0.0105064	0.969521	0.0134967
r	0.00148383	0.000238392	3.87275e-05	0.000399526	0.000880951	0.92476	0.0721987
ú	0.00111464	0.000140001	4.10888e-05	0.00565081	0.00756612	0.864583	0.120904
</S>	0.004503	0.0030878	0.000576737	0.0399412	0.0187812	0.146776	0.786334
