 	le	chef	abuse	de	ses	avantages	</S>
o	0.902523	0.0755097	0.0101029	0.00643015	0.00332437	0.00191808	0.000191709
k	0.0434231	0.953146	0.000810649	0.000674421	0.000675474	0.000665787	0.000604319
o	0.00512532	0.988474	0.000671724	0.00177216	0.00186477	0.00102167	0.00107036
n	0.00232237	0.988287	0.000757539	0.00180816	0.00324433	0.00160881	0.00197168
d	0.0327813	0.943049	0.00214378	0.00468677	0.0057032	0.00571922	0.00591672
z	0.0251665	0.96339	0.00182473	0.00146672	0.000855074	0.000654192	0.0066427
i	0.0466724	0.919189	0.012568	0.00313599	0.000888182	0.00116133	0.0163849
a	0.478536	0.098575	0.321997	0.0403668	0.0191947	0.0108892	0.0304416
b	0.131929	0.0630511	0.52205	0.106142	0.0409112	0.0207688	0.115149
h	0.0365198	0.0016667	0.614301	0.200226	0.0693396	0.0409668	0.0369808
í	0.0403801	0.00248767	0.726694	0.129787	0.042437	0.0337003	0.0245142
l	0.0337579	0.00493877	0.594597	0.189113	0.0394653	0.0255906	0.112537
á	0.0344323	0.0147538	0.425727	0.190374	0.0686298	0.0690794	0.197004
a	0.0512524	0.00236505	0.328746	0.351994	0.0949522	0.0477465	0.122943
p	0.00333688	0.0149103	0.22303	0.587767	0.0735177	0.025341	0.072097
é	0.000826196	0.0109062	0.297877	0.530704	0.0665395	0.0155001	0.0776475
n	0.00226045	0.0264685	0.227958	0.48306	0.0877053	0.026822	0.145726
d	0.00387667	0.0211558	0.341829	0.467538	0.0656767	0.0282639	0.0716605
i	0.00812045	0.0401106	0.209921	0.417922	0.0905968	0.0269592	0.20637
s	0.00456504	0.00135112	0.128678	0.441305	0.231803	0.0840297	0.108268
á	0.00479064	0.000284849	0.0372686	0.243087	0.230985	0.114851	0.368733
ω	0.0276946	0.00183782	0.0124139	0.151773	0.53399	0.22862	0.0436716
b	0.000854931	0.0038431	0.0150858	0.105781	0.365065	0.428773	0.0805974
v	0.000542124	0.00101033	0.06195	0.110813	0.323142	0.46666	0.0358824
έ	0.000394735	0.000131334	0.0919364	0.123352	0.20856	0.539188	0.036437
b	0.00030288	1.99253e-05	0.0213903	0.0599352	0.116955	0.167026	0.63437
á	0.004117	2.20325e-05	0.143285	0.156804	0.315265	0.287678	0.0928291
n	0.0030167	7.223e-05	0.0140119	0.0189344	0.0608538	0.149402	0.753709
d	0.0242365	0.00347428	0.019414	0.0339446	0.0771515	0.281709	0.56007
u	0.0193866	0.0301491	0.00577214	0.0143614	0.0304972	0.084052	0.815782
l	0.00164342	0.000795498	0.00157656	0.0231122	0.0541742	0.0650638	0.853634
u	0.00109268	0.000230677	0.004158	0.0264303	0.109919	0.201249	0.65692
y	0.00237822	0.000129931	0.00846087	0.0209787	0.0776822	0.196337	0.694033
á	0.00478747	0.00117596	0.0202442	0.0687186	0.239157	0.196204	0.469713
w	0.0102532	0.0012873	0.0227928	0.0667672	0.290938	0.386151	0.221811
a	0.00446718	0.000246147	0.0486107	0.067958	0.223728	0.42089	0.234099
</S>	0.000545523	0.00019121	0.00995935	0.0298853	0.121934	0.230805	0.606679
