 	ton	repas-ci	m'	a	plu	</S>
e	0.609358	0.364971	0.0200544	0.0052853	7.75765e-05	0.000253841
l	0.0358661	0.947754	0.0024708	0.0109138	0.00217797	0.00081737
á	0.0147296	0.866149	0.0099833	0.0429039	0.0110734	0.0551612
m	0.0251131	0.785628	0.0833454	0.0565913	0.00776647	0.0415559
b	0.177483	0.709144	0.0158103	0.0384141	0.0146113	0.0445368
o	0.1181	0.67114	0.0207232	0.0502535	0.00902627	0.130756
y	0.180389	0.516212	0.0433033	0.183196	0.0241701	0.0527289
a	0.666833	0.252883	0.0353822	0.0212548	0.00413206	0.0195145
n	0.684138	0.0519006	0.226792	0.0303062	0.0017211	0.00514253
ω	0.735009	0.0427434	0.216881	0.00281677	0.000336333	0.00221296
y	0.0226525	0.184306	0.168612	0.312277	0.0698885	0.242263
é	0.623706	0.203852	0.0244067	0.0502396	0.0277635	0.0700317
é	0.464266	0.0502815	0.317755	0.112801	0.0346557	0.0202403
p	0.00404371	0.0188943	0.0394814	0.418339	0.489592	0.0296495
ω	0.000637164	0.00161333	0.00406307	0.116024	0.820808	0.0568544
r	0.0115914	0.0257751	0.119116	0.227019	0.423689	0.192809
i	0.0240304	0.0149671	0.0945496	0.244619	0.491427	0.130407
n	0.0243865	0.00701023	0.680513	0.119791	0.0506191	0.11768
g	0.088635	0.0148565	0.799027	0.0558849	0.0190125	0.0225837
á	0.0282353	0.00678622	0.91736	0.0264262	0.00414592	0.0170467
o	0.0266678	0.0199349	0.248703	0.180929	0.303239	0.220526
t	0.00264583	0.0406338	0.00196122	0.128146	0.721748	0.104865
é	0.000311317	0.00285539	0.000887346	0.0449453	0.766575	0.184426
m	0.000352848	0.000946668	0.0017592	0.03909	0.393327	0.564525
a	0.00497178	0.00642024	0.0070161	0.111866	0.187469	0.682257
</S>	0.0424958	0.0105188	0.0818036	0.088549	0.0372399	0.739393
