 	montre-moi	ta	blessure	</S>
m	0.697304	0.278611	0.0214679	0.00261716
ó	0.22963	0.5455	0.0131089	0.211761
s	0.962838	0.0160749	0.0131214	0.00796617
ω	0.465385	0.053303	0.0034646	0.477847
n	0.771321	0.0988561	0.0296176	0.100205
g	0.919572	0.0551172	0.00358343	0.0217278
ώ	0.980198	0.0149757	0.000155378	0.00467116
s	0.276136	0.627249	0.0417009	0.0549139
ώ	0.473446	0.398927	0.0113344	0.116293
n	0.074194	0.857649	0.0418472	0.0263095
g	0.273879	0.711763	0.00604951	0.00830836
á	0.379434	0.564332	0.0301094	0.0261238
p	0.0301555	0.616402	0.206043	0.1474
ó	0.0464667	0.162992	0.748619	0.0419219
r	0.0136238	0.0414773	0.870799	0.0741002
á	0.0777477	0.0910034	0.530684	0.300565
y	0.0162208	0.409841	0.129387	0.44455
á	0.116578	0.565941	0.141747	0.175734
n	0.0162377	0.70019	0.185257	0.0983153
ω	0.129741	0.642838	0.0659658	0.161455
y	0.0100488	0.209389	0.19573	0.584832
é	0.111358	0.21688	0.236022	0.43574
</S>	0.0162315	0.392417	0.175926	0.415426
