 	cette	jeune	fille	a	un	niveau	intellectuel	important	</S>
m	0.620252	0.359793	0.0138122	0.000496381	0.00112141	0.00214954	0.00219564	0.000123552	5.64526e-05
w	0.138687	0.748865	0.109364	0.00182029	0.000529145	0.000179363	0.000286503	2.25674e-05	0.000245023
á	0.0398541	0.569723	0.388525	0.000397421	0.00051756	0.00029319	0.000570521	0.000105141	1.45623e-05
n	0.289714	0.661031	0.0472414	0.000386837	0.000244267	0.000213106	0.000210376	5.42029e-05	0.00090559
a	0.0117007	0.363776	0.581474	0.0155512	0.00622574	0.00217802	0.0077292	0.000641804	0.0107236
o	0.859585	0.0944805	0.0217933	0.00793635	0.0041114	0.00358041	0.00265223	0.00136619	0.00449499
y	0.501391	0.22965	0.185738	0.0439233	0.0089296	0.00613795	0.00133906	0.00683925	0.0160523
ú	0.470656	0.301301	0.212606	0.00555958	0.00366287	0.00148972	0.000518435	0.000502092	0.00370359
r	0.90565	0.068307	0.00540802	0.00330887	0.00423175	0.00251121	0.00438904	0.000333282	0.00586033
u	0.855628	0.0976252	0.0136625	0.00470406	0.00735407	0.00490309	0.0085695	0.00303802	0.0045157
w	0.170504	0.190711	0.356076	0.150376	0.026006	0.0271819	0.0135511	0.0104546	0.05514
ó	0.101092	0.0222491	0.0376149	0.168967	0.142481	0.152529	0.0555901	0.0811624	0.238315
a	0.158661	0.0213105	0.0567069	0.5166	0.0738127	0.0714682	0.0239956	0.0146934	0.0627516
d	0.0281828	0.00160552	0.00987206	0.536251	0.17862	0.0857583	0.0115854	0.00891549	0.139209
í	0.0315874	0.0124982	0.0251063	0.35926	0.185554	0.0632116	0.00919885	0.00743239	0.306152
l	0.0521269	0.00766783	0.00899382	0.178195	0.212877	0.184814	0.0242886	0.0224545	0.308583
a	0.00137791	0.000440455	0.00128191	0.259698	0.255773	0.190798	0.0510664	0.0380858	0.201478
l	0.0206593	0.00114802	0.00401133	0.138118	0.323188	0.303324	0.0638169	0.0987115	0.0470224
e	0.023459	0.00179554	0.00314688	0.131563	0.361429	0.271641	0.0396244	0.0662594	0.101082
n	0.0124366	0.000283107	0.000954901	0.0850271	0.403619	0.396807	0.0183707	0.0354661	0.0470351
d	0.00456059	0.00109589	0.00269403	0.0829085	0.390811	0.296691	0.176041	0.00685863	0.0383396
u	0.00376222	0.00136918	0.00271976	0.083234	0.330208	0.295214	0.239287	0.0094784	0.0347264
b	0.00606641	0.000725227	0.000318596	0.0406653	0.20666	0.291744	0.33391	0.0186275	0.101283
h	0.0185353	0.000270166	6.92473e-05	0.0249517	0.114632	0.520168	0.0584758	0.0737503	0.189147
u	0.0104088	0.000504125	0.000212073	0.0134008	0.180155	0.590937	0.144289	0.00747093	0.0526216
n	0.00157739	3.6579e-05	7.03974e-05	0.0408457	0.105677	0.407382	0.227899	0.0749525	0.141559
d	0.0085329	0.000403457	0.000560172	0.0188992	0.0637679	0.129508	0.723511	0.0141909	0.0406266
é	0.00144422	0.00034019	0.000495931	0.00757632	0.0303904	0.0497639	0.83913	0.0367122	0.0341471
n	0.00073635	4.24015e-05	0.000158546	0.0470177	0.0957007	0.203446	0.174513	0.254539	0.223846
g	0.00260226	0.000155096	0.000462932	0.0306509	0.0866419	0.235092	0.332741	0.122183	0.189471
é	0.00309116	0.000603216	0.00106142	0.0213608	0.0753504	0.166865	0.491515	0.188055	0.0520978
é	0.00308152	0.000186403	0.000248915	0.0268684	0.0397222	0.120896	0.200896	0.172542	0.435559
t	0.0235403	0.000208866	0.000632282	0.0488094	0.0482645	0.0829943	0.150433	0.30756	0.337557
s	0.00305184	8.76651e-05	0.00012138	0.0149384	0.0510217	0.110594	0.0395604	0.452965	0.327659
ω	0.00147573	4.66676e-05	0.000150557	0.00858181	0.0664237	0.190913	0.0663508	0.474915	0.191143
</S>	0.0026463	7.56884e-05	0.000103094	0.0106087	0.0278559	0.0713084	0.0563458	0.163626	0.66743
