 	son	père	lui	a	défendu	de	jouer	au	foot-ball	</S>
t	0.417136	0.498288	0.0578632	0.0150904	0.00146654	0.00173344	0.00584915	0.00219298	0.000260905	0.000118675
á	0.074159	0.889044	0.0166507	0.00836909	0.00180618	0.00160083	0.00295758	0.00281428	0.00188855	0.000709923
á	0.0530715	0.699182	0.159188	0.0443065	0.00271814	0.00593418	0.0031753	0.00238018	0.00750857	0.0225364
á	0.144804	0.180606	0.493377	0.115328	0.0210882	0.00863074	0.0028554	0.00760721	0.00123114	0.0244732
s	0.0092057	0.0146436	0.0841658	0.183702	0.65438	0.0226699	0.0120285	0.00878334	0.00220403	0.00821784
i	0.00110623	0.000994765	0.0146312	0.0533105	0.923669	0.00190003	0.00102625	0.000831413	0.000332943	0.00219734
m	0.0274703	0.00962129	0.0323263	0.0926163	0.645074	0.0299665	0.0136082	0.0340499	0.0137493	0.101518
b	0.0640578	0.0151711	0.120845	0.328387	0.217599	0.096177	0.0228717	0.0333004	0.0102614	0.0913292
i	0.382809	0.0343455	0.0896377	0.0990977	0.0310824	0.0713604	0.0678946	0.0455214	0.0130193	0.165233
w	0.126017	0.0771252	0.469354	0.198577	0.0178213	0.0634494	0.0181307	0.0111856	0.00339889	0.0149406
á	0.08123	0.129315	0.303469	0.202796	0.055277	0.0774006	0.0465793	0.0243838	0.0148352	0.0647139
i	0.088036	0.09749	0.494682	0.100376	0.015859	0.0368882	0.0225158	0.0124564	0.0116182	0.120078
b	0.00141571	0.00688694	0.0441319	0.0638894	0.0303687	0.546016	0.15979	0.0453076	0.0314599	0.0707336
έ	0.00767373	0.00222208	0.0421472	0.0847559	0.030923	0.160296	0.469435	0.0929162	0.0811455	0.0284848
r	0.00160645	0.001354	0.0224506	0.0137064	0.0123343	0.12133	0.316552	0.0781925	0.15456	0.277913
ε	0.0499907	0.00643427	0.0588245	0.0502924	0.0214629	0.217194	0.124069	0.0761349	0.0860439	0.309553
l	0.00706432	0.000571094	0.0428431	0.0490828	0.0100192	0.446897	0.192306	0.198883	0.0227068	0.0296262
á	0.00731036	0.00139827	0.019928	0.0196091	0.0158118	0.214089	0.144292	0.209153	0.0891378	0.27927
d	0.0155914	0.0131399	0.0435029	0.0394989	0.00935835	0.0594532	0.166773	0.397331	0.218514	0.0368377
i	0.00586891	0.00152724	0.00532322	0.0125476	0.0512416	0.0378837	0.105152	0.348287	0.386118	0.0460504
n	0.000274091	0.00014074	0.0011016	0.00250443	0.000959241	0.0209187	0.0241572	0.485326	0.412779	0.051839
g	0.000405755	0.000126038	0.00116784	0.00239435	0.0030152	0.0416319	0.195253	0.329719	0.273908	0.152379
a	0.00380423	0.00201861	0.00351116	0.00227819	0.00186186	0.0222014	0.0933807	0.19302	0.502538	0.175386
l	0.000315126	5.29169e-05	0.000801231	0.000959843	0.000383781	0.0388253	0.0871887	0.442425	0.147585	0.281463
í	0.00184545	6.73633e-05	0.00134461	0.00206362	0.00258405	0.023719	0.0311322	0.23756	0.409483	0.290201
m	0.00411363	0.000294463	0.00394789	0.00298968	0.00106789	0.0111398	0.0126099	0.267649	0.466976	0.229212
b	0.00267634	0.00221706	0.00242128	0.00277561	0.00236838	0.011884	0.0139106	0.310979	0.405201	0.245567
ώ	7.70283e-05	4.50967e-05	0.00021922	0.000206292	0.000665042	0.00203937	0.0447887	0.064514	0.811181	0.0762646
n	1.79382e-05	2.75069e-06	6.34553e-05	0.000108517	3.90619e-05	0.00573185	0.0660523	0.0724079	0.766457	0.0891193
d	0.000161169	2.72189e-05	6.62184e-05	0.000114509	9.7299e-05	0.00764929	0.0254794	0.129978	0.650618	0.185809
ώ	0.000284773	0.000109671	7.10008e-05	7.61628e-05	2.59197e-05	0.004982	0.0184737	0.0558557	0.71894	0.201181
</S>	0.00247989	0.000147853	0.000524121	0.000572655	0.000137537	0.0167314	0.025829	0.152353	0.1995	0.601724
