 	il	est	très	brun	</S>
w	0.952178	0.0418003	0.0040015	0.00197017	4.96874e-05
a	0.938523	0.0407393	0.0166881	0.0039506	9.91886e-05
a	0.313942	0.562719	0.106312	0.000767555	0.0162592
d	0.105114	0.528005	0.28433	0.00827492	0.0742759
í	0.0510626	0.747696	0.0977845	0.000334066	0.103123
t	0.0275573	0.195829	0.162137	0.0111654	0.603312
s	0.0619402	0.273883	0.434486	0.107095	0.122595
ω	0.0342899	0.236571	0.594485	0.109102	0.0255526
n	0.0158523	0.031041	0.122169	0.795535	0.0354029
d	0.0503357	0.19718	0.386451	0.0959651	0.270068
z	0.0101069	0.0492198	0.316407	0.0398379	0.584428
í	0.00793734	0.027301	0.256886	0.0743876	0.633488
í	0.024867	0.0610783	0.222585	0.0362376	0.655232
w	0.0209981	0.0486467	0.345557	0.026312	0.558487
a	0.0473829	0.0433089	0.59129	0.0587768	0.259241
m	0.013597	0.00838897	0.142307	0.0676982	0.768009
έ	0.0275501	0.0546589	0.379065	0.0947364	0.44399
n	0.0299699	0.0837375	0.357379	0.274401	0.254513
d	0.00802149	0.00939733	0.141977	0.0701021	0.770502
e	0.00297615	0.00421808	0.0551544	0.010938	0.926713
</S>	0.000626314	0.00353662	0.08593	0.00553682	0.90437
