 	ragardez	si	vous	le	voyez	au-dessus	</S>
l	0.924849	0.0489525	0.0119695	0.0101499	0.000528186	0.00341226	0.000138494
é	0.850247	0.110336	0.00997646	0.022319	0.00466938	0.000501903	0.00195035
t	0.871187	0.108298	0.00813518	0.00968548	0.00158885	0.00053872	0.000566939
á	0.041524	0.387759	0.0106276	0.0730867	0.417586	0.0137901	0.0556262
á	0.134396	0.270692	0.0493042	0.028225	0.0756974	0.0122572	0.429428
w	0.198346	0.567812	0.11504	0.0706784	0.0184538	0.00390479	0.0257654
á	0.101322	0.579565	0.14147	0.111419	0.0386936	0.00197972	0.0255505
á	0.189987	0.381945	0.233755	0.0774104	0.061318	0.00382437	0.0517597
w	0.0435337	0.235257	0.256265	0.363266	0.0681585	0.0190432	0.014477
a	0.0338795	0.316101	0.239949	0.339774	0.0487608	0.00363643	0.0178991
l	0.0310436	0.244477	0.314914	0.299871	0.0452317	0.0145737	0.0498891
á	0.0125162	0.118092	0.20762	0.375089	0.132232	0.012481	0.14197
a	0.0178034	0.0511982	0.256123	0.361244	0.194359	0.03009	0.0891831
t	0.00179835	0.0204848	0.107997	0.600729	0.238858	0.0269508	0.00318118
á	0.000187272	0.0214395	0.0231624	0.443901	0.375926	0.0988275	0.0365562
á	0.000708147	0.0684482	0.0390012	0.28751	0.265072	0.117654	0.221606
m	0.00726071	0.0260662	0.227917	0.201979	0.428706	0.0643721	0.0436982
á	0.00582949	0.006044	0.070089	0.110882	0.450497	0.0361378	0.320521
m	0.0206288	0.0208274	0.108224	0.118535	0.3893	0.31842	0.0240635
ó	0.00337305	0.00141408	0.0365577	0.0298232	0.148113	0.209223	0.571495
i	0.000784111	0.000865661	0.00430828	0.0410113	0.065337	0.839184	0.0485102
k	0.000117452	0.00152803	0.000756506	0.0101566	0.0432189	0.850889	0.0933332
o	0.0011033	0.00324389	0.0044467	0.0214495	0.0181229	0.925019	0.0266146
ó	0.000131259	0.000491408	0.00133211	0.0094102	0.00945115	0.948832	0.0303516
</S>	0.000223285	0.00063365	0.00268741	0.0258882	0.00953813	0.420035	0.540994
