 	prends	les	feuilles	epororo	pour	nettoyer	les	fesses	de	l'	enfant	</S>
k	0.762772	0.155538	0.0378582	0.0210527	0.0140691	0.000685573	0.00179541	0.00103408	0.000756741	0.00438108	4.09268e-05	1.57052e-05
o	0.858555	0.0896989	0.0143046	0.0343124	0.00117046	0.000579775	0.000122479	0.000651738	0.000267949	0.000210946	6.69778e-05	5.86234e-05
b	0.235527	0.113778	0.10496	0.348526	0.0215727	0.0994241	0.0122334	0.0151594	0.0306378	0.0119681	0.000621616	0.00559174
h	0.609012	0.0744839	0.171253	0.0613114	0.00911353	0.00477427	0.00284736	0.00947985	0.0193536	0.00970645	0.00116014	0.0275042
á	0.283475	0.200059	0.269129	0.0350869	0.0139053	0.00790796	0.00750231	0.0121623	0.028547	0.0201838	0.00422212	0.11782
e	0.0739373	0.404643	0.37552	0.01752	0.0426425	0.0112093	0.0207488	0.00526116	0.00909424	0.0132548	0.00366759	0.0225008
p	0.121221	0.211328	0.326013	0.198535	0.0463901	0.0361497	0.00935906	0.0176345	0.0138896	0.00190364	0.00314653	0.0144296
ω	0.168995	0.144636	0.207774	0.384289	0.014721	0.0421572	0.00238181	0.00332672	0.0201152	0.000438851	0.00139252	0.00977211
r	0.189266	0.0970116	0.167431	0.457886	0.0238169	0.00561151	0.00668341	0.00807249	0.017611	0.00364842	0.00245966	0.0205016
ω	0.369579	0.101877	0.201205	0.240521	0.0212072	0.00555244	0.00438979	0.00978778	0.0170032	0.00295913	0.00378261	0.0221362
r	0.0205943	0.107544	0.567789	0.134367	0.101634	0.0100033	0.0194685	0.00498918	0.0107869	0.00929249	0.000785691	0.0127464
ω	0.0236426	0.0766763	0.161122	0.452183	0.0852484	0.0126194	0.0133824	0.0405009	0.0297782	0.0118034	0.0171435	0.0759002
b	0.00543881	0.0259859	0.233068	0.365157	0.242239	0.0304071	0.0263763	0.0171155	0.0153981	0.0210328	0.00284153	0.0149399
a	0.0695266	0.117014	0.249971	0.259627	0.169534	0.0474609	0.0232131	0.0068774	0.0245243	0.00235921	0.00463517	0.0252574
á	0.0106234	0.0587656	0.253887	0.113872	0.215447	0.0397096	0.0280927	0.0147982	0.0520035	0.0130715	0.0440689	0.155661
ó	0.00189224	0.00581905	0.0243796	0.0102594	0.584707	0.102585	0.141199	0.0509398	0.0179777	0.0120237	0.000674003	0.0475447
y	0.00350834	0.00821617	0.0218573	0.0124623	0.123932	0.587132	0.128394	0.0751082	0.0316455	0.00451433	0.000779121	0.00245087
á	0.00027126	0.00252267	0.0146176	0.00268674	0.0169703	0.756705	0.0684722	0.0986404	0.0182814	0.00783345	0.000524955	0.012474
á	0.000617991	0.0026216	0.0325225	0.00664389	0.0453077	0.675639	0.0653034	0.0793221	0.0258919	0.023112	0.0050476	0.0379703
l	0.00204365	0.00249782	0.0156891	0.00436498	0.145724	0.128458	0.248308	0.16489	0.0452777	0.210101	0.0259678	0.00667767
a	0.000801287	0.0023999	0.00924749	0.018706	0.0905463	0.153668	0.101933	0.222673	0.18871	0.0556134	0.00898619	0.146716
m	0.00179109	0.00240493	0.0206417	0.00955632	0.0903194	0.227636	0.146014	0.109931	0.0971325	0.175137	0.101513	0.0179222
w	0.000585313	0.00308617	0.00452333	0.0018591	0.22704	0.0500214	0.185261	0.0351552	0.0527539	0.0390382	0.353942	0.0467338
á	3.24175e-05	0.000197428	0.000222412	0.00077419	0.00704415	0.00948676	0.00692076	0.00545238	0.016679	0.00240203	0.945019	0.00576907
n	0.00400185	0.00727403	0.00903295	0.00400636	0.0307829	0.00542759	0.0465605	0.0650805	0.0350111	0.109636	0.649293	0.0338934
a	0.00173611	0.00504096	0.00481785	0.00237256	0.0401449	0.0709603	0.0520915	0.223433	0.0743676	0.0876843	0.224397	0.212954
a	0.00166926	0.00118756	0.00500681	0.0039412	0.0323985	0.0414883	0.15629	0.135693	0.214883	0.301056	0.0187554	0.0876314
n	0.00176432	0.00598045	0.0234204	0.00221793	0.0243881	0.0818652	0.158134	0.160575	0.32043	0.132254	0.0295037	0.059467
y	0.000245225	0.00277116	0.00212153	0.000784231	0.00309897	0.0267126	0.0833402	0.535963	0.151612	0.0784811	0.0233175	0.0915526
ω	0.000332464	0.00234468	0.00244754	0.00141277	0.0013551	0.034793	0.047211	0.525573	0.22345	0.0762365	0.0289278	0.0559159
ω	0.000672611	0.00348553	0.00356379	0.0166113	0.0101491	0.0787028	0.0556094	0.434757	0.277902	0.0372836	0.00418678	0.0770757
</S>	0.000404038	0.000497702	0.00117422	0.000397143	0.0134733	0.00668131	0.0983496	0.0708083	0.281393	0.305027	0.0166304	0.205164
