 	il	a	attrapé	une	grosse	araignée	</S>
w	0.827228	0.148219	0.00244811	0.0121764	0.00758689	0.00194517	0.000396812
a	0.776895	0.174935	0.00120998	0.0280243	0.0169773	0.00184597	0.000112065
á	0.225388	0.638874	0.0879744	0.024732	0.010998	0.00106142	0.0109731
m	0.0551737	0.579794	0.201799	0.0652256	0.0249058	0.00807403	0.0650285
i	0.0520767	0.41144	0.28077	0.0719575	0.025892	0.00558572	0.152278
p	0.00812666	0.0605934	0.735264	0.0914923	0.0552831	0.0134729	0.0357682
i	0.00309977	0.016076	0.621166	0.152053	0.129252	0.0392699	0.0390835
á	0.00693364	0.0679904	0.454809	0.3222	0.124558	0.0135796	0.00992992
k	0.0220641	0.0250002	0.0352085	0.245458	0.448468	0.204631	0.0191699
a	0.000357645	0.00023693	0.00605623	0.0108625	0.117845	0.858871	0.00577078
k	0.00255367	0.00492194	0.0676583	0.046868	0.127404	0.705842	0.0447519
á	0.00031772	0.000333125	0.01051	0.0400977	0.154823	0.707653	0.0862661
l	0.00192473	0.00357645	0.0314952	0.0536379	0.0632083	0.436728	0.409429
á	0.00127902	0.00310533	0.0310149	0.0794056	0.097608	0.670693	0.116894
y	0.0502752	0.0120248	0.00717748	0.0534529	0.0698931	0.226443	0.580734
a	0.0344102	0.0700774	0.0286883	0.0842348	0.0534819	0.0269544	0.702153
ω	0.0309522	0.0248985	0.00712345	0.0726433	0.115268	0.129295	0.619819
n	0.00448252	0.0375223	0.0634107	0.0866755	0.0543023	0.199413	0.554193
έ	0.0146172	0.0496658	0.0266734	0.199619	0.187337	0.0369675	0.48512
</S>	0.00036599	0.00119713	0.00255209	0.0456674	0.0446017	0.00822994	0.897386
