 	il	a	reconstruit	son	ancienne	case	</S>
w	0.852264	0.138835	0.00298402	0.00228546	0.00209327	0.000890325	0.00064791
a	0.788969	0.189347	0.00356765	0.0157449	0.00168426	0.000604553	8.24611e-05
á	0.141752	0.768953	0.0296072	0.0285156	0.00682944	0.00204051	0.0223022
m	0.0332308	0.310158	0.589842	0.0213841	0.0152257	0.00449092	0.0256682
i	0.047918	0.335596	0.327308	0.112863	0.0298748	0.00668968	0.139751
b	0.003757	0.019252	0.888264	0.0397209	0.0238124	0.00252999	0.0226636
v	0.00206578	0.00968851	0.944704	0.0282747	0.00596313	0.000735965	0.00856799
ú	0.000244929	0.00251848	0.992909	0.0035512	0.000686775	1.2175e-05	7.73138e-05
r	0.0140429	0.0977732	0.673408	0.0782851	0.0924369	0.00305735	0.0409963
á	0.104645	0.0831416	0.261148	0.30725	0.124835	0.0378381	0.081142
o	0.0100701	0.02035	0.206592	0.352992	0.393612	0.0149939	0.0013891
t	0.00205124	0.00312097	0.0627388	0.36006	0.357604	0.196707	0.0177178
ó	0.000328416	0.00157535	0.0221434	0.127503	0.78005	0.0480339	0.0203659
n	0.000278566	0.00355581	0.0668835	0.0786643	0.658714	0.0721943	0.11971
g	0.00246409	0.00953845	0.0693759	0.243317	0.534953	0.0689834	0.0713682
á	0.0262978	0.0226396	0.0548051	0.149046	0.251629	0.347338	0.148244
n	0.0277763	0.0211529	0.0401564	0.197971	0.093423	0.168199	0.451322
d	0.00549242	0.00139931	0.000651647	0.0109558	0.00212948	0.940941	0.0384307
é	0.000664326	0.000254893	0.000136982	0.00372193	0.0045861	0.947722	0.042914
e	0.00020147	0.000294984	0.000314986	0.0267966	0.0178684	0.789372	0.165151
y	0.00549336	0.00737127	0.00252552	0.14009	0.0276942	0.362294	0.454532
á	0.00459684	0.0179364	0.00212172	0.073695	0.0134361	0.265982	0.622232
w	0.00565499	0.0196604	0.0343578	0.196033	0.170382	0.290396	0.283515
a	0.0102629	0.0218236	0.053913	0.219943	0.245744	0.156432	0.291881
y	0.00186396	0.00205124	0.00270556	0.123545	0.0896993	0.153457	0.626678
á	0.00280821	0.00876825	0.00127466	0.147131	0.0361368	0.587145	0.216736
k	0.0103228	0.0112623	0.00559747	0.152464	0.0805202	0.587688	0.152145
a	0.000276827	0.00145419	0.0043047	0.0445208	0.504509	0.338469	0.106466
l	0.000338936	0.00054931	0.00654703	0.0266021	0.200671	0.0804103	0.684882
a	0.000367244	0.000600068	0.0116861	0.0330438	0.0896971	0.234051	0.630554
</S>	0.000902908	0.00388661	0.00831707	0.0388791	0.0160295	0.113038	0.818947
