 	mes	amis	se	sont	moqués	de	moi	</S>
a	0.391613	0.486895	0.111599	0.00603682	0.000637854	0.00248766	0.000615297	0.000115312
b	0.0222538	0.954841	0.0143675	0.00558928	0.000691168	0.000308456	0.00147876	0.00047005
i	0.0028701	0.988181	0.00422817	0.00113642	0.00149278	0.000408257	0.000913208	0.000770231
a	0.0450636	0.853801	0.032091	0.0178414	0.00633726	0.00194537	0.00242996	0.0404907
á	0.13777	0.0350523	0.62694	0.151279	0.00138559	0.00424485	0.000395035	0.0429328
k	0.0167117	0.00381671	0.188103	0.631242	0.107196	0.0280406	0.0041128	0.0207779
a	0.00281095	0.0116226	0.110852	0.57421	0.237522	0.0386545	0.00176479	0.0225636
n	0.0101703	0.0948593	0.142945	0.574578	0.116274	0.0392958	0.000768911	0.0211077
i	0.115199	0.0213073	0.219841	0.373934	0.203724	0.0328541	0.00998922	0.0231511
n	0.250264	0.0215153	0.309464	0.175524	0.041623	0.134878	0.0420092	0.0247222
g	0.356007	0.000891859	0.0487657	0.0403585	0.018445	0.0313524	0.459376	0.0448028
á	0.557424	0.00882708	0.0817988	0.0480661	0.0183956	0.0184665	0.238886	0.0281361
k	0.0192124	0.00182963	0.0438688	0.119735	0.145615	0.507137	0.110789	0.0518126
w	0.00022932	0.000559383	0.00265142	0.00450673	0.976595	0.0138135	0.000305883	0.00133838
ε	0.00102211	0.000497918	0.00329096	0.0132941	0.722963	0.241039	0.00410162	0.0137905
ε	0.0016869	0.00242286	0.0363923	0.0593391	0.261121	0.406679	0.0581141	0.174245
l	0.00157295	9.30047e-05	0.00707341	0.034145	0.0183567	0.419674	0.0956627	0.423422
ε	0.0175085	0.000903348	0.0176049	0.0369654	0.0729412	0.271279	0.280994	0.301804
</S>	0.0108932	0.000613634	0.00521248	0.00666433	0.00376063	0.0908961	0.386263	0.495697
