 	tout	ce	qu'	on	lui	disait	avivait	sa	colère	</S>
έ	0.488275	0.209912	0.203388	0.0586813	0.0312516	0.00332617	0.00033731	0.00404918	0.000713729	6.56476e-05
t	0.290701	0.167205	0.0715915	0.0403073	0.0408452	0.318337	0.0562136	0.00873896	0.0033621	0.00269826
s	0.059649	0.155541	0.257344	0.172852	0.0625551	0.123543	0.126163	0.00879341	0.0201717	0.0133875
ω	0.0825417	0.15325	0.414396	0.209589	0.0449353	0.0208296	0.021157	0.0152014	0.0147263	0.0233729
y	0.266853	0.454694	0.206309	0.0442383	0.0140267	0.00113712	0.00323703	0.00315289	0.00217726	0.00417508
á	0.141161	0.250117	0.057418	0.0219285	0.0312651	0.0460514	0.158015	0.0783086	0.045992	0.169743
á	0.165256	0.208206	0.267851	0.153796	0.131101	0.028371	0.00865644	0.0128963	0.00502611	0.0188398
d	0.0749513	0.0623706	0.0859423	0.131394	0.320422	0.259694	0.0266862	0.0112817	0.00423205	0.0230255
z	0.0220231	0.0264335	0.0308724	0.0772106	0.117996	0.473398	0.0345723	0.0208338	0.00540727	0.191254
a	0.0657408	0.0968385	0.067191	0.0934023	0.346872	0.257084	0.0442144	0.0076219	0.00188012	0.0191551
b	0.00986047	0.0290202	0.163856	0.239811	0.19223	0.232534	0.0141698	0.0340155	0.00863063	0.0758722
á	0.120768	0.101203	0.126627	0.45394	0.139776	0.0336639	0.00436765	0.00606266	0.00667452	0.00691725
a	0.121269	0.0369324	0.20428	0.401555	0.20104	0.011466	0.00103411	0.00661417	0.00673245	0.00907698
s	0.0054327	0.00563715	0.0184519	0.0853388	0.121742	0.559191	0.118773	0.0217188	0.00671871	0.0569952
ε	0.002104	0.0111305	0.002531	0.0191499	0.0390308	0.578905	0.226788	0.0263711	0.00697728	0.0870119
r	0.00164354	0.00809076	0.0086403	0.0115942	0.0147524	0.111121	0.435456	0.0896403	0.00546312	0.313598
ε	0.0112609	0.0193383	0.0401669	0.0593819	0.0935181	0.0607945	0.430133	0.124596	0.0548589	0.105952
w	0.0133073	0.0184842	0.0592056	0.182241	0.292084	0.084102	0.182902	0.0988949	0.0173232	0.0514556
a	0.0150051	0.0181553	0.12492	0.287007	0.411707	0.0249567	0.0255341	0.0473804	0.0244271	0.0209078
á	0.00475784	0.00401176	0.0475839	0.148495	0.3139	0.112206	0.0855049	0.168298	0.0181733	0.097069
d	0.00755665	0.0103884	0.0151202	0.0265135	0.0531685	0.197604	0.261605	0.311051	0.0596663	0.0573264
z	0.00290666	0.00261292	0.00263843	0.0103762	0.017437	0.106759	0.156646	0.15668	0.024668	0.519277
a	0.00401039	0.00561763	0.00329649	0.00702475	0.0524389	0.0675392	0.565835	0.12125	0.0428052	0.130183
y	0.00187555	0.00146525	0.00450824	0.0217556	0.0383024	0.0438576	0.176756	0.416456	0.0776382	0.217385
é	0.00373131	0.0107615	0.00323493	0.00617201	0.0166326	0.024694	0.54625	0.159413	0.122579	0.106531
e	0.00518749	0.0084535	0.0101207	0.0177369	0.0243337	0.0164091	0.187944	0.328593	0.302872	0.0983499
l	0.00111219	0.00102691	0.00111108	0.00206561	0.00171298	0.00853516	0.234549	0.277393	0.242694	0.2298
o	0.00299245	0.00257418	0.00192184	0.00355378	0.00455264	0.00859309	0.260015	0.162314	0.354517	0.198966
n	0.00225517	0.00842353	0.00245456	0.00802352	0.0197264	0.00810959	0.286048	0.222092	0.257297	0.18557
d	0.00329246	0.00406814	0.00124255	0.00207995	0.00095333	0.0024206	0.481651	0.160709	0.168066	0.175517
á	0.00080995	0.00268541	0.000815339	0.000841513	0.0014334	0.00294873	0.365982	0.123058	0.106311	0.395115
ω	0.00157171	0.00116233	0.0049417	0.00591075	0.00904048	0.00202937	0.0240055	0.229832	0.32203	0.399476
p	0.0027484	0.00351085	0.00372847	0.00484342	0.00368947	0.00591471	0.0475201	0.242709	0.436429	0.248906
έ	0.00163246	0.00503113	0.00470946	0.00661251	0.00409042	0.00618447	0.149136	0.145674	0.331025	0.345905
w	0.011141	0.00943056	0.0163707	0.0282167	0.0197202	0.00501757	0.0757779	0.263928	0.343246	0.227151
a	0.00591328	0.00599666	0.0240522	0.0238665	0.0228608	0.00187423	0.0186667	0.167265	0.670484	0.0590208
k	0.00219248	0.0028808	0.0129188	0.0172896	0.0218484	0.00827232	0.0181367	0.197623	0.192942	0.525896
y	0.00248058	0.00503708	0.0121928	0.0142008	0.0107013	0.00183061	0.0225884	0.0767674	0.702402	0.151799
έ	0.00167922	0.00312109	0.00363242	0.00345814	0.00221643	0.00034724	0.0288788	0.0554913	0.785961	0.115214
r	0.000597611	0.00145814	0.001974	0.00186567	0.000771628	0.000223242	0.029499	0.103857	0.63686	0.222894
ε	0.00400316	0.0116593	0.0068637	0.0107359	0.00945524	0.00110165	0.0891089	0.338292	0.462774	0.0660066
</S>	0.0017698	0.00328263	0.00299181	0.0030693	0.00540915	0.000800957	0.0438322	0.273584	0.227106	0.438154
