 	dans	ce	village	les	enfants	sont	atteints	de	la	varicelle	</S>
s	0.444766	0.383252	0.0539495	0.079097	0.0228107	0.0100582	0.00119774	0.00145753	0.00296303	0.000319539	0.000128518
á	0.282629	0.369085	0.214003	0.0375559	0.00799982	0.0146541	0.0124904	0.00688923	0.0275394	0.0181152	0.00903959
p	0.0420136	0.0652987	0.872937	0.00757891	0.00425237	0.00439199	0.00138243	6.42736e-05	0.000279062	0.00174026	6.18496e-05
o	0.00467817	0.00684704	0.972467	0.00247651	0.00245253	0.00123797	0.0017329	0.00157926	0.000144719	0.0018194	0.00456414
o	0.0169577	0.0540166	0.916594	0.00715822	0.00114897	0.0011296	0.000429326	0.000805349	0.000206444	0.000602264	0.000951514
y	0.14579	0.356994	0.0468914	0.280866	0.00607892	0.0700653	0.0296718	0.0240687	0.0128242	0.000811057	0.0259382
é	0.149729	0.215813	0.0446103	0.313463	0.0155078	0.180356	0.0328708	0.00585268	0.0103291	0.00188131	0.0295875
a	0.111355	0.137974	0.0175915	0.327309	0.119078	0.212683	0.0228001	0.00610154	0.0137258	0.00481361	0.0265682
n	0.0503251	0.16818	0.0349879	0.12217	0.00903979	0.0869816	0.308656	0.170715	0.0264975	0.00304266	0.0194045
d	0.0544535	0.183256	0.00716088	0.308867	0.0306204	0.0917941	0.195222	0.0348591	0.0341373	0.0177602	0.041869
z	0.0381109	0.125625	0.0203645	0.327977	0.0743943	0.0935629	0.223169	0.0194	0.0247212	0.0333206	0.0193556
é	0.0556887	0.278754	0.0225654	0.192425	0.0578352	0.0667903	0.0527242	0.0197628	0.0316691	0.134243	0.0875426
s	0.0386685	0.220114	0.0387418	0.243429	0.0175727	0.080434	0.0245718	0.0784095	0.0417	0.0892888	0.12707
i	0.156352	0.285969	0.0212379	0.133468	0.139279	0.064726	0.0528357	0.0246947	0.0216306	0.0299039	0.0699021
á	0.0142012	0.0291099	0.00540868	0.266108	0.0535483	0.423756	0.104313	0.0440083	0.0462153	0.00134356	0.0119871
b	0.00674999	0.0213294	0.00421391	0.0236975	0.00159702	0.036945	0.40647	0.408369	0.0676191	0.00935904	0.0136503
h	0.00263482	0.0105819	0.000324972	0.0785768	0.00508517	0.0344895	0.139078	0.568802	0.104926	0.00630704	0.0491942
i	0.0151774	0.0189478	0.000599834	0.152512	0.00624186	0.0336499	0.0709501	0.56447	0.091441	0.00677207	0.0392377
l	0.00303738	0.00482959	0.00084684	0.0416564	0.00108779	0.0176623	0.0329967	0.465769	0.129949	0.0291691	0.272996
o	0.00183774	0.00406472	0.00483046	0.0239457	0.00524261	0.0397515	0.0529873	0.306428	0.2656	0.0627702	0.232541
k	0.00259496	0.00242566	0.000909193	0.01387	0.00111558	0.0051115	0.0198389	0.14263	0.113307	0.640718	0.0574794
ú	0.00228878	0.00809132	0.00232782	0.0518756	0.00128054	0.00923113	0.00928247	0.176829	0.0708361	0.603073	0.0648843
n	0.00206552	0.0017544	0.00285269	0.00640821	0.00128713	0.002244	0.00321435	0.215803	0.0454957	0.653738	0.0651369
g	0.00054627	0.00092252	0.000536723	0.0108781	0.00388294	0.0035356	0.00298864	0.160939	0.102553	0.627815	0.0854021
á	0.000507116	0.000713662	0.000251389	0.0399003	0.0214718	0.0101514	0.00242852	0.0264153	0.0326284	0.781233	0.0842992
</S>	0.0044809	0.00356573	0.00116574	0.00928097	0.0012479	0.0104882	0.00972577	0.0601754	0.179903	0.301157	0.41881
