 	il	a	arrangé	la	machine	qui	était	en	panne	</S>
w	0.767106	0.219804	0.00202534	0.0016744	0.00254966	0.00241141	0.00142557	0.00208442	0.000369961	0.000549158
a	0.747407	0.16793	0.00166451	0.00927715	0.0177847	0.0141805	0.0176139	0.0180444	0.00524984	0.000847717
á	0.157529	0.509451	0.191273	0.0490549	0.0152967	0.00495178	0.0152365	0.0312569	0.00621798	0.0197328
m	0.0281848	0.149811	0.558459	0.0648361	0.026302	0.0211681	0.0148084	0.0934965	0.0194441	0.0234909
i	0.00930675	0.0925077	0.588699	0.130015	0.108906	0.0106113	0.0341941	0.0106585	0.00365732	0.0114445
l	0.00293556	0.00812735	0.827196	0.0693443	0.0506357	0.00417467	0.0112734	0.00599434	0.00426476	0.0160538
o	0.000647107	0.00625022	0.776713	0.0508719	0.0928082	0.00512934	0.0164594	0.00995402	0.00674901	0.0344175
n	0.00514553	0.0389785	0.63876	0.126114	0.0569111	0.00347658	0.0131288	0.0220037	0.00850662	0.0869747
d	0.0315585	0.0542474	0.232272	0.41846	0.108401	0.017557	0.00996496	0.0107465	0.0106148	0.106178
á	0.0861284	0.0874861	0.262152	0.186284	0.0440139	0.0173585	0.00921562	0.00396183	0.00631847	0.297081
a	0.0536637	0.0210363	0.0155088	0.491112	0.0989087	0.221669	0.0182469	0.0510315	0.0174898	0.0113331
s	0.00224281	0.00925555	0.0332646	0.0631901	0.306024	0.224406	0.137491	0.175636	0.0393233	0.00916687
í	0.000112008	0.000418105	0.00587151	0.0240767	0.425256	0.366784	0.151133	0.0202566	0.000952675	0.00513849
n	0.00139006	0.00370941	0.0207873	0.0923638	0.174815	0.263633	0.181855	0.1308	0.0181668	0.11248
i	0.000286237	0.000794405	0.00380488	0.0229407	0.461436	0.462289	0.034805	0.00746384	0.000795501	0.00538484
m	0.00141761	0.00522033	0.0310383	0.203729	0.0950233	0.229977	0.0760211	0.193273	0.0170392	0.147261
á	0.0150005	0.0105819	0.00514697	0.104163	0.0237471	0.207408	0.0585838	0.196061	0.0825942	0.296714
á	0.0137703	0.0220537	0.0138497	0.0543559	0.0236905	0.111411	0.10064	0.244819	0.33951	0.0758999
d	0.000600614	0.00286261	0.0238945	0.0113793	0.00597392	0.0432	0.108245	0.496989	0.187398	0.119458
z	0.00011878	0.000441332	0.00689729	0.00766366	0.019144	0.0571298	0.210993	0.232686	0.0931017	0.371824
e	0.00103674	0.00084034	0.00750067	0.0247881	0.0994887	0.204032	0.492426	0.0372189	0.058324	0.0743451
á	0.000693	0.00114074	0.00485278	0.0441353	0.00679853	0.046851	0.0222855	0.247282	0.210862	0.415099
m	0.00353445	0.0044794	0.0194054	0.0484052	0.0223146	0.180295	0.0699801	0.278796	0.150235	0.222554
i	0.00708357	0.0151293	0.00985792	0.0183793	0.0254562	0.142087	0.278242	0.0555907	0.225509	0.222666
w	0.000206132	0.00123019	0.00466796	0.00490212	0.00258815	0.0120432	0.0195905	0.108271	0.549912	0.296589
á	0.0026205	0.00196913	0.00103739	0.00265618	0.00153232	0.0178694	0.0224218	0.0636818	0.726324	0.159888
a	0.0102336	0.00169117	0.00261072	0.0153689	0.00186726	0.0318962	0.0477801	0.0473821	0.462089	0.379081
</S>	0.00152435	0.00426769	0.0303023	0.0313649	0.0094795	0.0412302	0.0228394	0.299545	0.178456	0.38099
