 	jésus	était	venu	pour	sauver	tout	le	monde	</S>
y	0.722149	0.243066	0.00337516	0.00540824	0.0105957	0.00989922	0.00491299	0.00040064	0.000192211
e	0.890059	0.107463	0.00158539	0.000235907	8.57366e-05	6.38381e-05	0.000230259	0.000117519	0.000159278
s	0.895857	0.0937174	0.00471104	0.00184855	0.000609201	0.000257967	0.000600868	0.000696512	0.00170118
ú	0.890876	0.0830585	0.00551143	0.00163145	0.000309582	0.000693412	0.0010648	0.00383262	0.013022
á	0.407203	0.321197	0.0682636	0.0323302	0.00554724	0.0204937	0.0353713	0.0148713	0.094723
y	0.0309787	0.26876	0.560888	0.0800659	0.00379717	0.00838767	0.0119733	0.00522594	0.0299233
a	0.110121	0.317466	0.473595	0.041191	0.00287631	0.00338195	0.00687303	0.00481904	0.0396768
á	0.0802051	0.265625	0.255824	0.111983	0.0212033	0.0133221	0.0185487	0.0142904	0.218999
m	0.013218	0.125089	0.166026	0.531441	0.0215802	0.053763	0.0453418	0.00868158	0.0348594
í	0.0073595	0.0306597	0.118597	0.712596	0.00903491	0.030763	0.0229369	0.00395666	0.0640964
b	0.00118846	0.0192959	0.0893096	0.293395	0.267754	0.12991	0.0450427	0.0361629	0.117941
h	0.000536258	0.00580264	0.040215	0.216894	0.576133	0.108467	0.0130832	0.0196763	0.0191932
o	9.78399e-05	0.000673393	0.0284531	0.0833892	0.814395	0.0455828	0.00485681	0.00670867	0.0158436
l	0.000462244	0.000384678	0.00958641	0.0627429	0.868832	0.0428664	0.00603529	0.0034969	0.00559375
i	0.000492994	0.000684481	0.0242987	0.0478196	0.728533	0.0599454	0.0112021	0.0105194	0.116504
s	0.000461627	0.0011304	0.0362867	0.181597	0.221202	0.433206	0.0788819	0.00948214	0.0377523
a	0.00436978	0.00374616	0.0188964	0.19869	0.196245	0.155881	0.18377	0.0996974	0.138704
l	0.00317419	0.00395512	0.0080423	0.0753962	0.352447	0.155385	0.185815	0.149514	0.0662719
á	0.00238928	0.00909654	0.0584317	0.11596	0.054897	0.0961578	0.288555	0.12448	0.250032
b	0.00111332	0.00180105	0.0172774	0.100841	0.151006	0.125029	0.29124	0.188353	0.12334
a	0.00176185	0.00289221	0.0120912	0.129729	0.187002	0.137349	0.171367	0.297865	0.0599419
r	0.000292294	0.000378464	0.0037356	0.0460134	0.0906459	0.232899	0.1765	0.290685	0.158851
e	0.000423967	0.000420228	0.00708144	0.0312514	0.187137	0.156533	0.213894	0.141673	0.261586
á	0.000245981	0.000302756	0.00687668	0.0125934	0.0179301	0.221488	0.418063	0.162553	0.159948
t	0.00178246	0.00509469	0.0456919	0.0438563	0.0049188	0.0439536	0.299372	0.36851	0.186821
s	0.000269063	0.000846096	0.0064372	0.0261181	0.0414254	0.101336	0.169256	0.488158	0.166154
ω	0.000144425	0.000316604	0.00240759	0.0221837	0.0638272	0.216503	0.225465	0.390202	0.0789502
</S>	0.000118577	0.000183716	0.00689401	0.0240652	0.0146695	0.159775	0.130231	0.170543	0.493519
