 	un	homme	s'	est	tenu	debout	au	milieu	de	la	route	</S>
i	0.607573	0.344607	0.0282924	0.011194	0.00106547	0.000764809	0.0020145	0.00122137	0.00133958	0.00144265	0.000235011	0.000250101
b	0.152483	0.811064	0.0112774	0.00562962	0.014187	0.00291316	0.000316727	0.000524061	0.000360996	0.000411105	0.000487709	0.000345523
a	0.0396355	0.945705	0.00334186	0.00454421	0.00172813	0.00303258	0.000194355	0.000908993	0.000208139	0.000205149	0.000452929	4.29065e-05
a	0.029541	0.936691	0.0106887	0.00939321	0.0027999	0.00468067	0.000913848	0.00164313	0.000636109	0.000452841	0.000324976	0.00223512
i	0.414838	0.0872925	0.234102	0.145094	0.0226539	0.00518916	0.0170497	0.00182147	0.00723439	0.00399304	0.000659462	0.0600724
p	0.0197761	0.0187255	0.0599533	0.234375	0.497484	0.0920123	0.0169633	0.0173988	0.0101024	0.00452773	0.0107474	0.0179342
ω	0.000801564	0.00861176	0.0150399	0.129921	0.713086	0.124252	0.00233639	0.00202767	0.00105878	0.000222844	0.00102253	0.00162059
ώ	0.101195	0.0304144	0.161473	0.233115	0.378165	0.0423882	0.0183066	0.0096805	0.0098051	0.00383193	0.00195145	0.00967384
í	0.028417	0.00244533	0.324193	0.361411	0.148618	0.0268578	0.0667167	0.0126209	0.00905706	0.00651171	0.00117028	0.0119811
m	0.00319149	0.00233993	0.151826	0.175756	0.184406	0.195139	0.173668	0.0756319	0.019771	0.00841336	0.00314351	0.00671499
i	0.00498451	0.00446272	0.0916234	0.0648443	0.0427085	0.168788	0.268117	0.218339	0.0823373	0.0293137	0.00325723	0.0212249
t	0.00106892	0.0009645	0.00600246	0.0216683	0.20764	0.50886	0.0590504	0.163547	0.0198197	0.0038824	0.00240121	0.00509509
é	0.000277023	0.000767413	0.00334416	0.0242925	0.298674	0.616734	0.0170544	0.0276243	0.00512903	0.000577589	0.000633627	0.00489207
m	0.00033283	0.00238455	0.0090928	0.0877892	0.224776	0.616346	0.0254595	0.018426	0.00770208	0.00153084	0.000889829	0.00527064
é	0.0039338	0.000538322	0.00323762	0.0144104	0.0153242	0.459679	0.198827	0.125297	0.112541	0.0177374	0.000825018	0.0476483
t	0.0013135	0.000617622	0.00847714	0.0250347	0.0085514	0.158095	0.231276	0.379463	0.132045	0.034244	0.0124882	0.0083943
ε	0.000505021	0.000568661	0.000872228	0.00441194	0.0123594	0.826874	0.0467248	0.0627467	0.0290739	0.00489437	0.00703483	0.00393477
ε	0.00104605	0.000999036	0.00235273	0.0151164	0.0561936	0.446757	0.0986021	0.108531	0.17893	0.034445	0.0219161	0.0351109
ó	0.00160774	0.000425204	0.00533228	0.00827227	0.00196069	0.0539032	0.258744	0.14632	0.378491	0.099332	0.00853657	0.0370743
s	0.0113487	0.000765777	0.0133014	0.0102532	0.00468622	0.0214852	0.129629	0.189536	0.314945	0.204362	0.0588352	0.0408536
w	0.00489451	0.000369316	0.00484282	0.00330384	0.00129976	0.00313624	0.0757333	0.381054	0.197958	0.152017	0.0118897	0.163502
έ	0.0274008	0.000916791	0.00288156	0.0055172	0.00024237	0.00519997	0.0561576	0.176343	0.281042	0.241725	0.0265979	0.175977
b	0.000209365	0.000127556	0.00120498	0.00288244	0.00219395	0.0349259	0.0579743	0.157963	0.306147	0.132049	0.0299046	0.274417
h	0.000483359	0.000392742	0.00141117	0.00529479	0.00701329	0.164965	0.120204	0.181888	0.167153	0.130294	0.0850868	0.135814
έ	0.000475953	0.000237265	0.000324587	0.00194275	0.00254061	0.130944	0.0787131	0.243282	0.182372	0.112009	0.176834	0.070325
y	0.00167395	0.000302046	0.00119225	0.00151464	0.00132936	0.0223198	0.0817887	0.0708534	0.216104	0.185866	0.107964	0.309092
á	0.0310835	0.00782402	0.0408352	0.0238743	0.0166183	0.0342536	0.102663	0.1052	0.119034	0.245662	0.0510817	0.22187
k	0.00923185	0.000828843	0.00375438	0.00625389	0.000600613	0.00130043	0.00941837	0.0136331	0.0323145	0.116861	0.732995	0.0728087
ó	9.46316e-05	4.48012e-05	0.000136609	0.0001719	0.000269474	0.00299017	0.00172415	0.0038674	0.00756654	0.0145549	0.960722	0.00785711
ó	6.41236e-05	0.000197836	0.000176962	0.000643082	0.00151524	0.0109186	0.00486376	0.015155	0.0135331	0.0164338	0.887282	0.0492169
</S>	0.00509918	0.00106099	0.0123697	0.00764113	0.00490528	0.00862116	0.0305399	0.0158659	0.05643	0.129315	0.122758	0.605394
