 	le	saka-saka	vert	se	prépare	avec	le	bicarbonate	</S>
a	0.738839	0.137989	0.037979	0.0814618	0.000153988	0.0013424	0.00205272	0.00015369	2.8088e-05
y	0.0350201	0.936546	0.0246323	0.00214054	0.00056506	0.000421047	0.000321403	0.000162824	0.000190404
a	0.12898	0.832694	0.0358123	0.000699531	0.000377227	0.000644339	0.000259188	0.000136031	0.000397712
a	0.378278	0.477657	0.024777	0.00240716	0.0164235	0.00635762	0.00351367	0.000488961	0.0900972
m	0.246291	0.101337	0.478605	0.105207	0.00903876	0.0203544	0.00350394	0.000534168	0.0351292
ó	0.528951	0.0777692	0.0898485	0.20558	0.0210483	0.0391624	0.0125917	0.0018583	0.0231902
t	0.206028	0.0494317	0.347299	0.141766	0.152459	0.0351178	0.0127946	0.00904954	0.0460541
s	0.038382	0.0217383	0.506422	0.16918	0.147856	0.0622571	0.0106089	0.0172536	0.0263017
έ	0.00403962	0.00518079	0.483353	0.355693	0.0682185	0.0409814	0.0110505	0.0187629	0.0127203
í	0.0122549	0.0077808	0.185403	0.443932	0.0402708	0.0302941	0.0149955	0.0456793	0.21939
b	0.0103244	0.000824549	0.349938	0.499306	0.0450143	0.0510968	0.0152167	0.00339764	0.0248817
á	0.00671966	0.00145983	0.0974276	0.48718	0.0505476	0.217237	0.0455866	0.0128838	0.0809582
a	0.026972	0.00537273	0.124412	0.464481	0.17474	0.0931681	0.0383648	0.00987158	0.0626167
l	0.00143131	0.0021756	0.07322	0.118836	0.694586	0.078329	0.0124472	0.00502456	0.0139511
á	0.00028673	0.00117729	0.00961122	0.0155199	0.888648	0.0510848	0.0068902	0.00172203	0.0250598
m	0.0099218	0.0028836	0.044538	0.0316665	0.592509	0.189162	0.0409516	0.00860104	0.0797672
b	0.0157348	0.00169076	0.0307657	0.0496855	0.137958	0.590769	0.124994	0.0160439	0.0323583
á	0.00518873	0.000510207	0.020673	0.111072	0.056245	0.221809	0.0486962	0.0523761	0.48343
m	0.00491787	0.00106784	0.00784605	0.0345616	0.0214007	0.427279	0.349687	0.122239	0.0310012
ó	0.00418801	0.000837641	0.000561712	0.00350361	0.0344402	0.438435	0.178587	0.0437011	0.295745
k	0.0062339	0.00328637	0.00778872	0.0263556	0.0954641	0.396287	0.277236	0.149789	0.0375589
w	0.000460737	0.00058193	0.00852578	0.0110639	0.0302712	0.204256	0.155316	0.525279	0.0642459
á	0.000115988	0.000307647	0.00153605	0.00206746	0.0030466	0.056684	0.0735942	0.82297	0.0396784
m	0.00130925	0.000552513	0.00420463	0.00521566	0.0031575	0.0975096	0.137767	0.629399	0.120885
é	0.00907442	0.000618372	0.000537715	0.00459706	0.00223826	0.111743	0.362948	0.277683	0.23056
t	0.00401501	0.00129438	0.00449918	0.00745893	0.0166112	0.0938624	0.238511	0.472323	0.161425
s	0.000303813	0.000506568	0.00785198	0.00660814	0.00659914	0.0345133	0.103638	0.799667	0.0403125
w	6.23815e-05	4.76936e-05	0.000662613	0.000942461	0.00115305	0.0165316	0.0500781	0.905556	0.0249661
ώ	0.000313085	0.000212101	0.00107399	0.00169951	0.00222231	0.0478772	0.142426	0.693816	0.11036
ώ	6.69505e-05	4.28463e-05	0.000411342	0.000676396	0.00068711	0.0542885	0.119765	0.309514	0.514549
s	0.00328509	0.000777613	0.0117138	0.0146373	0.00673942	0.111175	0.272573	0.15345	0.425648
í	0.00252783	0.0014891	0.020726	0.00907776	0.0126802	0.133591	0.267119	0.0720601	0.480729
</S>	0.00669266	0.0067935	0.00558566	0.0104201	0.00828789	0.0265614	0.146809	0.227328	0.561522
