 	ma	fille	ira	à	l'	école	cette	année	</S>
m	0.614498	0.173722	0.0836512	0.0548648	0.0425703	0.0142471	0.00875027	0.0065107	0.00118579
w	0.00743158	0.986902	0.00176407	0.00172647	0.00111538	0.000123819	0.000269556	2.90984e-05	0.000638082
á	0.000815945	0.994642	0.00310262	0.000353043	0.000473299	0.000486367	3.94624e-05	5.17032e-05	3.56599e-05
n	0.215694	0.779073	0.00152916	0.000555757	0.000710806	0.000831744	0.000160272	0.000166507	0.00127936
a	0.235474	0.446428	0.048285	0.0478706	0.070391	0.00465459	0.0183432	0.017353	0.111201
y	0.593584	0.0787926	0.144807	0.0486549	0.0358311	0.0150545	0.0633022	0.00689506	0.0130792
a	0.159723	0.0397121	0.448806	0.0788393	0.0702262	0.0353498	0.103472	0.00789468	0.0559769
n	0.756485	0.0273276	0.0919809	0.0264295	0.026483	0.0143463	0.0285236	0.000739891	0.0276841
g	0.852969	0.0940379	0.0130507	0.00775996	0.013181	0.0038586	0.00417159	0.000931383	0.0100403
á	0.126351	0.396975	0.222499	0.0491488	0.0571759	0.0493644	0.00887533	0.00535087	0.08426
y	0.313655	0.0257742	0.227668	0.26632	0.0800389	0.0212017	0.0307456	0.00823062	0.026366
o	0.272609	0.0108044	0.530631	0.0906939	0.0376694	0.0192202	0.023127	0.00303237	0.0122127
y	0.29643	0.00791095	0.351471	0.198805	0.064296	0.0224445	0.01781	0.00107217	0.0397595
ú	0.28072	0.00362153	0.56035	0.0682331	0.0404003	0.0260619	0.0126692	0.000813596	0.00713018
r	0.731603	0.00369572	0.123722	0.0513025	0.0338419	0.0121773	0.0138494	0.00257994	0.027228
u	0.356377	0.0172317	0.431653	0.0799303	0.0696414	0.0148741	0.0121941	0.00284351	0.0152558
l	0.0079131	0.000917896	0.136705	0.444431	0.259911	0.0923745	0.0413582	0.00493721	0.0114526
á	0.138636	0.00102528	0.0641673	0.240594	0.124234	0.0663461	0.0631661	0.0164809	0.28535
a	0.0525905	0.00649194	0.0578319	0.275965	0.349646	0.171409	0.0447264	0.0148189	0.0265198
k	0.00733393	0.00471553	0.141973	0.257914	0.184421	0.331173	0.0189332	0.0180618	0.0354744
ó	0.000157711	0.000571171	0.142839	0.2047	0.178893	0.343393	0.0164022	0.0570697	0.0559742
á	0.00257508	0.000368633	0.131294	0.0761697	0.0514901	0.640776	0.0121815	0.0274144	0.0577308
l	0.00153624	0.000207292	0.0162992	0.201105	0.466514	0.188169	0.0877384	0.0149246	0.0235061
e	0.00557581	0.000319143	0.0174639	0.162055	0.337093	0.187777	0.0890003	0.0164993	0.184216
k	0.0053736	0.000246526	0.010113	0.124888	0.286517	0.322517	0.180474	0.0246667	0.0452038
ώ	0.000315087	0.00024022	0.00609475	0.035269	0.079053	0.488852	0.0142527	0.322749	0.053174
ώ	0.000485232	6.49304e-05	0.0106784	0.0371674	0.054998	0.482496	0.027763	0.340572	0.0457749
l	0.00361209	0.000140228	0.00314824	0.0712322	0.183079	0.0985489	0.36976	0.214813	0.0556664
i	0.00204108	0.000112643	0.00495521	0.0509394	0.081377	0.048538	0.200738	0.115407	0.495892
m	0.00137889	0.000101538	0.0022915	0.02885	0.0711669	0.0324144	0.383912	0.107704	0.372181
é	0.00571227	0.00697688	0.00931468	0.0834211	0.152829	0.00680052	0.424349	0.170123	0.140474
b	3.77899e-05	0.000175684	0.00125416	0.0312103	0.0518498	0.0126835	0.171945	0.555366	0.175478
h	4.43755e-05	9.96497e-05	0.00171302	0.00585661	0.00922103	0.00673495	0.0145841	0.921893	0.0398529
a	5.51945e-05	3.9933e-05	0.0025748	0.00569054	0.00967119	0.00770354	0.0063225	0.905368	0.0625745
n	0.00068959	5.56944e-05	0.00583896	0.0153924	0.046077	0.0534884	0.113254	0.589235	0.175968
á	0.0044204	0.000438135	0.0108842	0.0241456	0.0492514	0.0443573	0.0669761	0.398171	0.401356
a	0.0105789	0.00050939	0.00187301	0.0193116	0.0353976	0.0184253	0.427591	0.115325	0.370987
y	0.000840679	0.000171825	0.00399056	0.0392454	0.0289121	0.0283904	0.345164	0.13864	0.414644
é	0.000983636	0.000439087	0.0213349	0.0237388	0.0626926	0.0283991	0.394001	0.0406048	0.427806
</S>	0.000779105	7.97797e-05	0.000735131	0.00288936	0.0085802	0.00207586	0.086362	0.012773	0.885726
