 	les	oiseaux	attrapent	les	insectes	dans	la	savane	brûlée	</S>
a	0.648145	0.312866	0.0212906	0.00549145	0.00468033	0.00392985	0.00149882	0.00204767	4.22233e-05	8.05686e-06
n	0.0702785	0.57257	0.351284	0.00229068	0.000706736	0.000816005	0.000618283	0.00119231	0.000119468	0.000123858
y	0.0372884	0.918059	0.0174621	0.0104455	0.00496616	0.0014257	0.00297572	0.00302601	0.00180569	0.00254515
ω	0.0169631	0.972052	0.00330551	0.00274504	0.00200284	0.0002945	0.000544931	0.000866829	0.000596724	0.000628257
s	0.00737484	0.967528	0.00415728	0.000758339	0.000399952	0.000107182	0.00141449	0.0153785	0.000866459	0.00201444
í	0.0449583	0.124873	0.0732219	0.0590991	0.0542803	0.0201028	0.0522536	0.0110472	0.094029	0.466135
b	0.277929	0.0571609	0.474681	0.0986633	0.0239029	0.0300394	0.0201012	0.00378636	0.00352279	0.0102131
á	0.690922	0.0473548	0.0948226	0.0560413	0.00823432	0.0190305	0.0161612	0.00331601	0.00567267	0.0584443
a	0.362661	0.0730441	0.198711	0.168867	0.0873196	0.0507321	0.0147583	0.00494796	0.0085568	0.0304014
p	0.0348261	0.00648048	0.282031	0.23807	0.121422	0.112632	0.0864652	0.0515211	0.00805244	0.0584995
i	0.0115133	0.0035055	0.793143	0.0816973	0.0151064	0.0212988	0.0153641	0.00844012	0.00351281	0.0464191
á	0.00874142	0.00400723	0.645575	0.215074	0.0176587	0.035498	0.0192541	0.00835612	0.00172556	0.0441097
a	0.0214814	0.00142749	0.00919833	0.310366	0.277038	0.262856	0.0857444	0.0199016	0.00475857	0.00722783
m	0.0107613	0.000969313	0.00961487	0.138302	0.173153	0.262872	0.302661	0.0730893	0.0163223	0.0122555
b	0.00128157	0.00017383	0.000807273	0.0591838	0.722162	0.0970018	0.043979	0.00207481	0.0525516	0.0207839
á	0.00139465	0.000282387	0.0014007	0.170175	0.556718	0.0974618	0.0813295	0.00525206	0.050343	0.0356427
s	0.00568624	0.000471768	0.00366185	0.146521	0.251929	0.301993	0.0938972	0.00339217	0.0207155	0.171732
i	0.00424433	0.00149119	0.0103837	0.140197	0.292043	0.104101	0.192548	0.117203	0.0528777	0.0849096
s	0.00192915	0.000190334	0.00704455	0.0660324	0.0490739	0.175003	0.438409	0.152635	0.0401112	0.069571
í	0.012838	0.00243631	0.00669243	0.0385617	0.0394203	0.0721852	0.31766	0.230746	0.172156	0.107304
b	0.0139584	0.0140121	0.00345812	0.0216033	0.0392445	0.0626597	0.16792	0.278816	0.372248	0.0260802
h	0.0267541	0.0175304	0.00511908	0.0559139	0.031229	0.163042	0.303668	0.149465	0.186867	0.0604115
y	0.00294005	0.000466902	0.00152889	0.0877229	0.0141948	0.113827	0.236387	0.0601978	0.181954	0.30078
á	0.00161954	0.00139244	0.00753032	0.0678479	0.0212966	0.0758447	0.142242	0.183685	0.106907	0.391635
á	0.00343548	0.000262251	0.00171027	0.0340574	0.0508585	0.0427071	0.0861084	0.0417342	0.381452	0.357675
g	0.00620184	0.000577698	0.00544496	0.0157829	0.00983875	0.0384884	0.150635	0.133516	0.509202	0.130313
h	0.00583533	0.000879847	0.00392091	0.0208477	0.00848457	0.0390136	0.17491	0.0654868	0.569489	0.111132
á	0.000691397	0.000348903	0.000506999	0.00746197	0.00660487	0.0141966	0.0954723	0.0505936	0.505219	0.318905
</S>	0.002323	0.000219122	0.000404244	0.00938014	0.0105466	0.00887374	0.0299971	0.032951	0.285675	0.61963
