 	le	fleuve	alima	est	profond	</S>
n	0.563222	0.404675	0.017459	0.00788455	0.00433804	0.00242172
z	0.410314	0.580172	0.00570352	0.000903579	0.00184648	0.00105982
á	0.103409	0.824571	0.0540113	0.00256421	0.0036286	0.0118159
l	0.110293	0.682399	0.104506	0.00701538	0.0116617	0.0841254
é	0.24986	0.418094	0.0995556	0.0225598	0.0145066	0.195424
y	0.373984	0.281673	0.205914	0.0736417	0.0122078	0.052579
á	0.287872	0.283526	0.368608	0.0166593	0.00352281	0.039812
l	0.231749	0.21237	0.520079	0.0188768	0.00396011	0.0129657
i	0.135172	0.132263	0.5072	0.0320856	0.00909803	0.184181
m	0.133155	0.0603464	0.665338	0.0664316	0.0177769	0.0569521
á	0.243395	0.119529	0.197542	0.311872	0.0166899	0.110972
é	0.138172	0.177791	0.211246	0.248465	0.102653	0.121673
d	0.00468373	0.00483036	0.122993	0.687491	0.1401	0.039902
í	0.00273407	0.000735808	0.0399727	0.476357	0.170327	0.309874
l	0.0102536	0.00184312	0.0308084	0.267499	0.254763	0.434833
i	0.00293915	0.00144349	0.0450923	0.21711	0.321809	0.411607
d	0.00290977	0.000699862	0.0154999	0.045715	0.838038	0.0971378
í	0.00235596	0.000241594	0.0100027	0.0970263	0.738178	0.152195
m	0.00203149	0.000462196	0.00812641	0.0987428	0.492706	0.397931
ε	0.00281533	0.000975397	0.0031833	0.155113	0.657546	0.180366
</S>	0.000912288	0.00010399	0.00295618	0.0829982	0.372455	0.540574
