 	voici	tes	enfants	qui	viennent	d'	arriver	</S>
b	0.841914	0.095923	0.0539688	0.00541969	0.000591141	0.00154272	0.000450611	0.000189687
á	0.591512	0.110816	0.268927	0.0159826	0.00520602	0.0064331	0.000106334	0.0010162
n	0.140579	0.224153	0.57332	0.0257076	0.0249626	0.00501102	0.000135366	0.00613072
a	0.155716	0.580986	0.165878	0.0621204	0.00318692	0.00223316	0.000113165	0.029766
b	0.487953	0.274508	0.0563611	0.095251	0.0111007	0.0460137	0.000885422	0.0279266
á	0.0874618	0.2955	0.265377	0.194221	0.0836986	0.0392144	0.000523962	0.0340031
n	0.0573513	0.119776	0.573945	0.0676148	0.0664095	0.0242579	0.00323131	0.0874138
ω	0.00628623	0.734081	0.112372	0.100133	0.00580531	0.00705853	2.14256e-05	0.0342427
é	0.0502565	0.111792	0.410309	0.141233	0.0752502	0.059646	0.000830401	0.150683
e	0.044072	0.0466602	0.0451509	0.158602	0.583271	0.0741381	0.0369802	0.0111254
b	0.00748998	0.0104707	0.0430913	0.0254355	0.711179	0.127233	0.0359766	0.0391242
á	0.00452051	0.00417575	0.0258477	0.0252632	0.874492	0.0555516	0.00427794	0.00587138
á	0.0185639	0.0535009	0.146608	0.183521	0.301643	0.146402	0.0305332	0.119228
m	0.00648794	0.00769719	0.0100663	0.085806	0.1385	0.593565	0.0540309	0.103846
i	0.00167451	0.00618335	0.0233103	0.104614	0.111289	0.452751	0.0298545	0.270323
y	0.00039348	0.000469373	0.00347985	0.00859208	0.177936	0.424688	0.236165	0.148276
a	0.000612507	0.00308742	0.00155991	0.0484737	0.0371163	0.325853	0.283571	0.299726
a	0.000508271	0.00177576	0.00218576	0.0677291	0.00901957	0.213762	0.141407	0.563612
</S>	0.00152109	0.00513389	0.00222376	0.12806	0.0136658	0.415118	0.104567	0.329712
