 	lorsqu'	on	l'	a	poussé	il	n'	est	pas	tombé	parce	qu'	il	s'	est	appuyé	contre	le	mur	</S>
é	0.239512	0.215188	0.159382	0.0599395	0.00657137	0.00391296	0.00551523	0.0112959	0.0402408	0.0629831	0.0734872	0.0413498	0.0253407	0.010893	0.0135951	0.0177436	0.00531036	0.00733061	0.000321037	8.8803e-05
t	0.364519	0.224531	0.0374932	0.047024	0.0398752	0.004586	0.00632779	0.0112707	0.0337221	0.0973249	0.0699681	0.0075505	0.0105205	0.00602265	0.00823845	0.0211279	0.006723	0.00107735	0.00186248	0.000234662
s	0.0123782	0.0374183	0.0195043	0.0224674	0.321522	0.0259012	0.0176752	0.0247029	0.0378532	0.10127	0.141914	0.0324006	0.0269245	0.0482329	0.0401435	0.0504501	0.0178175	0.00505551	0.0014875	0.0148814
í	0.0238115	0.0834646	0.124682	0.0489516	0.0628627	0.0259752	0.0183311	0.0275413	0.0434121	0.0896997	0.088205	0.0722642	0.0460648	0.0428969	0.0588046	0.107839	0.0185467	0.00897638	0.00117801	0.00649239
n	0.0306765	0.155418	0.171063	0.181754	0.0354232	0.0143533	0.0150637	0.0130025	0.0196061	0.0386524	0.0496145	0.029036	0.0295167	0.0192338	0.0228616	0.00947461	0.0166977	0.00696835	0.00949979	0.132084
d	0.0357624	0.258336	0.274119	0.199838	0.00295733	0.00743221	0.00147584	0.00161818	0.00253177	0.00593078	0.0616806	0.0175596	0.0402641	0.016322	0.0151903	0.0249898	0.00757977	0.0106568	0.00209653	0.0136586
z	0.0477295	0.0772268	0.347823	0.226407	0.0269465	0.0224297	0.00668354	0.00692903	0.00816623	0.00909051	0.0303503	0.0129692	0.0308874	0.0326236	0.0252513	0.0228281	0.0150949	0.0218221	0.00406516	0.0246762
í	0.0763717	0.0420528	0.150064	0.172009	0.0569717	0.0761448	0.015085	0.0146752	0.0150027	0.0158408	0.0815329	0.019082	0.0348839	0.0344389	0.0224325	0.0102362	0.0197583	0.03886	0.00323702	0.101321
b	0.0510622	0.0315146	0.0954859	0.0961477	0.045744	0.164064	0.0765506	0.0503527	0.0436631	0.0554118	0.0902382	0.0463603	0.0324757	0.0215964	0.0160595	0.004909	0.010644	0.00873181	0.00257344	0.0564153
á	0.00190962	0.0231265	0.0174737	0.0612633	0.26514	0.10531	0.0950639	0.0620495	0.0363111	0.0500747	0.0817583	0.0653396	0.0257486	0.0170475	0.0160487	0.00408346	0.0124248	0.00897681	0.0308793	0.0199701
