 	un	vent	violent	souffle	dans	le	village	</S>
e	0.985366	0.00916796	0.00133499	7.321e-05	0.00123594	0.00246834	0.000225464	0.000128114
n	0.13883	0.840925	0.0141118	0.00183642	0.00186557	0.00113943	0.00064638	0.000645545
g	0.182605	0.654965	0.134392	0.000660663	0.00539293	0.00130027	0.000336673	0.0203473
u	0.076261	0.507382	0.412217	0.000346516	0.000542372	0.000266988	0.000101094	0.00288226
s	0.0340511	0.518672	0.424736	0.000771626	0.0033233	0.000980367	0.000583941	0.016882
u	0.267174	0.442318	0.0518065	0.00840348	0.00693775	0.00361234	0.00174538	0.218003
y	0.0733407	0.0664934	0.827813	0.0106972	0.00838249	0.00644102	0.000273645	0.00655862
é	0.191211	0.0606448	0.684646	0.018303	0.0108809	0.0113093	0.00252951	0.0204751
e	0.311108	0.0363753	0.364913	0.093645	0.031136	0.0353965	0.0513338	0.0760919
p	0.00257289	0.063748	0.0645165	0.821666	0.0263601	0.00250069	0.00812185	0.0105141
f	0.000170476	0.00671736	0.0013652	0.970358	0.00424073	0.000496821	0.0125587	0.00409283
u	0.000669	0.0314696	0.000396493	0.916796	0.0358076	0.00225313	0.00238767	0.0102203
b	0.00348059	0.0103333	0.00200187	0.795938	0.140198	0.0209442	0.0218095	0.00529456
h	0.0206132	0.00816885	0.00167938	0.0811561	0.464989	0.169961	0.00440294	0.249029
á	0.0104519	0.00240901	0.00115684	0.0279365	0.338008	0.259252	0.0138984	0.346887
s	0.00245269	0.000343685	0.00197792	0.00823215	0.398472	0.470493	0.0363183	0.0817102
á	0.00622727	0.00435701	0.00226746	0.0049827	0.275027	0.34008	0.12189	0.24517
p	0.00199873	0.0008662	0.000323503	0.000235575	0.0140864	0.0647217	0.908215	0.00955327
o	0.00012331	3.81143e-05	1.16327e-05	0.00261327	0.00115985	0.00222623	0.9917	0.0021281
o	0.000172654	0.00066108	8.72221e-05	0.00680884	0.00392018	0.00933009	0.962713	0.0163067
</S>	0.00098251	0.000841318	0.00186548	0.00444206	0.0879436	0.368315	0.0374838	0.498126
