 	il	est	parti	en	brousse	avec	ses	amis	</S>
w	0.915965	0.0739777	0.00166661	0.00116899	0.00214433	0.00328971	0.0015454	0.000155391	8.66499e-05
a	0.909331	0.0446373	0.000577751	0.00451871	0.00270101	0.00461972	0.0158587	0.0177022	5.36041e-05
á	0.194717	0.709184	0.0699963	0.0143945	0.00246494	0.00145686	0.00188935	0.000302383	0.00559423
m	0.0348103	0.59392	0.250938	0.0816213	0.0107906	0.00330663	0.00672442	0.0022365	0.0156524
i	0.00999818	0.180477	0.439608	0.245857	0.0586446	0.0198257	0.00584993	0.00112076	0.0386182
d	0.0030686	0.0462563	0.836155	0.0840342	0.0153819	0.00241368	0.000506014	6.91163e-05	0.0121153
z	0.00171156	0.0461637	0.690604	0.213207	0.0168214	0.00236865	0.000917795	4.33244e-05	0.0281621
w	0.0110963	0.0812998	0.84645	0.0468963	0.0043489	0.00160379	0.000207877	5.4857e-05	0.00804237
a	0.0135628	0.0679509	0.623924	0.196112	0.0196978	0.0208514	0.0106736	0.00013569	0.0470916
k	0.0116775	0.0167708	0.0230996	0.262352	0.482183	0.134073	0.0513334	0.003246	0.0152646
ώ	0.000597639	0.000850884	0.0062239	0.0462288	0.722218	0.114641	0.00632523	0.0762815	0.0266334
b	0.000305731	0.000835259	0.00382565	0.017875	0.334802	0.319005	0.00745594	0.280089	0.035807
á	0.0100744	0.0634275	0.0660959	0.0472704	0.0951418	0.236955	0.146019	0.290997	0.044019
a	0.00616953	0.00150973	0.00439465	0.0194511	0.072041	0.331808	0.118329	0.0333794	0.412918
l	0.00405565	0.00754788	0.00757251	0.0393945	0.0448217	0.184783	0.173296	0.0694185	0.469111
a	0.00746682	0.0101607	0.00930657	0.0524983	0.0520392	0.121593	0.0796762	0.103282	0.563977
a	0.00272267	0.00174891	0.000313032	0.00643594	0.0289586	0.135503	0.307986	0.417442	0.0988898
b	0.0029018	0.0181985	0.0303245	0.0513305	0.0563133	0.0403613	0.0299153	0.621397	0.149258
i	0.00185802	0.00580767	0.00474257	0.0291301	0.0167778	0.0135016	0.0251183	0.893444	0.00961953
a	0.000765524	0.00624505	0.0124778	0.0462083	0.0350506	0.0469342	0.0923074	0.210222	0.549789
b	0.00597696	0.00862192	0.00645629	0.0389062	0.0245763	0.0414877	0.27162	0.0386237	0.563731
á	0.00979023	0.0039288	0.00146382	0.026162	0.0322915	0.0884999	0.476121	0.312512	0.0492301
w	0.0143295	0.0018109	0.000383618	0.00613628	0.00545365	0.0468852	0.50887	0.150111	0.26602
a	0.00667149	0.0014057	0.00177276	0.00855761	0.0149413	0.111411	0.612509	0.101988	0.140744
</S>	0.00110058	0.000654942	0.000435699	0.00362721	0.0103313	0.0623611	0.199115	0.0907135	0.63166
