 	ekumu	était	un	grand	ami	de	tsanganzoro	</S>
e	0.97987	0.0108518	0.00129235	0.00430112	0.00297072	0.000609565	7.4175e-05	3.05167e-05
k	0.98231	0.0166066	0.000398639	0.000141758	0.000295119	3.80849e-05	7.74084e-05	0.000132056
u	0.998154	0.00118607	0.000252636	0.00014243	7.68987e-05	2.94321e-05	3.33559e-05	0.000125146
m	0.985509	0.00572653	0.00271321	0.00161654	0.000161597	0.000282125	0.000759474	0.00323128
u	0.800064	0.127478	0.0264265	0.0234435	0.00271591	0.00392663	0.000194002	0.0157517
a	0.337355	0.452933	0.112986	0.0228727	0.00484915	0.0173145	0.000489704	0.0511992
d	0.0859149	0.296192	0.310039	0.0722395	0.00989123	0.0515946	0.00237068	0.171758
z	0.00737259	0.784454	0.134348	0.0106518	0.00562421	0.00774209	0.000459009	0.0493485
á	0.037428	0.781506	0.11851	0.0277295	0.0222819	0.00644341	0.000464982	0.00563628
l	0.00974606	0.0938294	0.393651	0.0983734	0.0199295	0.0860262	0.0361589	0.262285
e	0.00302201	0.0362316	0.178028	0.0338354	0.0115821	0.121092	0.0125443	0.603664
t	0.0185366	0.0592479	0.370635	0.228455	0.109615	0.0348361	0.0821899	0.0964848
y	0.0414172	0.0484112	0.622295	0.0826934	0.0461377	0.0141627	0.0854911	0.0593921
έ	0.0550904	0.0143002	0.460391	0.124818	0.0217305	0.0426607	0.171933	0.109076
b	0.00771423	0.00583325	0.250103	0.19179	0.00923034	0.0929462	0.0791141	0.36327
h	0.00620052	0.0124976	0.291874	0.121309	0.00977446	0.192506	0.0891639	0.276675
i	0.00665974	0.00515355	0.247586	0.219166	0.0120568	0.264823	0.0621153	0.18244
l	0.00121211	0.00712107	0.0974783	0.192679	0.146978	0.430149	0.00778901	0.116593
á	0.00193847	0.0155108	0.0956037	0.145711	0.0761259	0.273473	0.0461091	0.345529
t	0.00115916	0.00291385	0.0257845	0.124289	0.113547	0.290295	0.384704	0.0573081
s	0.00660393	0.00418553	0.0590009	0.0920143	0.113073	0.0685738	0.596814	0.0597347
a	0.000631986	3.9792e-05	0.0104466	0.0228061	0.00427515	0.0548743	0.862491	0.0444348
n	0.000749743	0.000375725	0.0211915	0.0174902	0.0137841	0.168538	0.296035	0.481836
g	0.0067206	0.00644635	0.0321244	0.0551011	0.0344715	0.211777	0.290349	0.36301
a	0.000801919	0.000416046	0.00646621	0.0169448	0.0069155	0.111217	0.625931	0.231308
n	0.000921879	0.000833548	0.00899593	0.0346764	0.00466091	0.355793	0.0504305	0.543687
d	0.00187825	0.017786	0.0289811	0.0396464	0.0140126	0.224978	0.17058	0.502137
z	0.00281783	0.00388181	0.00363298	0.0066738	0.00470652	0.0501262	0.452129	0.476032
o	0.000857998	0.000845258	0.00367928	0.00922469	0.00561521	0.0239471	0.76041	0.19542
r	0.00186049	0.0052684	0.0366701	0.0531159	0.0179314	0.0303036	0.16194	0.69291
o	0.011345	0.00448995	0.0171282	0.127721	0.0402654	0.0993882	0.126745	0.572917
</S>	0.00054965	0.00265169	0.00982197	0.0227228	0.00777851	0.243408	0.0116509	0.701417
