 	j'	ai	fais	un	saut	pour	dépasser	la	flaque	d'	eau	</S>
n	0.925498	0.0218233	0.00425037	0.00226638	0.00217633	0.0123503	0.00800501	0.00846537	0.00791189	0.00673776	0.000307995	0.000207473
g	0.97436	0.0220441	0.00235202	0.000663879	0.000132205	0.000237256	0.000101393	4.77998e-05	1.50021e-05	2.91293e-05	1.53594e-05	2.0408e-06
á	0.661948	0.302252	0.0292408	0.00444003	0.000554917	0.000612911	0.000544988	0.000166079	5.90654e-06	4.05295e-05	3.91021e-05	0.000154639
í	0.0804666	0.315051	0.102472	0.055318	0.00770684	0.0117203	0.00275356	0.00854744	0.00396087	0.0211569	0.00960991	0.381237
p	0.00239433	0.105443	0.849366	0.0296732	0.00548017	0.00145155	0.000463527	0.000343343	0.000160443	0.000356973	0.000399004	0.00446829
é	3.09031e-05	0.00992843	0.848065	0.102678	0.0140482	0.00172161	0.00362501	0.00252274	0.0021154	0.000611046	0.000401581	0.0142528
n	3.2907e-05	0.0383405	0.811539	0.111133	0.0333133	0.0016739	0.00320358	0.000277646	0.000257967	6.51944e-05	1.16007e-05	0.000151274
d	0.00980002	0.126274	0.554654	0.186536	0.0786459	0.0117068	0.0129507	0.0114199	0.00329306	0.00174737	0.00144351	0.00152894
i	0.00364435	0.0969921	0.299373	0.360889	0.129068	0.0166204	0.0370749	0.0325506	0.00139	0.00461235	0.00606033	0.0117256
i	0.0020197	0.0236758	0.0296662	0.294829	0.150184	0.320208	0.0649112	0.0656522	0.00595404	0.022751	0.00797164	0.0121774
s	0.000130089	0.00209524	0.0153413	0.132643	0.380365	0.237943	0.141702	0.0696446	0.00361528	0.00244375	0.00960296	0.00447437
e	0.000131528	0.00296585	0.00615205	0.0684315	0.52982	0.108788	0.258225	0.018935	0.00128817	0.00121077	0.000749987	0.00330201
b	2.35625e-05	0.000641476	0.00113023	0.108256	0.31887	0.286652	0.240942	0.0369637	0.000747638	0.00070609	0.000712315	0.00435426
h	0.000117953	0.000294397	0.00929443	0.099614	0.0997146	0.175685	0.210593	0.215961	0.143276	0.00672646	0.0030233	0.0356999
e	6.04881e-05	0.000140524	0.00228721	0.0175576	0.197491	0.223705	0.384505	0.157558	0.00607242	0.00144297	0.000273654	0.00890606
m	1.34378e-06	7.24672e-05	0.00110864	0.0132144	0.0614278	0.408411	0.210803	0.224464	0.0648549	0.0064295	0.000399053	0.00881343
í	3.49453e-05	4.64505e-05	0.00132304	0.0160345	0.0180436	0.170268	0.160481	0.409409	0.179214	0.00893094	0.00346597	0.0327486
k	9.88972e-05	0.000437616	0.00100365	0.00382193	0.00774152	0.132513	0.0828932	0.258022	0.438854	0.0222396	0.027534	0.0248409
á	9.58688e-06	4.34114e-05	0.00101669	0.00620131	0.0152613	0.140592	0.164526	0.217949	0.414779	0.00714231	0.00525858	0.0272204
b	4.89562e-05	0.000154439	0.000758663	0.00054213	0.00501345	0.00732177	0.0346609	0.0621817	0.853962	0.00283638	0.018258	0.0142618
h	0.000102775	0.000110112	0.002927	0.00358756	0.00477413	0.015772	0.0206372	0.101899	0.744126	0.0192124	0.00447817	0.0823737
e	0.000191126	0.00030573	0.00376484	0.00966674	0.0393857	0.115609	0.1885	0.295007	0.0790776	0.0105792	0.0179353	0.239978
</S>	1.88468e-05	0.000429481	0.00292188	0.00824647	0.0166685	0.12358	0.0586282	0.123539	0.302677	0.134084	0.010352	0.218854
