 	la	calebasse	est	cassée	et	il	ne	reste	que	des	morceaux	</S>
t	0.229785	0.698346	0.062632	0.00051286	0.00318192	0.00138077	0.00212134	0.000589598	0.000603782	0.000759024	7.84408e-05	8.98358e-06
s	0.0100455	0.984987	0.00204051	0.000330855	0.000266005	0.00027733	0.000357625	0.000271949	0.000436918	0.000289213	0.000406354	0.000290309
ó	0.0118146	0.974464	0.00100134	0.00157845	0.00202726	0.00296675	0.00118563	0.000977274	0.00122472	0.00061279	0.000860135	0.00128681
o	0.0834571	0.83297	0.0246231	0.0109916	0.00734414	0.00437322	0.0031798	0.005957	0.00275209	0.00152246	0.00256929	0.0202599
é	0.116662	0.0182249	0.839087	0.0050841	0.00907222	0.00253527	0.00256961	0.00103995	0.00142843	0.0013015	0.000273038	0.00272143
m	0.0600012	0.012327	0.747386	0.0139893	0.0284629	0.0224401	0.0290139	0.0145386	0.0326164	0.013651	0.00395517	0.0216186
i	0.0249862	0.00159691	0.228728	0.518822	0.0592854	0.0518941	0.0326828	0.022824	0.0155534	0.00845695	0.00173179	0.0334383
b	0.00128641	0.00051731	0.0169754	0.938431	0.0064508	0.00468506	0.00236241	0.0187022	0.0023667	0.000902396	0.000644206	0.00667669
o	0.00060025	2.72818e-05	0.00162081	0.970709	0.00334756	0.00307533	0.000982441	0.0155698	0.0012811	0.000428598	0.00017462	0.00218299
n	0.0031066	0.00167326	0.0174543	0.84577	0.0120381	0.00675218	0.00489105	0.0850327	0.00624937	0.00367597	0.00153514	0.0118215
d	0.283016	0.0133941	0.0417074	0.17365	0.122771	0.12786	0.0530506	0.0518318	0.0694472	0.0239867	0.0052754	0.0340098
z	0.499169	0.0155642	0.0347565	0.159387	0.0683886	0.0647	0.0346923	0.0282092	0.0292574	0.0114406	0.00390225	0.050533
a	0.165867	0.0247438	0.0176662	0.14787	0.267795	0.156743	0.0332837	0.0186372	0.0234234	0.00933238	0.00869166	0.125947
é	0.00713237	0.00119335	0.043739	0.0166788	0.458297	0.28365	0.122737	0.0138987	0.0223024	0.0140283	0.00352783	0.0128152
m	0.00573472	0.000709608	0.0168274	0.0251673	0.11988	0.293872	0.18996	0.260871	0.0341858	0.0158741	0.0168648	0.020053
i	0.00579955	0.000287314	0.0111872	0.0243598	0.0752704	0.260173	0.143423	0.310547	0.0497225	0.0365822	0.01948	0.0631677
b	0.00144491	0.000130101	0.00313179	0.0306074	0.0284055	0.0990089	0.0803998	0.643084	0.0404985	0.0146316	0.00810979	0.0505481
v	0.000883043	0.000180996	0.00118921	0.0219161	0.00700876	0.0431678	0.0182312	0.809224	0.0508801	0.0125971	0.00531366	0.0294079
u	0.000531733	0.000101971	0.00190585	0.0176934	0.0174614	0.0899668	0.0552079	0.607685	0.124762	0.0477733	0.00959339	0.0273173
á	0.0261301	0.00236336	0.00133571	0.00188535	0.0584618	0.174606	0.127316	0.269802	0.134714	0.0827642	0.0258056	0.094816
i	0.00941691	0.000442018	0.0129995	0.00193672	0.0301953	0.0766103	0.0827795	0.0303096	0.233067	0.306585	0.155498	0.0601605
s	0.00591752	0.000931163	0.00311519	0.0127308	0.00852131	0.0193025	0.0145404	0.0554323	0.159302	0.12942	0.424228	0.166559
á	0.00153184	9.14068e-06	0.000340353	0.00104464	0.00332413	0.00793423	0.00622425	0.00662018	0.0729864	0.140784	0.672152	0.0870484
n	0.00101177	8.04593e-05	0.000195385	0.00032058	0.00223118	0.00561824	0.00684101	0.0021791	0.025462	0.0996912	0.683416	0.172953
g	0.000136967	7.89221e-05	2.60402e-05	0.000285943	0.00327177	0.00445131	0.00205591	0.00073118	0.0402138	0.0537197	0.829631	0.0653977
á	0.000541004	0.00131636	0.000218933	0.000376867	0.00692618	0.00576784	0.00340127	0.00117645	0.0419527	0.0456851	0.653833	0.238804
</S>	0.00227452	0.000259891	0.00186835	0.0010578	0.0079507	0.0115712	0.0155435	0.0106903	0.0760908	0.245001	0.350288	0.277404
