 	ce	couteau	est	émoussé	donne	moi	un	autre	</S>
i	0.303694	0.689489	0.00491067	0.000576952	0.000574252	0.000395424	0.000272313	5.03569e-05	3.74175e-05
b	0.00851867	0.983851	0.00634423	0.000509748	0.000192434	0.000231765	0.000166774	0.00015186	3.32274e-05
á	0.00176937	0.996418	0.000866052	0.000486908	0.000308649	1.67666e-05	4.67433e-05	3.90747e-05	4.84263e-05
á	0.00335774	0.975429	0.00944827	0.00211767	0.000995504	0.00146627	0.000704549	0.00015699	0.00632397
d	0.203979	0.127656	0.578499	0.00604333	0.0071347	0.0140661	0.00549541	0.000469376	0.0566576
í	0.0962427	0.00535218	0.552328	0.00963641	0.00353729	0.130237	0.0142247	0.0105395	0.177902
í	0.0555599	0.00752134	0.442178	0.0817455	0.0511162	0.0551521	0.0328018	0.00814365	0.265782
d	0.0270773	0.0107218	0.650389	0.136642	0.0796916	0.0565167	0.0181311	0.00417985	0.0166514
í	0.0148319	0.0006792	0.17428	0.0704577	0.0770866	0.280522	0.0703217	0.11355	0.19827
l	0.00566245	0.000551297	0.121717	0.146082	0.320336	0.0965815	0.0645258	0.0394954	0.205048
a	0.00500843	0.00212078	0.143936	0.0695412	0.200063	0.232213	0.0716691	0.0395368	0.235911
o	0.0229603	0.00480725	0.0622947	0.0927129	0.158191	0.272964	0.0575413	0.2375	0.0910291
t	0.00452569	0.0035278	0.0665195	0.157342	0.323273	0.234492	0.0776838	0.0895489	0.0430878
ú	0.000458862	0.000386061	0.00966769	0.395345	0.321364	0.042626	0.060664	0.0523786	0.117109
n	0.00374009	0.00159815	0.00315639	0.548343	0.157705	0.0243713	0.0413955	0.0440084	0.175682
ú	0.00799174	0.00138143	0.0163928	0.595622	0.109866	0.0774023	0.0851275	0.0588082	0.047408
p	0.00324823	3.51287e-05	0.0205668	0.0370784	0.11918	0.38651	0.277516	0.034698	0.121168
έ	0.00782095	0.00330926	0.0180926	0.257888	0.237459	0.0883177	0.189512	0.025277	0.172324
n	0.00161122	0.00113484	0.00551197	0.0350252	0.0553406	0.237292	0.169648	0.0568429	0.437592
g	0.00446672	0.00312332	0.00763176	0.0349178	0.0234106	0.563804	0.182751	0.0983308	0.0815644
á	0.00676149	0.000567365	0.00183045	0.013881	0.00558455	0.507883	0.0956677	0.148724	0.2191
i	0.000999814	3.34411e-05	0.0018641	0.00364794	0.00523014	0.0843265	0.144259	0.682098	0.0775412
s	0.00185025	0.00269844	0.0168202	0.0152427	0.0409236	0.0777962	0.280647	0.439457	0.124564
ú	0.00185586	3.40206e-05	0.00215004	0.000189626	0.00102594	0.0431374	0.0499547	0.862581	0.0390712
s	0.00626444	0.000559573	0.000654098	0.000232621	0.000565278	0.0364915	0.0513036	0.802742	0.101187
u	0.00784539	0.00104238	0.00186886	0.00124288	0.00634015	0.0495216	0.0990263	0.721979	0.111133
</S>	0.00234368	3.1408e-05	0.00477688	0.00236865	0.0215801	0.104915	0.132587	0.091349	0.640048
