 	j'	ai	reçu	la	lettre	que	tu	m'	as	envoyée	</S>
n	0.496346	0.0611339	0.0864785	0.120505	0.122506	0.0560675	0.0209025	0.00961855	0.0235041	0.00170128	0.00123712
g	0.926171	0.0276704	0.00965762	0.00430021	0.00161507	0.00241668	0.00517676	0.0202911	0.00195571	0.00057899	0.00016632
á	0.900833	0.0416492	0.0297448	0.00360798	0.00142267	0.000459008	0.00423035	0.0155813	0.00231629	0.000129841	2.55498e-05
í	0.0412175	0.154903	0.109106	0.121617	0.0507962	0.0328008	0.0404663	0.121968	0.104766	0.00755275	0.214807
d	0.00715227	0.140355	0.676712	0.0760003	0.0145709	0.00280688	0.00506552	0.0115089	0.0409251	0.00348079	0.0214224
i	0.0105545	0.129386	0.542297	0.129654	0.0454193	0.0134945	0.0126964	0.007859	0.0166411	0.00362289	0.0883752
i	0.00813961	0.0383609	0.37681	0.347835	0.115791	0.0230027	0.00595175	0.00374489	0.00914808	0.0024826	0.0687331
l	0.00226499	0.0457085	0.239602	0.387398	0.236769	0.0304493	0.0145613	0.00928746	0.0101511	0.0049215	0.0188866
e	0.00599498	0.0358659	0.143131	0.284618	0.319222	0.0627854	0.0296077	0.0153512	0.0198588	0.00796521	0.0755991
n	6.26648e-05	0.00422493	0.0393545	0.213401	0.59803	0.0684736	0.00999826	0.00404168	0.00602022	0.0049774	0.0514161
d	0.00228695	0.0254178	0.236426	0.288649	0.326365	0.0398146	0.0149923	0.00898707	0.00695362	0.00765495	0.042453
u	0.00314108	0.0509303	0.148664	0.128413	0.454615	0.0433961	0.0330914	0.0517485	0.0104376	0.00712907	0.0684344
b	0.00128251	0.007707	0.0471959	0.0872966	0.558269	0.112805	0.0621906	0.0543192	0.0331255	0.0102251	0.0255837
h	0.00831624	0.0057	0.0324356	0.0904584	0.313413	0.199237	0.0255063	0.00522951	0.0126553	0.0201997	0.286849
u	0.000883274	0.0027109	0.0547425	0.137986	0.461436	0.184632	0.0201912	0.00485896	0.0158623	0.0382236	0.0784731
l	3.61498e-05	0.00465254	0.0199596	0.0631822	0.237172	0.35436	0.135815	0.0480637	0.0769838	0.0286145	0.0311605
i	0.00154204	0.0129261	0.0274975	0.086306	0.183186	0.268804	0.145948	0.0591364	0.0666747	0.0483887	0.0995899
í	0.00021331	0.00664935	0.0109864	0.0287652	0.0623781	0.208679	0.120404	0.0705725	0.105422	0.276876	0.109054
t	0.000709861	0.0184372	0.0427745	0.0351048	0.0264733	0.0620521	0.142726	0.0985843	0.311307	0.176911	0.08492
í	2.26814e-05	0.00119346	0.00702341	0.00815881	0.0200509	0.0160506	0.0248294	0.00613039	0.108343	0.696462	0.111735
n	0.000138461	0.00270773	0.00433515	0.00813729	0.0300182	0.0408965	0.0672691	0.0310201	0.192851	0.462819	0.159808
d	8.10912e-05	0.001816	0.00348714	0.00475986	0.0113986	0.0463534	0.0952684	0.0922775	0.198291	0.437607	0.10866
í	0.000133826	0.00402048	0.00760129	0.0139901	0.0516787	0.159199	0.139843	0.171259	0.125042	0.130196	0.197037
n	0.000146481	0.00217623	0.00167528	0.00572491	0.0130448	0.101264	0.138052	0.289738	0.21985	0.0998569	0.128472
ω	0.00408866	0.00374012	0.00277898	0.00274877	0.00387064	0.0277994	0.118587	0.559316	0.128717	0.0838987	0.0644551
n	0.00162823	0.0026838	0.00177216	0.00441914	0.01088	0.0479023	0.0945107	0.136893	0.0735417	0.107974	0.517794
g	0.000377979	0.000941607	0.00620968	0.0167411	0.0170947	0.0391504	0.0213326	0.0246514	0.0414906	0.448551	0.383459
á	0.000388501	0.000466857	0.00349972	0.0100336	0.0141524	0.0820761	0.0441097	0.0854076	0.188958	0.239621	0.331287
</S>	0.000105476	0.00111645	0.00267816	0.0104868	0.0193972	0.0665186	0.0467879	0.120786	0.160594	0.138618	0.432912
