 	j'	ai	capturé	une	rainette	pendant	la	pêche	à	l'	écopée	</S>
n	0.948262	0.0303163	0.000775266	0.00948845	0.00308684	0.00177095	0.00190959	0.000481472	0.0013724	0.00166396	0.000713033	0.000159182
g	0.974212	0.022994	0.000211826	0.00091269	3.33236e-05	6.06371e-05	0.000375759	3.72419e-05	0.000252777	0.000486694	0.000390636	3.2075e-05
á	0.919188	0.0625779	0.00324447	0.00561396	0.000594897	0.000493556	0.00168755	0.00132535	0.00110891	0.00100837	0.00275045	0.000406127
í	0.040527	0.342703	0.0596721	0.0774808	0.0318677	0.0398075	0.0264791	0.0133156	0.0107511	0.0249031	0.0177906	0.314703
p	0.00263635	0.14298	0.821009	0.0147196	0.00574429	0.00198462	0.00291854	0.00464743	0.00110614	0.000875207	0.000140929	0.00123761
i	8.81027e-05	0.018754	0.909959	0.0168271	0.0191735	0.00447038	0.00389576	0.0237124	0.00103348	0.000460129	0.000312318	0.00131361
i	0.000114623	0.0160323	0.832259	0.0597588	0.00950175	0.0088278	0.0131954	0.0519253	0.00700389	0.00081341	0.000189727	0.00037795
e	0.00543334	0.0244972	0.00729318	0.0923108	0.0749726	0.341316	0.289495	0.0435905	0.0597994	0.039402	0.00374423	0.0181465
l	0.000279703	0.00345679	0.0120123	0.0208605	0.0533275	0.1669	0.203868	0.334982	0.074616	0.0266666	0.0381948	0.0648363
ó	0.000224394	0.00327752	0.014628	0.0414203	0.020511	0.0589831	0.118831	0.564674	0.0714083	0.0230846	0.0206645	0.0622936
n	5.63507e-05	0.00149037	0.0152764	0.0424389	0.0464961	0.051976	0.0717212	0.599407	0.051337	0.0244824	0.0635182	0.0317999
d	0.000207771	0.0042082	0.0123495	0.0614265	0.0198177	0.0712184	0.129345	0.531873	0.085644	0.0249661	0.0149843	0.0439598
a	0.000408637	0.000927591	0.00200081	0.0132017	0.00183215	0.0326633	0.112168	0.535996	0.0669759	0.035485	0.0523156	0.146025
m	2.48261e-05	0.00100125	0.000954293	0.014777	0.00494554	0.0759164	0.125287	0.140125	0.236743	0.226812	0.034431	0.138982
í	0.000524678	0.000794686	0.000236364	0.0039512	0.00520724	0.0543875	0.0612082	0.00867306	0.163747	0.270493	0.0988664	0.331911
d	0.000402256	0.00120189	0.000369532	0.00318988	0.00283228	0.0071327	0.0131949	0.0158601	0.0744918	0.142177	0.529773	0.209374
z	2.10319e-05	3.24865e-05	3.31037e-05	8.67876e-05	4.17145e-05	0.000143104	0.00110496	0.00146721	0.0109496	0.0277302	0.885491	0.0728985
a	0.000153095	7.3379e-05	0.00019431	0.00030266	7.84804e-05	0.000642529	0.00233881	0.00247608	0.0153292	0.0424147	0.893767	0.0422296
l	4.35942e-05	3.20289e-05	0.000204459	0.000365999	0.000207892	0.000937547	0.00127248	0.00254682	0.0147482	0.0251476	0.802074	0.152419
a	3.66233e-05	0.000125466	0.000245748	0.00132601	0.000335244	0.00270673	0.00927494	0.00327836	0.113303	0.208764	0.49973	0.160874
</S>	1.56178e-05	0.000664863	0.000640874	0.00345613	0.00238592	0.00510189	0.00618091	0.00383169	0.124581	0.171407	0.134713	0.54702
