 	le	notable	du	village	doit	être	un	unificateur	</S>
k	0.6673	0.250774	0.0391949	0.0384903	0.0028744	0.000513134	0.000759321	1.56861e-05	7.81069e-05
á	0.277664	0.613796	0.0505418	0.042665	0.00889734	0.00403411	0.00139394	0.00062019	0.000387971
n	0.14135	0.421922	0.328784	0.0245583	0.0222704	0.04256	0.0015201	0.00209501	0.0149403
i	0.468525	0.477837	0.0210273	0.0078483	0.00361072	0.0032742	0.000731863	0.000264791	0.0168808
y	0.405308	0.08056	0.460882	0.00978708	0.00616621	0.00519739	0.00752293	0.00180497	0.0227716
a	0.394936	0.130286	0.228425	0.17048	0.0291743	0.0146867	0.0168312	0.00159934	0.0135817
p	0.170858	0.0183924	0.257688	0.485181	0.0172905	0.0105464	0.0252064	0.000789602	0.0140472
o	0.0285848	0.00879993	0.0228433	0.880733	0.0320394	0.014722	0.000237619	0.00684104	0.00519887
o	0.0240598	0.0108891	0.0957607	0.791094	0.0619763	0.00800065	0.00120347	0.00226599	0.00475001
k	0.0152123	0.00187295	0.473823	0.014462	0.302308	0.047782	0.109611	0.00601259	0.0289161
á	0.0153232	0.000555871	0.0696124	0.271998	0.486687	0.136867	0.00507536	0.00383022	0.0100518
a	0.00398897	0.00185532	0.117786	0.117038	0.415974	0.217292	0.00500812	0.0257012	0.0953574
a	0.00965732	0.000776042	0.106755	0.00573742	0.186958	0.27426	0.397531	0.00364318	0.014682
d	0.00562424	0.00159175	0.0285337	0.000613694	0.107726	0.169189	0.610592	0.0258245	0.0503047
í	0.00114225	0.00103097	0.00300225	0.000254564	0.0300855	0.0267652	0.163165	0.00503381	0.769521
e	0.00628582	0.00155429	0.0244691	0.00407328	0.079901	0.0826349	0.486179	0.0926722	0.22223
l	0.0037401	0.00219317	0.000605396	0.00300052	0.0166926	0.0488577	0.0657348	0.779034	0.0801423
o	0.000368578	6.81392e-05	0.00030256	6.7464e-05	0.00229437	0.00491962	0.0173108	0.916133	0.0585353
n	0.00010907	7.87688e-05	0.000531692	0.000279341	0.00826654	0.0072168	0.0545814	0.85658	0.0723561
d	0.0007322	0.000253745	0.00285156	0.00186062	0.01838	0.0749002	0.0963855	0.656705	0.147931
a	0.00142997	0.000920648	0.00558757	0.0029175	0.0166132	0.0458738	0.0536295	0.613595	0.259433
</S>	0.00220549	0.000194439	0.00670418	0.000383071	0.00313927	0.0393489	0.148167	0.166598	0.63326
