 	je	travaille	dans	notre	champ	de	canne	à	sucre	</S>
n	0.889586	0.0483727	0.0188786	0.009059	0.0145398	0.00793226	0.00537051	0.00291462	0.00313969	0.000206445
g	0.97368	0.00146685	0.001325	0.00486681	0.0177064	0.000398571	0.000412798	0.00013459	1.62182e-06	7.26281e-06
á	0.875262	0.0111944	0.00467153	0.00496899	0.0964444	0.00149446	0.0052464	0.000598664	3.26848e-05	8.65092e-05
l	0.299216	0.100619	0.0929447	0.134591	0.0138465	0.081966	0.0699683	0.109622	0.0052947	0.0919317
í	0.432646	0.0791465	0.040437	0.0578744	0.0298786	0.0669828	0.0445891	0.0526245	0.000815381	0.195006
i	0.0456031	0.198077	0.148173	0.079355	0.0402723	0.0982276	0.09222	0.0782864	0.00103599	0.218749
s	0.00360996	0.886224	0.0512583	0.00241864	0.00156648	0.00423166	0.00807635	0.00306814	0.00220518	0.0373416
á	0.00254354	0.982712	0.0130915	0.000406488	0.000260466	3.64713e-05	0.000266196	1.55552e-05	1.87944e-05	0.000648834
l	0.105195	0.64417	0.149509	0.019121	0.0121226	0.00501306	0.016747	0.00284694	0.000167283	0.0451088
á	0.00859832	0.111997	0.353769	0.217388	0.0745697	0.0736696	0.0367099	0.0198139	0.00363107	0.0998544
s	0.013899	0.0523584	0.386873	0.233078	0.263085	0.025357	0.013345	0.00807772	0.000603222	0.00332455
á	0.00597139	0.155138	0.373611	0.286043	0.0519018	0.0634255	0.0535838	0.0059538	0.000113189	0.00425821
n	0.0144861	0.0255938	0.171026	0.395477	0.243281	0.0883733	0.0469775	0.00835996	0.00165682	0.00476819
g	0.00597058	0.00121919	0.0126767	0.128838	0.838791	0.00567679	0.00444175	0.000905011	4.9038e-05	0.00143208
o	0.00875754	0.000476896	0.00283588	0.00597758	0.968629	0.00535272	0.00612006	0.000616219	8.25596e-05	0.00115171
n	0.00357609	0.00914587	0.0365611	0.0291831	0.539571	0.147074	0.172508	0.0373221	0.00111723	0.0239421
d	0.00147339	0.0187855	0.140992	0.067418	0.13836	0.236667	0.197286	0.0550167	0.00120243	0.142799
a	0.00293471	0.0107288	0.0547398	0.0502723	0.434883	0.129316	0.204081	0.0362126	0.0044693	0.0723628
y	0.00393201	0.0146411	0.118279	0.0608832	0.0560038	0.350336	0.23336	0.120291	0.00178711	0.0404871
á	0.00119959	0.0145291	0.0940261	0.224053	0.102917	0.1915	0.191809	0.121164	0.00702952	0.0517733
b	0.00713503	0.0133952	0.0369318	0.392534	0.040248	0.166063	0.21836	0.0886561	0.024781	0.0118968
í	0.00211146	0.00340328	0.0298973	0.539413	0.00207946	0.242665	0.105012	0.0426334	0.0206462	0.0121394
s	0.00319121	0.00260802	0.033426	0.406226	0.0013897	0.268949	0.117301	0.105215	0.0198707	0.0418235
í	0.000447434	0.00258805	0.0148613	0.154451	0.00409131	0.385562	0.21342	0.105455	0.000936116	0.118189
y	0.000494016	0.00108409	0.0112664	0.0190756	0.00747945	0.236715	0.140357	0.376038	0.0479515	0.15954
í	0.00160801	0.0103172	0.0306366	0.0979174	0.0471339	0.184612	0.350671	0.129183	0.00854507	0.139376
k	0.000375851	0.00178755	0.0114981	0.0513984	0.0253458	0.132647	0.237607	0.274223	0.0921891	0.172928
o	9.44646e-06	0.000283789	0.000426798	0.000146182	0.000102175	0.00432618	0.0122599	0.00421638	0.962307	0.0159217
ó	1.28084e-05	0.00112557	0.00126306	0.00190747	0.000398906	0.00492575	0.0219634	0.00570327	0.909695	0.0530046
</S>	0.000842033	0.00269431	0.021691	0.0649453	0.00492694	0.0470318	0.0422271	0.174833	0.0744727	0.566336
