 	il	apprend	à	lire	aux	enfants	</S>
w	0.987331	0.00203068	0.00613415	0.000343059	0.00412156	2.00969e-05	1.96802e-05
a	0.938593	0.00129933	0.0249868	0.00215392	0.0325821	0.000372758	1.18472e-05
l	0.212087	0.574175	0.169824	0.0121566	0.0163826	0.000504375	0.01487
á	0.126435	0.0727484	0.164084	0.0907268	0.118937	0.0489252	0.378143
a	0.338792	0.0663681	0.169528	0.0553853	0.0842939	0.127181	0.158451
y	0.00238241	0.976663	0.0103797	0.00694451	0.00027786	0.000288043	0.0030647
é	0.000780658	0.985626	0.00637964	0.00497429	0.000260822	0.000245918	0.00173255
s	0.107009	0.741354	0.103908	0.0165023	0.0123375	0.00192994	0.016959
á	0.0269636	0.849388	0.0934061	0.0118428	0.00948441	0.000278846	0.0086359
á	0.0270788	0.674137	0.194361	0.0179614	0.0199579	0.00447456	0.0620292
b	0.0199792	0.00638181	0.57888	0.104626	0.223309	0.0609091	0.00591465
á	0.0210094	0.00238564	0.138763	0.343971	0.126592	0.358591	0.00868783
n	0.00538106	0.00146904	0.0375591	0.0550034	0.071854	0.808098	0.0206357
a	0.00579859	0.000348035	0.0114035	0.0505601	0.0427959	0.829302	0.0597922
i	0.00682114	0.0099572	0.455145	0.175989	0.296978	0.0231475	0.0319629
t	0.0190271	0.0133994	0.132855	0.445855	0.112672	0.0483407	0.227852
á	0.00550997	0.00732888	0.134415	0.681546	0.0465364	0.0292629	0.0954009
n	0.0127845	0.0405572	0.0684343	0.227338	0.092541	0.338907	0.219438
g	0.00268185	0.00169079	0.0279556	0.221796	0.0781432	0.483997	0.183736
a	0.0193356	0.0125871	0.15794	0.287768	0.143928	0.29537	0.0830707
</S>	0.00739427	0.00463388	0.126595	0.0979558	0.411041	0.0239478	0.328432
