 	il	a	adopté	le	fils	de	son	frère	</S>
w	0.966349	0.0134188	0.00225585	0.00987796	0.00419415	0.000885784	0.00262218	0.000298197	9.81292e-05
a	0.957814	0.0107029	0.00333903	0.0107133	0.0144899	0.000160958	0.00263328	0.000143254	3.53928e-06
á	0.229322	0.677567	0.0307822	0.0344033	0.00543605	0.00617988	0.0120937	0.00211388	0.00210228
b	0.0441618	0.526574	0.350112	0.0187418	0.00503982	0.0187272	0.0142555	0.00664606	0.0157423
é	0.0286956	0.139703	0.744131	0.0199872	0.0190224	0.0149783	0.00344858	0.00222999	0.0278034
n	0.00281444	0.143407	0.760238	0.0293478	0.0021909	0.00941275	0.00194209	0.00497889	0.0456678
y	0.0128571	0.171901	0.567897	0.132851	0.00197291	0.0290187	0.0156513	0.00433099	0.0635202
i	0.00743071	0.118857	0.677226	0.143708	0.00482152	0.0200704	0.00483521	0.00232889	0.0207233
i	0.0849251	0.121606	0.274462	0.319892	0.0971306	0.0328958	0.0171461	0.00388346	0.0480595
y	0.00188307	0.0079072	0.177739	0.477624	0.26306	0.0314867	0.00892828	0.0150288	0.0163429
ώ	0.00197507	0.0418724	0.0690604	0.639025	0.122764	0.0485748	0.0242392	0.0290349	0.0234552
ω	0.000515678	0.0146178	0.0241212	0.441876	0.0738113	0.117372	0.0531118	0.0817851	0.192789
l	0.00134097	0.0184632	0.0659929	0.423925	0.172712	0.240212	0.0391349	0.0174831	0.0207359
á	0.00350899	0.0251488	0.0385978	0.18226	0.135679	0.178777	0.0493114	0.0750174	0.311699
m	0.00785839	0.00820343	0.0337903	0.40454	0.115667	0.133077	0.224646	0.0401839	0.032034
w	0.000929943	0.000548756	0.000403821	0.0140352	0.753258	0.0450014	0.0491884	0.0580214	0.0786127
á	0.000144828	5.07272e-05	0.000165763	0.00234343	0.970656	0.00374599	0.00109983	0.0182489	0.00354487
n	0.00211734	0.000779489	0.0127775	0.0870337	0.66161	0.108956	0.076869	0.0256404	0.0242157
a	0.00317847	0.0060634	0.00208419	0.0317371	0.375611	0.101018	0.0697597	0.0848772	0.32567
y	0.00209824	0.00724567	0.00730367	0.0688844	0.0253598	0.370713	0.335085	0.0696012	0.113709
a	0.0023987	0.0115485	0.00994642	0.103755	0.0340221	0.132699	0.281427	0.360912	0.0632911
o	0.00155307	0.0031081	0.0097898	0.0557251	0.00853383	0.0746062	0.448045	0.307592	0.0910469
d	1.47309e-05	0.000855729	0.00554404	0.00845156	0.000708303	0.0243271	0.0246925	0.891192	0.0442136
i	0.000119806	0.00179244	0.00169766	0.00478891	0.00378282	0.0093182	0.0173453	0.91893	0.0422255
m	4.29645e-05	0.000823901	0.00364719	0.00885229	0.00305781	0.0522079	0.0724912	0.68354	0.175336
í	0.000111308	0.000266319	0.000560373	0.00444442	0.00572771	0.0306134	0.0593705	0.732234	0.166672
y	0.000320919	0.00162913	0.00211025	0.0072014	0.00246213	0.0658213	0.153676	0.0868637	0.679915
a	0.000210759	0.00110013	0.00791232	0.00748046	0.00262231	0.0451816	0.118484	0.360944	0.456064
w	0.000745447	0.000883849	0.00748045	0.0320335	0.000741064	0.0237091	0.525492	0.14014	0.268775
a	0.0112734	0.00365294	0.0812899	0.030808	0.0145522	0.110986	0.47475	0.179357	0.0933306
</S>	0.000474319	0.000351835	0.00191743	0.012988	0.00107406	0.0353285	0.293356	0.214139	0.440371
