 	le	brochet	mange	de	petits	poissons	</S>
m	0.85159	0.114018	0.00869338	0.0102743	0.010738	0.0035474	0.00113895
w	0.152945	0.793053	0.0372772	0.00661632	0.00339126	0.00206167	0.00465567
έ	0.0231413	0.955	0.00958109	0.00834528	0.00103486	0.00239149	0.000506164
n	0.415717	0.3959	0.0708757	0.0782228	0.0138995	0.00941693	0.0159688
g	0.270034	0.680956	0.0117177	0.0228625	0.00424876	0.00266485	0.00751651
ε	0.310669	0.562444	0.0233281	0.0593165	0.00611669	0.00497047	0.0331547
m	0.244149	0.130043	0.423883	0.0978062	0.0526994	0.0147341	0.0366856
ó	0.749495	0.103435	0.0731102	0.0210745	0.0397904	0.00369408	0.00940051
o	0.741301	0.0407521	0.0959789	0.0368589	0.0656469	0.00971408	0.00974839
d	0.0270065	0.0147583	0.866636	0.0768132	0.00228707	0.00810655	0.00439235
z	0.00373688	0.00235581	0.876998	0.0670663	0.00040646	0.0205277	0.0289084
á	0.0566433	0.0284199	0.792392	0.0890858	0.0102422	0.0164707	0.00674594
á	0.0140438	0.000632426	0.0770014	0.224277	0.201231	0.271051	0.211763
a	0.0128878	0.000670249	0.0387239	0.160861	0.597642	0.176879	0.0123361
s	0.00966189	0.00592784	0.265657	0.286193	0.0368152	0.336812	0.0589328
w	0.00363999	0.00310251	0.131504	0.18129	0.0313959	0.592121	0.0569468
é	0.0090308	0.00392386	0.0737641	0.344685	0.0859593	0.395361	0.0872759
b	0.00188416	0.000137363	0.0643691	0.146621	0.0400021	0.226339	0.520648
á	0.010454	0.0004664	0.00950467	0.286425	0.211586	0.295	0.186564
t	0.00775334	0.000164972	0.00547604	0.0827417	0.403779	0.265753	0.234332
í	0.0220647	0.00175195	0.0131952	0.133728	0.178169	0.239668	0.411423
a	0.00193745	0.000279834	0.00853029	0.0516421	0.0536031	0.172262	0.711745
t	0.00657827	0.000492781	0.0449261	0.0795361	0.0667559	0.103131	0.69858
í	0.0487986	0.0038127	0.0167913	0.143749	0.167701	0.147162	0.471985
</S>	0.000944576	0.000156053	0.00478256	0.0219246	0.0405523	0.154548	0.777092
