 	il	est	à	bangui	</S>
w	0.720938	0.172896	0.0994676	0.00647013	0.000227363
a	0.875261	0.0441376	0.040415	0.0399698	0.000216278
a	0.112232	0.664894	0.211448	0.00182474	0.0096008
d	0.0304252	0.36118	0.546655	0.0110518	0.0506886
i	0.0196775	0.41593	0.266606	0.00834492	0.289442
ó	0.00200679	0.0546483	0.501485	0.0947298	0.34713
b	0.00666588	0.0803126	0.488524	0.258337	0.16616
a	0.00229492	0.0115115	0.0276794	0.9303	0.0282144
n	0.00433983	0.016676	0.0171718	0.876674	0.0851386
g	0.0270509	0.307465	0.165457	0.137343	0.362684
í	0.113989	0.0425861	0.0291716	0.363406	0.450847
</S>	0.0153409	0.033011	0.243498	0.146997	0.561153
