 	son	habit	est	devenu	sale	</S>
w	0.824896	0.146189	0.0158839	0.00776462	0.00509079	0.000175136
a	0.805358	0.153723	0.0187286	0.00499415	0.0170611	0.000135786
o	0.780298	0.125197	0.0774639	0.0108723	0.00369177	0.00247653
k	0.239696	0.614128	0.107973	0.0211901	0.00211377	0.014899
á	0.0454678	0.529924	0.252928	0.0307911	0.00669699	0.134192
n	0.0734479	0.411492	0.295335	0.0623961	0.0165249	0.140804
d	0.541098	0.397771	0.0468403	0.00220816	0.00267926	0.00940309
á	0.332539	0.568306	0.0551786	0.00240079	0.00599922	0.0355767
ó	0.47725	0.086094	0.274719	0.102713	0.034676	0.0245477
m	0.0574665	0.0662273	0.408109	0.451003	0.0105634	0.00663155
i	0.0308674	0.0153193	0.300689	0.271902	0.224271	0.156951
k	0.00375918	0.048384	0.125941	0.645495	0.097755	0.0786658
ó	0.00128871	0.0516151	0.0745354	0.585903	0.122502	0.164156
a	0.00149796	0.0310733	0.121569	0.647331	0.0905658	0.107963
m	0.0274335	0.00856273	0.0652254	0.229485	0.40436	0.264933
b	0.0383958	0.00955892	0.0499954	0.0437044	0.524046	0.334299
i	0.0076459	0.010742	0.0126654	0.0188635	0.790437	0.159646
n	0.00210335	0.00560066	0.0207659	0.0938304	0.541598	0.336102
d	0.0113231	0.123927	0.0221584	0.0140453	0.544813	0.283733
</S>	0.00675729	0.044688	0.0114898	0.00745139	0.319706	0.609908
