 	elle	aime	les	chenilles	bouillies	</S>
w	0.702604	0.10568	0.131814	0.0584791	0.00127419	0.000149286
a	0.507287	0.218082	0.219791	0.0536316	0.000893062	0.000315812
a	0.41398	0.341924	0.188105	0.0272272	0.00172072	0.0270435
d	0.186431	0.473496	0.153417	0.057054	0.00521206	0.124389
í	0.117853	0.461399	0.25664	0.0231306	0.0013464	0.139631
l	0.0573647	0.177449	0.274556	0.0899369	0.0169227	0.383771
a	0.139462	0.236263	0.256258	0.120324	0.0145492	0.233145
p	0.136143	0.476171	0.0903301	0.183529	0.0343043	0.079523
ó	0.190295	0.354057	0.041001	0.345456	0.0472227	0.0219685
s	0.0793414	0.616298	0.0737726	0.189172	0.0137557	0.0276603
á	0.0694041	0.374105	0.100354	0.292417	0.0366072	0.127112
k	0.0462256	0.0383936	0.399147	0.403197	0.0724406	0.0405963
o	0.0278357	0.0337344	0.0381268	0.544969	0.335793	0.0195406
n	0.0170319	0.126014	0.0383574	0.470018	0.315649	0.0329307
g	0.0301392	0.0902204	0.0940551	0.392887	0.253214	0.139484
ó	0.00833343	0.0194217	0.0468125	0.311087	0.55147	0.0628748
y	0.00948479	0.016804	0.314681	0.0404656	0.130891	0.487674
á	0.0694242	0.0664755	0.366989	0.0955295	0.210872	0.19071
e	0.0183655	0.0475355	0.231144	0.149504	0.508285	0.0451663
t	0.0422788	0.0871225	0.095698	0.132691	0.525352	0.116858
ω	0.0135084	0.0620631	0.0365488	0.102958	0.714096	0.0708257
k	0.000329024	0.00205475	0.00485192	0.0127087	0.964965	0.015091
í	0.00490541	0.0103678	0.021197	0.066094	0.561754	0.335682
s	0.00372576	0.00581049	0.0212482	0.0254615	0.342922	0.600832
ώ	0.00784593	0.0390902	0.126501	0.0811503	0.437034	0.308379
t	0.00221583	0.00525134	0.0520903	0.0139781	0.162199	0.764266
ω	0.035731	0.0728962	0.161406	0.14528	0.24268	0.342007
k	0.00262926	0.00384571	0.0100931	0.00772414	0.642942	0.332765
i	0.0073004	0.00960969	0.0213956	0.0499874	0.565913	0.345794
s	0.00413043	0.00816368	0.0108346	0.0177775	0.17569	0.783404
ω	0.00595852	0.0775934	0.0520634	0.0867629	0.378913	0.398709
</S>	0.00371373	0.00846753	0.054444	0.0115074	0.0986338	0.823234
