 	cet	enfant	est	un	grand	pleurnichard	</S>
m	0.30031	0.690435	0.00449143	0.00165208	0.00121958	0.00148181	0.000410705
w	0.0210064	0.974597	0.00203831	0.000223191	7.64922e-05	0.000718163	0.00134038
á	0.00641734	0.993285	8.29944e-05	4.70865e-05	7.97551e-06	0.000129607	2.95263e-05
n	0.0253805	0.967225	0.00136158	0.000346604	0.000150202	0.00226985	0.00326602
a	0.0898251	0.729315	0.0576055	0.0105066	0.00304706	0.00723002	0.102471
w	0.750698	0.193573	0.0263156	0.0106433	0.00836078	0.00396963	0.00643963
ó	0.17607	0.106067	0.275171	0.150152	0.0649458	0.0384554	0.189139
a	0.0746433	0.0530334	0.643042	0.0737391	0.0151173	0.00209137	0.138333
d	0.00436697	0.00543181	0.510414	0.305107	0.0893701	0.00841312	0.0768969
í	0.0266143	0.00875483	0.581132	0.214994	0.018646	0.00169002	0.148168
o	0.0231174	0.00912482	0.340703	0.385869	0.129946	0.0145984	0.0966406
m	0.00104673	0.000485192	0.0244574	0.502539	0.395299	0.0583478	0.0178247
ε	0.010056	0.00152133	0.0597712	0.310812	0.20007	0.290242	0.127527
r	0.000424296	0.000268743	0.0435982	0.373565	0.308007	0.0766263	0.197511
i	0.0295078	0.00236279	0.066238	0.495493	0.142211	0.137635	0.126552
i	0.00723491	0.00351079	0.127421	0.298261	0.223421	0.187239	0.152912
o	0.0019462	0.00459102	0.00907153	0.0706512	0.166304	0.624308	0.123128
n	0.00111249	0.000187034	0.00245422	0.0382913	0.396426	0.496899	0.0646295
έ	0.0320835	0.000650291	0.00868575	0.0614911	0.131816	0.637972	0.127301
w	0.000371881	0.000176065	0.0302805	0.0728361	0.0923219	0.168843	0.63517
a	0.00614525	0.00141367	0.087901	0.208718	0.193344	0.254336	0.248142
m	0.00470997	0.000425659	0.0208595	0.0541622	0.0767365	0.0835856	0.759521
έ	0.0766785	0.00490912	0.0244285	0.071044	0.216903	0.375304	0.230733
n	0.00315181	0.000493641	0.0189019	0.0615758	0.207251	0.263353	0.445273
d	0.00642454	0.00167331	0.00823914	0.0203442	0.0208634	0.354748	0.587707
e	0.0106013	0.00259013	0.00410127	0.0102418	0.0158424	0.304767	0.651856
</S>	0.000264937	6.39105e-05	0.004457	0.0207045	0.0370718	0.144537	0.792901
