 	la	viande	de	porc	me	dégoûte	</S>
o	0.478135	0.280009	0.158435	0.0616122	0.0193442	0.000671566	0.00179336
s	0.147722	0.349422	0.106065	0.369017	0.00841857	0.00885651	0.0104988
u	0.0316567	0.0604848	0.010385	0.888488	0.00194047	0.00330349	0.00374179
n	0.108236	0.215451	0.0509994	0.590539	0.01781	0.00220008	0.014765
u	0.407433	0.116178	0.170085	0.291466	0.00214129	0.000751005	0.0119463
m	0.259713	0.151735	0.47785	0.0391572	0.019163	0.00929135	0.0430903
á	0.458253	0.164255	0.205443	0.113505	0.0339674	0.00122041	0.0233563
n	0.361006	0.11201	0.138044	0.286377	0.0726783	0.0101678	0.019716
g	0.00647347	0.152223	0.0200309	0.646225	0.172396	0.000246486	0.0024048
ú	0.00605606	0.110262	0.0158211	0.766363	0.0962152	0.00174877	0.00353396
l	0.0299553	0.0814738	0.0834857	0.733155	0.0429265	0.00193884	0.0270649
u	0.119367	0.190712	0.338055	0.226781	0.0364711	0.0182236	0.0703905
m	0.043698	0.0467357	0.228194	0.0361716	0.385633	0.0418619	0.217706
ó	0.501666	0.131683	0.193885	0.0227609	0.0283152	0.0149278	0.106762
o	0.17972	0.0607881	0.268702	0.0719702	0.127404	0.16587	0.125547
p	0.0116796	0.00333659	0.0273346	0.0312775	0.0298915	0.802165	0.0943147
έ	0.000505773	0.00010712	0.00730328	0.000633772	0.00125902	0.932404	0.0577871
n	0.0386509	0.0206617	0.155993	0.0438482	0.383625	0.229961	0.12726
g	0.0157813	0.0262921	0.0985948	0.0650274	0.653855	0.0692831	0.0711664
á	0.00589007	0.0235835	0.0714558	0.0599348	0.752545	0.0286559	0.0579348
e	0.0113673	0.00253485	0.0251526	0.0565047	0.0808029	0.0581149	0.765523
l	0.0362047	0.0127562	0.0424214	0.0349866	0.0920592	0.359297	0.422274
ω	0.0177981	0.00661566	0.0544189	0.0112274	0.0594081	0.43794	0.412592
b	0.00352994	0.00325111	0.016318	0.0104768	0.0711522	0.375072	0.5202
h	0.00902125	0.00404555	0.0358668	0.0042576	0.303723	0.26267	0.380417
i	0.00479455	0.00115332	0.0135508	0.00613611	0.0572644	0.373422	0.543679
</S>	0.0147064	0.00388819	0.029487	0.00454469	0.0440917	0.0607924	0.84249
