 	j'	envisage	d'	aller	à	brazaville	la	semaine	prochaine	</S>
n	0.829226	0.078975	0.0654006	0.00175203	0.0171013	0.00360515	0.00305997	0.000716618	5.28916e-05	0.0001103
g	0.959142	0.00263522	0.00341177	0.000265159	0.00293567	0.0297398	0.000290478	0.00113997	0.000417963	2.18786e-05
á	0.933516	0.0178337	0.0053428	0.00477465	0.00144628	0.0281225	0.000237646	0.00122558	0.00716533	0.000335535
l	0.120801	0.0699586	0.118806	0.0367962	0.0352948	0.0154636	0.0306939	0.0296992	0.0280265	0.51446
í	0.329096	0.0500828	0.0424777	0.0334603	0.0209815	0.0137679	0.0218593	0.0452205	0.0564547	0.386599
i	0.0282782	0.19678	0.293454	0.0896346	0.0315861	0.0155515	0.0343771	0.0405136	0.0533668	0.216459
b	0.00321003	0.755441	0.0927284	0.0968823	0.00163933	0.000759809	0.0023896	0.00221182	0.00214478	0.0425933
ó	0.00115873	0.94312	0.036219	0.0138466	0.00160601	3.79208e-05	0.000491701	0.000199951	0.000234065	0.00308641
n	0.000669762	0.83693	0.0752501	0.0465175	0.00586261	0.000311489	0.00234535	0.000664911	0.000265149	0.0311829
d	0.00111276	0.280895	0.37252	0.124926	0.102871	0.00951428	0.0217353	0.00428825	0.00120467	0.080933
á	0.000718841	0.140604	0.266513	0.18633	0.171573	0.0141456	0.0476873	0.0162094	0.00347187	0.152747
o	0.00327585	0.0254926	0.544034	0.077193	0.195202	0.101148	0.0231705	0.0220692	0.00526415	0.0031507
d	2.97874e-05	0.00878691	0.0577291	0.892614	0.0143506	0.0109004	0.00379217	0.00130127	0.00196554	0.0085304
z	9.84868e-05	0.00406638	0.0378393	0.856162	0.0219112	0.00329983	0.00799621	0.00140024	0.00261901	0.0646075
w	0.000173729	0.000526054	0.00599106	0.989343	0.00128405	0.000936405	0.000509591	0.000193102	0.000208544	0.0008344
á	0.00147219	0.00581934	0.089803	0.709082	0.0999073	0.0022646	0.0542107	0.0102332	0.00228589	0.0249216
n	0.000640333	0.00180745	0.0274776	0.133451	0.370965	0.216827	0.126312	0.0701491	0.0155537	0.0368166
g	0.0034628	0.000391512	0.00199135	0.011214	0.0478733	0.742385	0.0437365	0.0878622	0.0234777	0.037606
y	0.00111588	0.000121892	0.000621995	0.00498772	0.00990894	0.934385	0.00586604	0.0209252	0.0187888	0.00327812
ε	0.000231291	0.000335347	0.00269836	0.131427	0.260954	0.250357	0.148774	0.111892	0.0427931	0.0505389
l	0.000325588	0.00245913	0.013396	0.0769842	0.214956	0.090325	0.13253	0.0817855	0.031319	0.355919
έ	2.07927e-05	0.000544691	0.0108232	0.0613086	0.229278	0.070815	0.191938	0.112554	0.0527109	0.270007
e	0.000140175	0.000976528	0.00591734	0.00416564	0.0756595	0.00866186	0.266143	0.344808	0.0875098	0.206018
y	0.00171292	0.0102594	0.0288595	0.0177023	0.0337323	0.0100356	0.0952744	0.326959	0.121292	0.354172
e	6.19273e-05	0.00452008	0.00416944	0.0119214	0.0154688	0.00690949	0.0275784	0.379688	0.365205	0.184477
n	1.2908e-05	0.000921333	0.00158418	0.00711406	0.0335341	0.00772477	0.0855886	0.230886	0.0872211	0.545413
g	0.0001438	0.000970704	0.00158297	0.0040815	0.017936	0.020037	0.0445681	0.337998	0.27098	0.301702
a	7.67294e-05	0.000210464	0.000897832	0.00386646	0.0408982	0.122486	0.0872701	0.456923	0.166057	0.121315
y	7.79765e-05	0.000406761	0.00356704	0.000763881	0.0317828	0.00490714	0.119004	0.32653	0.232043	0.280918
é	0.000305969	0.00141767	0.00790357	0.00301202	0.050382	0.0270707	0.0632274	0.29406	0.491782	0.0608382
é	0.000114916	0.000668143	0.00160622	0.000841404	0.0113105	0.00408822	0.0514684	0.191037	0.363908	0.374958
y	8.07997e-05	0.00927913	0.013229	0.00587129	0.010439	0.00191532	0.0127053	0.0525341	0.267635	0.626311
a	1.21395e-05	0.00345847	0.00325356	0.00747009	0.00734977	0.00230952	0.0102723	0.145207	0.292553	0.528114
a	3.33198e-06	0.000492499	0.00094413	0.00210597	0.0129534	0.00126661	0.0164817	0.0802695	0.0911337	0.794349
</S>	0.000176529	0.00104822	0.00316631	0.000742585	0.0144648	0.00162254	0.0164007	0.104884	0.411013	0.446481
