 	celui	qui	caresse	l'	enfant	en	premier	c'	est	sa	maman	</S>
o	0.610208	0.286571	0.0333773	0.0375723	0.00391592	0.00702786	0.00147156	0.00186995	0.00239672	0.0152317	2.53768e-05	0.000332556
m	0.0791381	0.192256	0.566447	0.0234476	0.00294767	0.00741455	0.0821606	0.00824521	0.0185006	0.00301251	0.00577204	0.0106584
a	0.0364225	0.107621	0.796131	0.00945943	0.000697798	0.00307434	0.0419785	0.000828915	0.000658264	0.00144332	0.00135386	0.000331151
b	0.0564729	0.0471959	0.822205	0.0278844	0.00221183	0.00426907	0.0268714	0.00224005	0.00363537	0.00160573	0.000565493	0.0048426
h	0.00199275	0.00712934	0.891827	0.0308318	0.00342883	0.00621584	0.0329031	0.00169336	0.011001	0.000818031	0.000744204	0.0114147
i	0.00705688	0.018295	0.559493	0.0788748	0.0247337	0.0144129	0.0669421	0.00663767	0.0345991	0.0108928	0.00327825	0.174784
r	0.00664706	0.0121811	0.276165	0.286556	0.287336	0.0323008	0.00958484	0.00368716	0.0118577	0.00974226	0.000350287	0.0635922
i	0.0800217	0.0956374	0.0968615	0.605181	0.0182115	0.0124276	0.00448947	0.00551838	0.00970331	0.046954	0.000774064	0.0242201
m	0.0102683	0.0153374	0.0144701	0.356136	0.511585	0.0710327	0.00362492	0.00326415	0.00428802	0.00299348	0.000115294	0.00688497
w	0.00468662	0.004426	0.0117565	0.0602093	0.73405	0.105079	0.00404633	0.00781123	0.00851014	0.0241373	0.00342874	0.0318582
á	0.0011697	0.000859607	0.00516656	0.0130751	0.955186	0.0171779	0.00191906	0.00115603	0.00107548	0.00115539	0.000791979	0.0012673
n	0.00151542	0.00101812	0.000257908	0.00695348	0.981238	0.00410234	4.29235e-05	7.86345e-05	9.16065e-05	0.00418928	3.18295e-05	0.000480944
a	0.0186236	0.0293804	0.0108068	0.0683103	0.727109	0.0707502	0.000995029	0.0016163	0.00303169	0.0440115	0.00691472	0.0184503
y	0.017419	0.0175065	0.0159572	0.260592	0.058066	0.539139	0.0201458	0.0399069	0.010471	0.0141907	0.00253573	0.00407058
a	0.0399575	0.0415815	0.0178636	0.19636	0.0278607	0.320154	0.0295491	0.166392	0.0288386	0.0432343	0.0692336	0.0189737
b	0.012424	0.0129845	0.00213996	0.0592692	0.0306035	0.312673	0.0344899	0.287895	0.0209933	0.178097	0.0346547	0.0137756
o	0.0190225	0.0724362	0.0204973	0.0228585	0.0920658	0.174515	0.396075	0.0640846	0.0782395	0.0348021	0.00455936	0.0208436
s	0.0010167	0.0018029	0.0109768	0.0128408	0.00281243	0.128083	0.707873	0.0737531	0.0511506	0.00154787	0.001435	0.00670783
ó	0.0023779	0.00245199	0.00839565	0.00546974	0.000327436	0.0397568	0.457101	0.257647	0.132949	0.00540165	0.00147594	0.0866466
m	0.00286507	0.00256454	0.00305506	0.0199137	0.00687388	0.094995	0.0566805	0.338091	0.213613	0.104196	0.044681	0.112472
b	0.02516	0.00931051	0.00877374	0.010812	0.00326065	0.0652509	0.0319167	0.166693	0.171939	0.230525	0.0108636	0.265494
í	0.00351397	0.00432093	0.0329616	0.0170688	0.0205796	0.141411	0.093896	0.134243	0.38653	0.0524594	0.00951587	0.103499
n	0.0100186	0.00544274	0.00350645	0.018447	0.0323391	0.0647744	0.0283918	0.107259	0.347588	0.210126	0.0132542	0.158853
g	0.00213323	0.00414924	0.0055489	0.00574391	0.00318137	0.0337167	0.00702307	0.212103	0.322108	0.053338	0.0433547	0.307601
ó	0.0006383	0.00148012	0.00189562	0.0074201	0.00343863	0.035048	0.0082455	0.215122	0.167644	0.0424589	0.237632	0.278976
o	0.000734136	0.00132255	0.00160308	0.0140532	0.00300483	0.0428994	0.00678612	0.142538	0.0963315	0.0877054	0.25966	0.343361
</S>	0.00121216	0.00161672	0.00181938	0.00317153	0.000467045	0.0162527	0.00783202	0.160153	0.164434	0.12198	0.105017	0.416043
