 	mes	tiges	d'	allumette	sont	humides	</S>
i	0.203838	0.291627	0.268153	0.209988	0.0240762	0.00173596	0.000582275
l	0.0334555	0.737534	0.0640645	0.10029	0.00926448	0.0504698	0.00492219
e	0.0120866	0.959274	0.00691363	0.00395872	0.00278017	0.00201721	0.0129695
n	0.0206905	0.703335	0.0276296	0.0148735	0.0036594	0.0302247	0.199587
g	0.0203241	0.866008	0.00583529	0.00322525	0.00311872	0.00624926	0.0952396
é	0.0540628	0.904223	0.00366812	0.00164284	0.00127801	0.0149533	0.0201716
b	0.135071	0.203824	0.44351	0.0806446	0.0888544	0.00166591	0.0464297
á	0.456168	0.0777067	0.181636	0.132153	0.0513426	0.00495851	0.0960348
l	0.258632	0.0731889	0.238554	0.258448	0.056321	0.0425374	0.0723186
u	0.317592	0.107133	0.0974681	0.206466	0.0677794	0.0348146	0.168746
m	0.108226	0.155144	0.294707	0.101794	0.148975	0.107954	0.0832002
έ	0.013219	0.0152764	0.0971806	0.223433	0.460714	0.153907	0.03627
t	0.0150215	0.0166122	0.106381	0.278913	0.485267	0.0529013	0.0449031
i	0.00320831	0.0155875	0.0714285	0.699969	0.178785	0.0171091	0.0139126
b	0.00749083	0.00810412	0.136899	0.426393	0.334938	0.0292806	0.0568942
á	0.0255304	0.00314535	0.0767593	0.675451	0.125894	0.0122454	0.0809749
n	0.0096904	0.0069152	0.123694	0.304581	0.248409	0.117597	0.189114
g	0.0830514	0.0445685	0.0592251	0.0777031	0.16475	0.256651	0.31405
á	0.0239577	0.0409	0.0153716	0.00744478	0.0270609	0.793316	0.0919492
í	0.0045184	0.00637417	0.0755202	0.0554005	0.544415	0.177578	0.136194
d	0.00739759	0.0242205	0.0576875	0.062024	0.432934	0.201512	0.214225
í	0.00163429	0.00325615	0.00285419	0.00404193	0.0927438	0.100941	0.794529
l	0.00434665	0.00303122	0.0230034	0.0110167	0.296312	0.166987	0.495303
a	0.00305175	0.00516469	0.0158466	0.0132373	0.0899352	0.129566	0.743198
m	0.00148529	0.00251075	0.00497462	0.00297383	0.0239292	0.703498	0.260628
ω	0.00012893	0.00101169	0.00112577	0.000500708	0.0114683	0.954845	0.0309194
m	0.000159683	0.00183189	0.00591927	0.0046351	0.127689	0.527576	0.332188
b	3.20617e-05	0.000742772	0.0034334	0.00750074	0.062369	0.798555	0.127367
i	0.000317493	0.00316644	0.0119674	0.0113478	0.076698	0.21383	0.682673
</S>	0.000632125	0.00640709	0.0324691	0.027311	0.101246	0.0540713	0.777864
