 	qui	est	ce	qui	fait	pleurer	mon	fils	</S>
o	0.367709	0.345816	0.100939	0.114229	0.0536205	0.00230927	0.0116952	0.000957982	0.00272394
l	0.0244282	0.0965323	0.0432188	0.0509565	0.0941067	0.601196	0.00311538	0.0109848	0.0754613
e	0.016128	0.0128824	0.0734717	0.0453015	0.0588354	0.730267	0.00746499	0.00106902	0.0545796
e	0.00274634	0.00860578	0.0596598	0.0244001	0.0754304	0.776956	0.000995066	0.00281777	0.0483891
s	0.0541979	0.0471743	0.226103	0.207995	0.38856	0.0145704	0.0229306	0.0139075	0.0245612
i	0.0548019	0.0255142	0.103559	0.0442537	0.107586	0.0831091	0.252755	0.0877355	0.240685
n	0.0132438	0.0179844	0.128485	0.27001	0.0871122	0.00755877	0.253339	0.0980014	0.124265
g	0.014287	0.00242592	0.00816963	0.0519768	0.0137263	0.000740479	0.739177	0.117488	0.0520085
á	0.00555154	0.00393143	0.0103998	0.0607386	0.0115621	0.00179465	0.57607	0.26981	0.0601418
m	0.00666359	0.00436628	0.0440764	0.0570275	0.128958	0.018892	0.632255	0.0469106	0.060851
w	0.0220382	0.0249605	0.0342531	0.0321305	0.0867942	0.115503	0.0637561	0.176593	0.443971
á	0.000158791	0.000239534	0.00109344	0.00203048	0.00509282	0.0114678	0.00623298	0.93371	0.0399746
n	0.00439693	0.0021604	0.0113289	0.011396	0.0111979	0.00278057	0.176874	0.68799	0.0918759
a	0.0095175	0.0126646	0.0404169	0.0861414	0.0681584	0.0167106	0.182413	0.465946	0.118032
w	0.00494932	0.00441172	0.052017	0.0717086	0.0879184	0.00858018	0.410391	0.0225737	0.33745
ú	0.0144061	0.0243921	0.0694697	0.10215	0.221873	0.117962	0.13546	0.0309507	0.283337
u	0.00905822	0.00651263	0.042611	0.0139981	0.0175832	0.0106293	0.0625928	0.00833736	0.828677
n	0.00570361	0.0169438	0.0306545	0.022612	0.0339814	0.0292038	0.102054	0.0203765	0.738471
d	0.0230902	0.00365141	0.0113178	0.0315999	0.0122561	0.00145078	0.584683	0.0239869	0.307964
a	0.000790513	0.000280606	0.00105973	0.00407978	0.0032758	0.00387298	0.0698986	0.0250782	0.891664
</S>	0.000262342	0.000169467	0.00340469	0.00369954	0.00845899	0.00437937	0.0488781	0.00227714	0.92847
