 	les	mbochis	de	boundji	ne	connaissent	pas	la	poterie	</S>
a	0.679567	0.161874	0.0850951	0.0196614	0.0387896	0.00696081	0.00516116	0.00176893	0.000593167	0.000529452
m	0.0597053	0.898002	0.00980495	0.00814143	0.00146054	0.000579227	0.00196938	0.00301668	0.0150133	0.0023069
b	0.0766465	0.546625	0.0968549	0.251929	0.00911335	0.00333791	0.000674021	0.000945065	4.94088e-05	0.0138251
ω	0.0175792	0.748081	0.0365216	0.185717	0.00463127	0.00315906	0.000605577	0.000728327	0.000218042	0.00275853
s	0.0583833	0.844287	0.0353152	0.0542112	0.00241249	0.000244189	0.000415093	0.000568799	0.000258187	0.00390456
í	0.052903	0.381384	0.109363	0.162539	0.0110576	0.00430102	0.0111382	0.0141909	0.00317834	0.249944
b	0.107325	0.0456061	0.673433	0.0658466	0.0435235	0.0124727	0.00425719	0.00652655	0.00131918	0.0396899
á	0.311	0.0227388	0.21017	0.142032	0.0956967	0.069548	0.0484438	0.0217194	0.00283216	0.0758192
m	0.123804	0.0158021	0.267033	0.332366	0.0958566	0.114482	0.0157085	0.00897351	0.00174181	0.0242325
b	0.115626	0.0610662	0.151912	0.604748	0.0319806	0.030318	0.00194015	0.00120332	3.49398e-05	0.00117062
o	0.0391039	0.0293874	0.145371	0.695641	0.0311739	0.0484757	0.00324278	0.00202608	0.000168246	0.00541002
n	0.0285816	0.0583644	0.0950952	0.66167	0.0926664	0.023229	0.00604986	0.00468924	0.00067237	0.0289815
d	0.036387	0.110313	0.166696	0.634474	0.0273587	0.00180643	0.00190307	0.00265248	0.000420577	0.0179886
z	0.113944	0.216224	0.122148	0.470013	0.0476552	0.0187701	0.00415281	0.00169923	0.000740933	0.00465241
i	0.162796	0.130974	0.169163	0.479102	0.0204982	0.00477077	0.00448837	0.00265719	0.000643415	0.0249067
á	0.0221598	0.00804116	0.198565	0.136584	0.472027	0.0974939	0.0299895	0.0183075	0.00194688	0.0148853
d	0.0107453	0.00443297	0.0297341	0.0250159	0.188231	0.251598	0.213658	0.164329	0.0288384	0.0834167
í	0.0061032	0.000920044	0.00912473	0.014355	0.0827204	0.287031	0.118152	0.103348	0.00719702	0.371048
b	0.00598663	0.000343143	0.0224811	0.0104286	0.152537	0.172566	0.217934	0.236334	0.0803405	0.101049
o	0.0053669	0.00103384	0.00707935	0.0246242	0.0527805	0.766964	0.090094	0.0292679	0.013623	0.00916677
a	0.000811998	0.00205032	0.0336438	0.0423633	0.119727	0.0678372	0.372104	0.157376	0.114669	0.0894178
o	0.00290416	0.000414492	0.00727898	0.00305355	0.0260521	0.0472484	0.193956	0.441833	0.125079	0.15218
b	0.00178689	0.00470901	0.00299435	0.00581816	0.00769542	0.00678885	0.07928	0.207631	0.625411	0.0578855
h	0.00032097	0.00223482	0.00197421	0.00508777	0.00591701	0.00451815	0.0753746	0.0715667	0.772901	0.0601045
e	0.000491933	0.000652343	0.000847272	0.00370048	0.00775217	0.00897634	0.0522503	0.0535034	0.821795	0.0500308
r	0.000895222	0.000229951	0.000873011	0.00166722	0.00671243	0.0140959	0.0419441	0.112639	0.656079	0.164864
a	0.000896804	0.0045585	0.00608416	0.0151596	0.00956819	0.0252499	0.135442	0.232073	0.308375	0.262593
k	0.00145919	0.000412435	0.00512563	0.00275168	0.0109096	0.00557068	0.0458064	0.117835	0.0995034	0.710626
a	0.00134107	0.00109723	0.00744906	0.00244635	0.0258096	0.025328	0.178704	0.149601	0.308755	0.299468
á	0.000573606	0.000797856	0.00154047	0.00267424	0.00933227	0.0299426	0.0875977	0.0338035	0.221725	0.612013
</S>	0.00282637	0.000496208	0.00855119	0.00575798	0.0113224	0.030601	0.0249007	0.0848884	0.0714818	0.759174
