 	si	tu	attends	encore	un	peu	il	va	venir	</S>
w	0.962309	0.0281136	0.00148971	0.00166536	0.00193113	0.00234667	0.00162497	0.000487294	1.2886e-05	1.92058e-05
á	0.824218	0.166272	0.00120559	0.00457018	0.00168254	0.00075871	0.000518435	0.000605277	0.000155669	1.33418e-05
á	0.261061	0.339239	0.170886	0.0240159	0.0362406	0.0122509	0.0307748	0.0380143	0.035977	0.0515399
n	0.119471	0.61954	0.163549	0.018189	0.00816764	0.00732236	0.0119946	0.0123188	0.00611871	0.0333284
ω	0.226245	0.675774	0.0286981	0.0114664	0.00490404	0.00562481	0.0109415	0.00856086	0.00903093	0.018754
o	0.0240244	0.735161	0.0730317	0.0806066	0.00613611	0.0077813	0.00782711	0.0137781	0.0174079	0.0342458
b	0.000508958	0.00158377	0.980911	0.0127651	0.00213715	0.000382252	0.000180646	0.000211662	0.000263775	0.00105548
ó	0.000787228	0.00071897	0.983162	0.0106567	0.0028814	0.000342461	0.00037622	0.000118835	0.000199494	0.000756991
n	0.000483733	0.00237716	0.925858	0.0330188	0.0106813	0.00559145	0.00169933	0.00113576	0.000917615	0.0182368
d	0.0468437	0.0576224	0.272521	0.142581	0.0621916	0.0482935	0.0444568	0.0309487	0.0153632	0.279178
í	0.234352	0.0625927	0.228564	0.116625	0.0626905	0.0931747	0.0652209	0.0276355	0.00964746	0.0994983
í	0.0959871	0.219907	0.0196689	0.289835	0.139266	0.0889943	0.109644	0.0210495	0.0024084	0.0132397
y	0.00298902	0.0134359	0.0240214	0.658904	0.236798	0.0304778	0.0172948	0.00749979	0.0031521	0.00542711
a	0.0019426	0.0112968	0.115414	0.36453	0.27127	0.163431	0.0118686	0.0147352	0.0161744	0.0293369
a	0.000578105	0.00317885	0.0501498	0.136138	0.309789	0.212307	0.0228433	0.0257278	0.0187545	0.220534
m	0.000921633	0.0104307	0.00479481	0.191769	0.360392	0.225282	0.134168	0.0384586	0.0113681	0.0224145
o	0.00340625	0.000620865	0.00641699	0.0186488	0.395691	0.206897	0.143375	0.0275347	0.0120158	0.185393
r	0.00056203	0.000276739	0.00595574	0.0222485	0.221239	0.568659	0.100867	0.04888	0.0124305	0.0188808
é	0.00100792	0.000466308	0.018121	0.0298708	0.140159	0.644001	0.102085	0.0319895	0.0195835	0.0127157
w	0.000267947	0.00218351	0.000973309	0.0256507	0.0827482	0.350805	0.226367	0.177675	0.0720778	0.0612507
a	0.00387866	0.00539214	0.0011622	0.0224054	0.181669	0.248817	0.320735	0.15096	0.0306344	0.0343452
l	0.000378578	0.00129594	0.000144842	0.00625793	0.0489389	0.222777	0.376629	0.273965	0.0280641	0.0415492
á	0.00555331	0.00568803	0.00473073	0.060004	0.0912333	0.072332	0.127471	0.102502	0.0708	0.459686
a	0.00103347	0.00294541	0.00224633	0.0120504	0.0333697	0.0653988	0.169718	0.363906	0.200844	0.148488
y	0.00124241	0.00457313	0.044479	0.0421517	0.0617547	0.0484094	0.0764556	0.166851	0.430373	0.12371
a	0.000448289	0.00207571	0.017681	0.0219076	0.0523978	0.0825492	0.0338034	0.183836	0.237895	0.367405
a	7.55125e-05	0.000154495	0.0011898	0.0045992	0.0344211	0.0671953	0.0733426	0.133197	0.0694962	0.616329
</S>	0.00019713	0.000762793	0.000882021	0.00820547	0.0196404	0.0237992	0.102438	0.164931	0.27111	0.408034
