 	les	herbes	sont	encore	couvertes	de	rosée	</S>
p	0.59466	0.352844	0.0385912	0.00255251	0.00353269	0.00718815	0.000372844	0.000257932
f	0.0731077	0.911145	0.00542457	0.00338589	0.00272376	0.0010116	0.00202761	0.00117359
ú	0.0289029	0.940906	0.0100515	0.00311514	0.00713729	0.0035459	0.000628297	0.00571331
l	0.0398123	0.833946	0.0166082	0.00561689	0.0235977	0.0285807	0.0173684	0.0344703
ú	0.409974	0.481151	0.0270052	0.00257653	0.0156679	0.0287012	0.00137031	0.0335537
é	0.210841	0.197412	0.376302	0.055669	0.0478539	0.0774392	0.00114292	0.03334
s	0.046176	0.0331664	0.278239	0.543833	0.0369333	0.0373271	0.00100896	0.0233162
á	0.00476163	0.00759197	0.0528025	0.854226	0.0134413	0.0232558	0.00508512	0.0388353
a	0.0425089	0.0151172	0.194632	0.155254	0.0649259	0.323389	0.0846111	0.119562
l	0.0105183	0.00412598	0.0921857	0.137896	0.14939	0.441874	0.133906	0.0301045
á	0.0165196	0.0287589	0.072582	0.086452	0.0885554	0.362979	0.0305008	0.313652
m	0.0355196	0.00623325	0.0822555	0.0354962	0.0471978	0.369198	0.380709	0.0433911
a	0.00110747	0.000708926	0.00171194	0.000786201	0.0511084	0.0249349	0.912468	0.00717395
a	0.00406182	0.00354873	0.016112	0.0100841	0.194823	0.102374	0.497579	0.171417
g	0.00271458	0.00481656	0.0132004	0.00745137	0.0762204	0.423033	0.0341147	0.438449
h	0.0369404	0.0448771	0.0767353	0.016117	0.0980542	0.12815	0.0596135	0.539512
á	0.0062417	0.0126254	0.0118737	0.00684402	0.0499195	0.106144	0.0331381	0.773214
</S>	0.000949948	0.00130686	0.00568941	0.00276245	0.0277864	0.141221	0.0994806	0.720803
