 	même	si	on	t'	insulte	tu	dois	supporter	</S>
s	0.646684	0.278955	0.0444651	0.00747463	0.00576489	0.00577905	0.00979889	0.000370869	0.000707678
i	0.079571	0.74827	0.034639	0.0765224	0.00752976	0.0141515	0.00921847	0.0217039	0.00839449
b	0.558307	0.18541	0.0961163	0.0717984	0.00627413	0.00611559	0.00181702	0.0734499	0.000711292
á	0.0822401	0.836446	0.0210338	0.0348284	0.0048448	0.00361399	0.0025609	0.0120901	0.00234207
a	0.098473	0.598928	0.0763067	0.0703119	0.0288263	0.0186329	0.0438247	0.00825368	0.0564431
t	0.144195	0.0728927	0.321006	0.268638	0.104714	0.0360729	0.0286474	0.00171714	0.0221168
ú	0.201862	0.103388	0.128682	0.0695399	0.194186	0.0929259	0.106103	0.0343195	0.0689936
á	0.275828	0.0912275	0.171369	0.251273	0.0927334	0.0585356	0.033413	0.00651347	0.0191065
n	0.036055	0.0449559	0.25884	0.163041	0.162277	0.176116	0.0491691	0.00814001	0.101407
ω	0.0204856	0.155266	0.244035	0.444491	0.0117727	0.0821559	0.00286981	0.00422955	0.0346946
l	0.0314184	0.0264585	0.236687	0.149508	0.0713935	0.231599	0.039489	0.0200126	0.193434
ó	0.0880344	0.0462245	0.0818818	0.0610035	0.0972515	0.185421	0.120639	0.0387822	0.280762
o	0.213797	0.0307764	0.117509	0.103649	0.0338433	0.0623626	0.12521	0.224499	0.0883528
k	0.00517258	0.00823739	0.0132127	0.0202076	0.0904435	0.160687	0.19005	0.30758	0.204409
a	0.00122358	0.00227635	0.00469075	0.00369638	0.395058	0.125559	0.181981	0.117107	0.168407
n	0.00108936	0.000926525	0.00812122	0.0102589	0.339546	0.205906	0.218699	0.0430963	0.172357
g	0.0109342	0.00440624	0.0250501	0.07299	0.0643976	0.406137	0.252927	0.0512473	0.111911
á	0.0464271	0.0171688	0.0836259	0.0886823	0.0551514	0.373218	0.102648	0.130303	0.102776
o	0.00922823	0.0104396	0.0375999	0.0856273	0.00286743	0.0584732	0.374694	0.303763	0.117306
t	0.0031932	0.00328108	0.00166617	0.00330779	0.00243159	0.0149937	0.100926	0.484699	0.385501
é	0.00109411	0.00178131	0.00210938	0.00281948	0.0429197	0.078413	0.269711	0.33557	0.265582
m	0.000617973	0.000168095	0.00457565	0.0147374	0.034117	0.139231	0.324671	0.19203	0.289851
a	0.00452373	0.000730031	0.00319421	0.00461491	0.00140208	0.00850112	0.111803	0.659037	0.206194
</S>	0.0149538	0.00288392	0.0182017	0.0276663	0.0033302	0.0322248	0.146513	0.0648127	0.689413
