 	cet	enfant	a	cassé	l'	assiette	</S>
m	0.720592	0.276073	0.000515849	0.000940739	0.0017882	6.34308e-05	2.74052e-05
w	0.0480388	0.942265	0.00534417	0.00308343	0.000846396	7.75279e-05	0.000344498
á	0.00851825	0.990898	0.000100216	0.000271647	0.00011043	9.90998e-05	2.14686e-06
n	0.00794597	0.991434	4.43377e-05	0.000135095	3.72856e-05	6.13274e-05	0.000342093
a	0.218218	0.409712	0.112628	0.0607947	0.0269464	0.00182494	0.169877
w	0.833901	0.031065	0.0939035	0.0193654	0.00548118	0.000391832	0.0158918
ó	0.409341	0.062392	0.236035	0.0618265	0.0384162	0.00187114	0.190118
á	0.0512186	0.00489583	0.77111	0.0684915	0.0262453	0.0013065	0.0767317
m	0.00161711	0.000233153	0.377557	0.321745	0.053584	0.161158	0.0841055
i	0.0118077	0.00296194	0.320585	0.511689	0.117486	0.00328444	0.0321856
b	0.00172235	0.00066235	0.0476991	0.827551	0.0376846	0.0646634	0.0200167
o	0.00201675	0.000298294	0.0438305	0.818809	0.0888557	0.000801588	0.0453879
n	0.000371273	5.01454e-05	0.0385591	0.896757	0.0263116	0.000894023	0.0370566
d	0.0661302	0.00300981	0.0542654	0.52485	0.0753027	0.00467406	0.271767
z	0.0324984	0.00141043	0.0326835	0.520792	0.057179	0.0268399	0.328597
á	0.0107897	0.000925307	0.0201884	0.471214	0.0648297	0.0671325	0.36492
s	0.0120307	0.0010849	0.030292	0.0693327	0.638714	0.107447	0.141098
a	0.0119484	0.000312548	0.00128345	0.0420657	0.475004	0.300684	0.168702
á	0.00851631	0.000384495	0.00695153	0.00705508	0.431727	0.100629	0.444736
n	0.00134651	0.000103582	0.020428	0.0146202	0.0774089	0.220595	0.665498
i	0.00459579	0.000825408	0.0036065	0.00441697	0.027661	0.821446	0.137448
</S>	7.53598e-05	1.61816e-05	0.00346502	0.00314312	0.0124545	0.061035	0.919811
