 	la	femme	prépare	la	bouillie	</S>
o	0.976761	0.0224204	3.80639e-06	0.000484258	0.000312722	1.73053e-05
y	0.0601069	0.922472	0.0148706	0.000575253	0.00106397	0.000911309
ú	0.554049	0.444469	0.00100731	0.000143628	0.000123658	0.000208141
r	0.905583	0.0890055	0.00111254	0.000309081	2.5863e-05	0.00396405
u	0.914255	0.0665911	0.00322507	0.00409042	0.00295642	0.00888247
l	0.281652	0.163243	0.157117	0.152941	0.0176879	0.22736
á	0.0548135	0.0123875	0.162467	0.0254261	0.00735686	0.737549
a	0.559764	0.0185604	0.108347	0.217378	0.0540628	0.0418875
l	0.00192043	0.00389756	0.976856	0.00904959	0.00683834	0.00143771
á	0.000439021	0.000218665	0.995134	0.00262177	0.000572575	0.00101397
m	0.00659244	0.000439376	0.917126	0.0583411	0.00867116	0.00883003
b	0.0893287	0.000276256	0.0958375	0.549153	0.027358	0.238047
á	0.0360366	6.98018e-05	0.0236571	0.314469	0.112783	0.512985
p	0.01003	0.000168077	0.00325404	0.646836	0.297539	0.0421722
ω	0.000285102	4.05579e-06	5.91935e-05	0.00410888	0.994176	0.00136685
t	0.000353451	2.01128e-05	0.00056852	0.0631812	0.927883	0.00799343
ω	0.000711966	7.18387e-06	0.000172448	0.0361088	0.94201	0.0209899
p	0.00116075	3.63625e-05	0.00190357	0.279171	0.548436	0.169292
ώ	0.0169628	5.09794e-05	0.000109671	0.0262835	0.872595	0.0839978
t	0.000311575	1.36163e-06	0.000274106	0.0684583	0.775803	0.155152
ω	0.00416829	1.24051e-05	0.000198224	0.0267978	0.893293	0.0755306
</S>	0.0105343	7.51565e-05	0.00270819	0.13021	0.245623	0.610849
