 	la	texe	qu'	on	lui	a	fait	payer	est	excessive	</S>
m	0.34541	0.343086	0.237538	0.0403936	0.0126022	0.00536296	0.00954861	0.000195186	0.00530235	1.43988e-05	0.000547517
b	0.16964	0.360164	0.0708669	0.0651566	0.117461	0.0816867	0.0213809	0.000160416	0.00253527	0.000535832	0.110412
o	0.0341185	0.888033	0.0196717	0.0167532	0.0245914	0.00896713	0.00635865	0.00100737	3.29209e-05	6.77013e-05	0.0003985
o	0.0176845	0.95745	0.0183942	0.000500426	0.000695825	0.000597131	0.000981809	0.00258491	5.71334e-05	6.86908e-06	0.00104761
y	0.179231	0.0406661	0.608468	0.0161147	0.0163429	0.0151198	0.0191039	0.0339848	0.0352802	0.000235169	0.0354535
é	0.405195	0.0239371	0.480681	0.0184843	0.0221494	0.0164088	0.0156752	0.0024667	0.0068334	0.000594207	0.00757489
é	0.0680832	0.00371805	0.38404	0.248591	0.165009	0.0578404	0.0373356	0.00873416	0.0103032	0.00186172	0.0144843
f	0.0262992	0.00205815	0.0170671	0.0690054	0.0821626	0.211524	0.175952	0.323729	0.0517728	0.00585084	0.0345796
u	0.00194371	0.00272485	0.00640439	0.0322823	0.0389795	0.0832288	0.143499	0.601592	0.0416771	0.0126756	0.034993
r	0.0441007	0.0251174	0.00229563	0.00899494	0.01127	0.0226627	0.0933008	0.716787	0.013149	0.00870526	0.0536168
ú	0.197423	0.052697	0.0535099	0.117727	0.1408	0.100152	0.246912	0.0194824	0.0251179	0.0068563	0.0393226
s	0.00237709	0.00038978	0.0621789	0.485319	0.172597	0.127727	0.113239	0.00171054	0.0247064	0.00219514	0.00756024
ú	0.0195828	0.00631174	0.0442857	0.171706	0.45052	0.170348	0.0948983	0.0134485	0.00401663	0.000264911	0.0246179
b	0.0212796	0.00140978	0.083003	0.287507	0.197794	0.199286	0.155635	0.00535594	0.0430716	0.000940153	0.00471734
á	0.00716167	0.0186361	0.0405223	0.450994	0.231	0.0765781	0.0881939	0.0563506	0.0154548	0.00212568	0.0129832
a	0.00505537	0.00161482	0.0212675	0.46282	0.216216	0.103168	0.0924937	0.0119238	0.0562038	0.00343554	0.0258022
w	0.00138575	0.00033588	0.00971721	0.0534453	0.0823408	0.158994	0.0800954	0.0287395	0.490852	0.0170053	0.0770894
a	0.00247803	0.00785775	0.0211802	0.0575695	0.0943644	0.140819	0.286792	0.0151224	0.0596723	0.0603027	0.253842
é	0.000776947	0.000315539	0.00750971	0.0414723	0.0299346	0.0693251	0.0802628	0.0292497	0.339568	0.207681	0.193904
p	0.00503733	0.000227307	0.00508838	0.00579246	0.00545283	0.0294819	0.0199468	0.0214147	0.338057	0.446463	0.123038
é	0.00011934	0.000172511	0.000203215	0.00053676	0.000638403	0.0041114	0.0193884	0.0246124	0.0323813	0.855354	0.0624819
n	0.000357732	0.000143861	0.00030236	0.00134079	0.00125973	0.00449501	0.0186324	0.0219529	0.0622412	0.776697	0.112577
d	0.00113081	0.000632838	0.000870755	0.00557806	0.00828962	0.01787	0.0464235	0.0103039	0.04219	0.699297	0.167413
i	0.00129555	0.00334998	0.0136094	0.020256	0.0130404	0.0289477	0.0450288	0.00673662	0.0689986	0.395875	0.402862
</S>	0.00455598	0.000527431	0.0195413	0.0380851	0.0239645	0.0360648	0.0252309	0.000975099	0.120338	0.0385322	0.692184
