 	cet	oranger	a	donné	beaucoup	de	fruits	</S>
o	0.503685	0.329619	0.11062	0.0175055	0.0113994	0.0210671	0.00471358	0.00139116
t	0.0599527	0.893818	0.0208003	0.00957486	0.00504688	0.00278161	0.00281278	0.00521242
s	0.0101913	0.729684	0.0215945	0.168171	0.02831	0.0116826	0.0178992	0.0124677
w	0.0113101	0.914143	0.0160724	0.0334519	0.00655351	0.00582922	0.00809936	0.00454076
é	0.0532646	0.872828	0.010401	0.0180478	0.00940179	0.00752651	0.002798	0.0257326
t	0.0961288	0.610123	0.0272534	0.00940031	0.0153395	0.0093851	0.00330447	0.229066
s	0.442802	0.247049	0.0627926	0.0920269	0.0262748	0.0180916	0.0160181	0.0949452
w	0.419943	0.404171	0.0387211	0.0564498	0.0219292	0.0090898	0.00472782	0.044968
e	0.446298	0.361206	0.0407583	0.07636	0.0190633	0.0136889	0.00804191	0.0345829
l	0.498644	0.108501	0.0907702	0.0545097	0.0317433	0.0114874	0.00304285	0.201301
é	0.19083	0.24251	0.169968	0.115296	0.0460477	0.0308241	0.0291965	0.175328
m	0.105918	0.0102823	0.442493	0.153794	0.121628	0.0980324	0.0153118	0.0525392
ú	0.602936	0.0027663	0.100195	0.0483982	0.0881118	0.0413502	0.0152633	0.100979
ó	0.061277	0.000356275	0.0667822	0.103443	0.266721	0.285746	0.0920581	0.123615
f	0.0196568	0.00172213	0.0234205	0.128725	0.352777	0.243262	0.160207	0.0702299
u	0.00257328	0.000947192	0.0110196	0.222609	0.278887	0.118624	0.176618	0.188722
l	0.00673349	0.00143704	0.00601045	0.155604	0.165157	0.118927	0.0922211	0.453909
u	0.0111593	0.00282446	0.0193286	0.388536	0.164383	0.139867	0.0774943	0.196408
o	0.0187037	0.00150873	0.0712647	0.0789335	0.195936	0.318819	0.147209	0.167626
y	0.00878541	0.00145109	0.0103957	0.0401854	0.229693	0.198065	0.274066	0.237358
í	0.0156431	0.01226	0.0117011	0.0593319	0.259571	0.231625	0.0456403	0.364228
í	0.00233465	0.000532656	0.00460116	0.0168213	0.0813733	0.100728	0.0596589	0.73395
</S>	0.00552739	0.000940691	0.0571654	0.0540216	0.161562	0.214193	0.098096	0.408494
