 	iras-tu	à	l'	école	aujourd'	hui	non	</S>
n	0.512418	0.0652681	0.0794734	0.146345	0.125372	0.0433675	0.0146499	0.0131053
ω	0.964925	0.00959186	0.0137516	0.00399789	0.00369262	0.00337788	0.000561828	0.000101629
l	0.630914	0.117432	0.179357	0.0427085	0.0124412	0.00110631	0.000569773	0.0154717
ó	0.161888	0.12207	0.0898399	0.0425286	0.0633333	0.029523	0.0149311	0.475886
o	0.287826	0.229728	0.171553	0.105763	0.0832789	0.0133789	0.0110745	0.0973974
d	0.00656266	0.742275	0.195658	0.0309424	0.00608763	0.00169779	0.00488454	0.0118916
z	0.0107555	0.812841	0.142921	0.00459376	0.000735641	0.00107308	0.000967382	0.0261123
w	0.0916696	0.61541	0.21662	0.0277814	0.018054	0.0018709	0.00416475	0.024429
á	0.00314047	0.131085	0.33347	0.0327361	0.227159	0.0115805	0.00427836	0.25655
l	0.000419838	0.0751598	0.246747	0.172896	0.25185	0.17822	0.0388396	0.0358668
e	0.0017257	0.0397512	0.146572	0.247647	0.313675	0.0490278	0.0241289	0.177472
k	0.000774227	0.11497	0.260706	0.370243	0.176689	0.0190413	0.0222994	0.0352771
ώ	0.000427631	0.0224993	0.116056	0.410546	0.197201	0.04771	0.1909	0.0146607
ώ	0.000382118	0.0153319	0.061893	0.470471	0.270679	0.0560239	0.0999588	0.0252605
l	7.95564e-05	0.0213587	0.0528993	0.0774721	0.618632	0.146204	0.0409941	0.0423602
i	0.0014279	0.0614793	0.166101	0.112966	0.138918	0.12268	0.165609	0.23082
p	0.00267332	0.0221773	0.0497705	0.10196	0.3035	0.153802	0.138156	0.227962
á	0.000531473	0.00689028	0.0158202	0.0204913	0.0741359	0.27668	0.577554	0.0278964
b	7.96859e-05	0.00740209	0.00760266	0.00816203	0.0317733	0.691171	0.235249	0.0185605
h	0.000345928	0.00268342	0.00711887	0.0139127	0.0633585	0.451966	0.348847	0.111767
a	0.000803201	0.00391982	0.0210789	0.0478083	0.148475	0.288134	0.277073	0.212708
k	0.000220899	0.00906787	0.01447	0.0368471	0.0527555	0.0284085	0.46072	0.39751
a	0.00304996	0.0116991	0.0292338	0.108382	0.0535904	0.080754	0.555028	0.158262
á	0.000132065	0.00125303	0.00256051	0.0082743	0.015859	0.0281017	0.507145	0.436675
</S>	0.000277804	0.0280691	0.032687	0.0525362	0.0658299	0.0403447	0.194965	0.58529
