 	la	mouche	est	prise	dans	la	toile	d'	araignée	</S>
i	0.407849	0.507188	0.0710651	0.00120633	0.00567402	0.00454109	0.00115623	0.00122104	7.65468e-05	2.29759e-05
k	0.0659053	0.868508	0.0289534	0.0270552	0.00325496	0.00277637	0.00255043	0.000131754	0.000147796	0.000717131
i	0.00463976	0.978319	0.00299397	0.00800051	0.000572632	0.000677035	0.00325224	0.000119491	0.000951018	0.000474643
n	0.0253677	0.850578	0.0460092	0.0465772	0.0117411	0.00420177	0.00903597	0.00208041	0.00156996	0.00283842
y	0.159533	0.721494	0.0268338	0.0173201	0.0122473	0.00542203	0.0383489	0.00197861	0.00287999	0.0139424
i	0.248548	0.566543	0.0124504	0.0169683	0.00826179	0.0055824	0.0361695	0.00574811	0.00407639	0.0956524
í	0.133911	0.0841589	0.616839	0.0336806	0.0808558	0.0166918	0.00268003	0.00470201	0.000703375	0.0257769
m	0.188494	0.027693	0.256532	0.250918	0.16142	0.056363	0.0126628	0.00895855	0.00356194	0.0333972
o	0.0937729	0.0127029	0.211575	0.143319	0.26115	0.177041	0.0153165	0.0226231	0.00154913	0.0609499
t	0.0431329	0.0440177	0.0168003	0.497221	0.070915	0.12208	0.189769	0.00158457	0.00588942	0.00859078
ó	0.00349273	0.0132953	0.0112409	0.628562	0.0790288	0.0747344	0.160021	0.00142906	0.0134789	0.0147176
á	0.00406979	0.0163421	0.0548106	0.438611	0.19495	0.159863	0.0932144	0.00501744	0.0149755	0.0181467
m	0.0264737	0.00198149	0.0382514	0.00621308	0.346366	0.367679	0.0335973	0.155225	0.0135383	0.0106745
ó	0.0762327	0.00375403	0.0220768	0.00346277	0.0874295	0.250405	0.0902081	0.172227	0.0154757	0.278728
k	0.0361541	0.00529888	0.0111718	0.00511937	0.0691636	0.167926	0.326847	0.204978	0.143653	0.0296874
i	0.000352499	0.00163242	0.000238002	0.000950325	0.00303735	0.0310403	0.827595	0.00886981	0.124125	0.00215949
a	0.000444792	0.00171008	0.00101443	0.00451453	0.0218902	0.0773493	0.622396	0.0722244	0.184421	0.0140349
m	0.00420531	0.00161467	0.00526404	0.000528001	0.0403922	0.0893531	0.0876968	0.711077	0.0258815	0.0339872
á	0.062849	0.004849	0.00848431	0.000222099	0.0148409	0.0282228	0.0343055	0.394537	0.0108323	0.440857
k	0.0353567	0.00420333	0.0173543	0.00391514	0.0321738	0.0467643	0.0913917	0.418617	0.277536	0.0726878
a	0.000301359	0.00112545	0.000596731	0.000435559	0.00177446	0.00567997	0.106776	0.022578	0.854502	0.0062301
k	0.000159019	0.000189141	0.000422187	0.00111539	0.00396196	0.0118846	0.0866567	0.0516733	0.69561	0.148328
á	0.000825894	0.00222256	0.000504965	0.000720027	0.00372119	0.00755854	0.105313	0.0851669	0.623382	0.170585
l	0.00351344	0.000539663	0.00369003	0.00127911	0.00593276	0.00886793	0.0116539	0.123434	0.119692	0.721398
á	0.00403113	0.00504795	0.00373391	0.00874242	0.0157768	0.0232887	0.101421	0.130907	0.296094	0.410956
</S>	0.0419338	0.00804856	0.0880473	0.00249304	0.0693891	0.0261123	0.0162355	0.265381	0.0827363	0.399623
